"Welsh","English"
"aberthu","aardvark"
"absenoldeb","aardvarks"
"absoliwt","aardwolf"
"academaidd","aardwolves"
"academi","Aaren"
"acen","Aargau"
"achlysur","aargh"
"achlysurol","Aarhus"
"achos","Aarika"
"achub","Aaron"
"act","Aaronic"
"actifydd","Aaronical"
"actor","Aaronite"
"actores","Aaronitic"
"ad","Aaron's-beard"
"adain","Aaronsburg"
"adalw","Aaronson"
"adborth","AARP"
"addasiad","aarrgh"
"addasu","aarrghh"
"Addasu","Aaru"
"addawol","AAS"
"addewid","A'asia"
"addfwyn","aasvogel"
"addysg","aasvogels"
"addysgol","AAU"
"addysgu","AAUP"
"addysgwraig","AAUW"
"adeilad","AAVSO"
"adeiladu","AAX"
"adennill","A-axes"
"aderyn","A-axis"
"adfail","AB"
"adfer","ab-"
"adferiad","ABA"
"adlewyrchu","Ababa"
"adloniant","Ababdeh"
"adnabod","Ababua"
"adnodd","abac"
"adolygiad","abaca"
"adran","abacay"
"adref","abacas"
"adrodd","abacate"
"adroddiad","abacaxi"
"adroddwr","abaci"
"adwaith","abacinate"
"ael","abacination"
"aelod","abacisci"
"aelodaeth","abaciscus"
"aer","abacist"
"afal","aback"
"affêr","abacli"
"afiechyd","Abaco"
"aflonyddu","abacot"
"afon","abacterial"
"african","abactinal"
"agenda","abactinally"
"agor","abaction"
"agored","abactor"
"agorwch","abaculi"
"agos","abaculus"
"agwedd","abacus"
"AH","abacuses"
"aide","Abad"
"ailadeiladu","abada"
"ailadrodd","Abadan"
"ailddechrau","Abaddon"
"ailethol","abadejo"
"albwm","abadengo"
"alcohol","abadia"
"ale","Abadite"
"alffa","abaff"
"alinio","abaft"
"allan","Abagael"
"allanfa","Abagail"
"allanol","Abagtha"
"allbwn","abay"
"allfa","abayah"
"allforio","Abailard"
"allwedd","abaisance"
"allyriadau","abaised"
"alter","abaiser"
"am","abaisse"
"amaethyddiaeth","abaissed"
"amaethyddol","abaka"
"amcan","Abakan"
"amcanestyniad","abakas"
"amcangyfrif","Abakumov"
"Amcangyfrifir","abalation"
"amddiffyn","abalienate"
"amddiffynnol","abalienated"
"amddiffynnwr","abalienating"
"Americanaidd","abalienation"
"amgen","abalone"
"amgueddfa","abalones"
"Amgylchedd","Abama"
"amgylcheddol","abamp"
"amgylchiadau","abampere"
"amgylchyn","abamperes"
"amharod","abamps"
"amheuaeth","Abana"
