"Pashto","English"
"ابتدايي","aardvark"
"ابدي","aardvarks"
"ابرو","aardwolf"
"ابعاد","aardwolves"
"آبي","Aaren"
"اپارتمان","Aargau"
"اپریل","aargh"
"اپلیکیشن","Aarhus"
"اپیل","Aarika"
"اتحاد","Aaron"
"اتل","Aaronic"
"اتلولي","Aaronical"
"اتم","Aaronite"
"اته","Aaronitic"
"اتومات","Aaron's-beard"
"اتوماتیک","Aaronsburg"
"اټکل","Aaronson"
"اټومي","AARP"
"اجازه","aarrgh"
"اجراات","aarrghh"
"اجراییه","Aaru"
"اجزا","AAS"
"اجماع","A'asia"
"اجنبی","aasvogel"
"اجنټ","aasvogels"
"اجنډا","AAU"
"اچول","AAUP"
"احتجاج","AAUW"
"احتمال","AAVSO"
"احتمالا","AAX"
"احساس","A-axes"
"احساسات","A-axis"
"احساساتي","AB"
"احسان","ab-"
"احصایوي","ABA"
"احصایې","Ababa"
"احمق","Ababdeh"
"اختراع","Ababua"
"اختلاف","abac"
"اختیار","abaca"
"اخراج","abacay"
"اخستل","abacas"
"اخلاق","abacate"
"اخلاقي","abacaxi"
"اخیستونکی","abaci"
"اداره","abacinate"
"اداري","abacination"
"اداری","abacisci"
"اداکاره","abaciscus"
"ادامه","abacist"
"ادب","aback"
"ادبي","abacli"
"ادراک","Abaco"
"ادراکي","abacot"
"ادعا","abacterial"
"ادغام","abactinal"
"اراده","abactinally"
"ارام","abaction"
"آرام","abactor"
"ارتباط","abaculi"
"ارزانه","abaculus"
"ارزښت","abacus"
"ارزښتناک","abacuses"
"ارزونه","Abad"
"آرشیف","abada"
"ارغواني","Abadan"
"ارګان","Abaddon"
"ارګانیزم","abadejo"
"ارمان","abadengo"
"ارواپوه","abadia"
"ارواپوهنه","Abadite"
"اروپایی","abaff"
"اړتیا","abaft"
"اړخ","Abagael"
"اړوند","Abagail"
"اړونده","Abagtha"
"اړیکه","abay"
"اړین","abayah"
"ازادي","Abailard"
"آزادي","abaisance"
"ازموینه","abaised"
"آس","abaiser"
"اساس","abaisse"
"اساسا","abaissed"
"اسانتیا","abaka"
"اسانتیاوي","Abakan"
"اسانه","abakas"
"استازی","Abakumov"
"استازیتوب","abalation"
"استثنا","abalienate"
"استخبارات","abalienated"
"استخدام","abalienating"
"استخراج","abalienation"
"استدلال","abalone"
"استعاره","abalones"
"استعداد","Abama"
"استعفا","abamp"
"استعماري","abampere"
"استقبال","abamperes"
"استملاک","abamps"
"استوایی","Abana"
"استوګنځی","aband"
"آستین","abandon"
"اسرار","abandonable"
"اسراییل","abandoned"
"اسعارو","abandonedly"
"اسلام","abandonee"
"اسلامي","abandoner"
"اسمان","abandoners"
"اسیایی","abandoning"
"اشاره","abandonment"
"اشراف","abandonments"
"آشنا","abandons"
"اصطلاح","abandum"
"اصل","abanet"
"اصلاح","abanga"
"اصلي","Abanic"
"اصول","abannition"
"اضافه","Abantes"
"اضافي","abapical"
"اضطراب","abaptiston"
"اعتبار","abaptistum"
"اعتراض","Abarambo"
"اعتراف","Abarbarea"
"اعتصاب","Abaris"
"اعدام","abarthrosis"
"اعصاب","abarticular"
"اعظمي","abarticulation"
"اعلامیه","Abas"
"اعلان","abase"
"اعلانونه","abased"
"اغوستل","abasedly"
"اغېزمن","abasedness"
"اغیز","abasement"
"اغیزمن","abasements"
"اغیزمنتوب","abaser"
"اغیزه","abasers"
"افادیت","abases"
"افریقی","Abasgi"
"افسانه","abash"
"افسر","abashed"
"افسوس","abashedly"
"افق","abashedness"
"افلاس","abashes"
"افواه","abashing"
"اقتباس","abashless"
"اقتصاد","abashlessly"
"اقتصادي","abashment"
"اقلیت","abashments"
"اقلیم","abasia"
"اګست","abasias"
"اکاډمي","abasic"
"اکتوبر","abasing"
"اکثر","abasio"
"اکثریت","abask"
"اکسیجن","abassi"
"الارم","Abassieh"
"البوم","Abassin"
"الفا","abastard"
"الکول","abastardize"
"الماری","abastral"
"الماس","abatable"
"الماني","abatage"
"الهام","Abate"
"الهی","abated"
"الهیات","abatement"
"الوتکه","abatements"
"الوتکې","abater"
"الوتنه","abaters"
"امپراتور","abates"
"امپراتورۍ","abatic"
"امتحان","abating"
"امتياز","abatis"
"امر","abatised"
"امریکایی","abatises"
"امکان","abatjour"
"امکانات","abatjours"
"املا","abaton"
"امنیت","abator"
"انا","abators"
"انارو","ABATS"
"انبار","abattage"
"انتخاب","abattis"
"انتخاباتي","abattised"
"انتظار","abattises"
"انتقاد","abattoir"
"انتقادي","abattoirs"
"انتقال","abattu"
"انتقام","abattue"
"انټرنیټ","Abatua"
"انٹرفیس","abature"
"انجن","abaue"
"انجیل","abave"
"انجینر","abaxial"
"انجینری","abaxile"
"انچ","abaze"
"انحصار","abb"
"انځور","Abba"
"انځورګر","abbacy"
"انځورول","abbacies"
"اندازه","abbacomes"
"اندام","Abbadide"
"اندروید","Abbai"
"اندېښمن","abbaye"
"اندیښمن","abbandono"
"اندیښنه","abbas"
"انرژي","abbasi"
"انزوا","Abbasid"
"انسان","abbassi"
"انسانیت","Abbassid"
"انستیتوت","Abbasside"
"انصاف","Abbate"
"انعام","abbatial"
"انعطاف","abbatical"
"انعکاس","abbatie"
"انفرادي","Abbe"
"انفلاسیون","Abbey"
"انفیکشن","abbeys"
"انقلاب","abbey's"
"انقلابي","abbeystead"
"انګړ","abbeystede"
"انګلیسي","abbes"
"انګیرنه","abbess"
"انګیزه","abbesses"
"انکار","abbest"
"آنلاین","Abbevilean"
"اهمیت","Abbeville"
"او","Abbevillian"
"او/یا","Abbi"
"اوبه","Abby"
"اوپرا","Abbie"
"اور","Abbye"
"اوږد","Abbyville"
"اوږدوالی","abboccato"
"اوږه","abbogada"
"اوریدل","Abbot"
"اوریدونکی","abbotcy"
"اوړه","abbotcies"
"اوړی","abbotnullius"
"اوس","abbotric"
"اوسپنه","abbots"
"اوسط","abbot's"
"اوښکې","Abbotsen"
"اوسنی","Abbotsford"
"اوسیدونکی","abbotship"
"اولمپیک","abbotships"
"اونس","Abbotson"
"اونۍ","Abbotsun"
"اوه","Abbott"
"اووم","Abbottson"
"اووه","Abbottstown"
"آیا","Abboud"
"آیت","abbozzo"
"ایتلاف","ABBR"
"ایټالیوي","abbrev"
"ایډیالوژیکي","abbreviatable"
"ایرانی","abbreviate"
"ایرلینډي","abbreviated"
"ایښودل","abbreviately"
"ایش","abbreviates"
"آیفون","abbreviating"
"ایکوسیستم","abbreviation"
"باثباته","abbreviations"
"باد","abbreviator"
"بار","abbreviatory"
"باران","abbreviators"
"باز","abbreviature"
"بازار","abbroachment"
"بازارموندنه","ABC"
"بازو","abcess"
"باسکیټبال","abcissa"
"باغ","abcoulomb"
"باکتریا","ABCs"
"بالاخره","abd"
"بالښت","abdal"
"بالغ","abdali"
"بالکل","abdaria"
"بالون","abdat"
"بانډ","Abdel"
"بانک","Abd-el-Kadir"
"بانکدار","Abd-el-Krim"
"بانکداري","Abdella"
"باور","Abderhalden"
"باید","Abderian"
"بايسکل","Abderite"
"بایلونکی","Abderus"
"بټ","abdest"
"بحالول","Abdias"
"بحث","abdicable"
"بحران","abdicant"
"بحري","abdicate"
"بخار","abdicated"
"بخت","abdicates"
"بختور","abdicating"
"بخښنه","abdication"
"بد","abdications"
"بدبخته","abdicative"
"بدصورت","abdicator"
"بدلول","Abdiel"
"بدلون","abditive"
"بدن","abditory"
"بدیل","abdom"
"بډایه","abdomen"
"برابر","abdomens"
"برابرول","abdomen's"
"برابرونکی","abdomina"
"براعظم","abdominal"
"براوزر","Abdominales"
"بربنډ","abdominalia"
"برتانوي","abdominalian"
"برج","abdominally"
"برخلیک","abdominals"
"برخه","abdominoanterior"
"برش","abdominocardiac"
"برعکس","abdominocentesis"
"برقی","abdominocystic"
"برګر","abdominogenital"
"برکت","abdominohysterectomy"
"برلاسی","abdominohysterotomy"
"بریا","abdominoposterior"
"بریالی","abdominoscope"
"بریالیتوب","abdominoscopy"
"برید","abdominothoracic"
"بریښنا","abdominous"
"بریښنالیک","abdomino-uterotomy"
"بزګر","abdominovaginal"
"بس","abdominovesical"
"بسپنه","Abdon"
"بستر","Abdu"
"بسته","abduce"
"بښنه","abduced"
"بشپ","abducens"
"بشپړ","abducent"
"بشپړتیا","abducentes"
"بصری","abduces"
"بصیرت","abducing"
"بغاوت","abduct"
"بقا","abducted"
"بقایا","abducting"
"بګ","abduction"
"بکس","abductions"
"بل","abduction's"
"بلاګ","abductor"
"بلاک","abductores"
"بلبل","abductors"
"بلکه","abductor's"
"بلنه","abducts"
"بلوا","Abdul"
"بلوط","Abdul-Aziz"
"بم","Abdul-baha"
"بمباري","Abdulla"
"بنچ","Abe"
"بند","a-be"
"بندر","abeam"
"بندول","abear"
"بندي","abearance"
"بندیز","Abebi"
"بنسټ","abecedaire"
"بنسټپاله","abecedary"
"بنسټیز","abecedaria"
"بنګ","abecedarian"
"بڼه","abecedarians"
"به","abecedaries"
"بهانه","abecedarium"
"بهر","abecedarius"
"بهرنۍ","abed"
"بهرني","abede"
"بوت","abedge"
"بوتل","Abednego"
"بوټ","abegge"
"بوټي","Abey"
"بوخت","abeyance"
"بودیجه","abeyances"
"بوره","abeyancy"
"بوش","abeyancies"
"بولډ","abeyant"
"بوم","abeigh"
"بونس","ABEL"
"بوی","Abelard"
"بیا","abele"
"بیابان","abeles"
"بیاکتنه","Abelia"
"بیان","Abelian"
"بیټرۍ","Abelicea"
"بير","Abelite"
"بیرته","Abell"
"بیرغ","Abelmoschus"
"بیرل","abelmosk"
"بیړنی","abelmosks"
"بیړه","abelmusk"
"بیړۍ","Abelonian"
"بیزو","Abelson"
"بیسبال","abeltree"
"بیسمینټ","Abencerrages"
"بیکاري","abend"
"بیل","abends"
"بیلګه","Abenezra"
"بیم","abenteric"
"بیمه","Abeokuta"
"بیورو","abepithymia"
"بیولوژي","ABEPP"
"بیولوژیکي","Abercromby"
"پاپ","Abercrombie"
"پاتې","Aberdare"
"پاچا","aberdavine"
"پادري","Aberdeen"
"پادری","Aberdeenshire"
"پارک","aberdevine"
"پارکینګ","Aberdonian"
"پارلمان","aberduvine"
"پاس","Aberfan"
"پاک","Aberglaube"
"پاکول","Aberia"
"پالتو","Aberystwyth"
"پالنه","Abernant"
"پالیسي","Abernathy"
"پام","abernethy"
"پاملرنه","Abernon"
"پانګه","aberr"
"پاڼه","aberrance"
"پاڼی","aberrancy"
"پای","aberrancies"
"پایپ","aberrant"
"پایله","aberrantly"
"پتلون","aberrants"
"پتلی","aberrate"
"پته","aberrated"
"پټ","aberrating"
"پټرول","aberration"
"پټه","aberrational"
"پټول","aberrations"
"پچ","aberrative"
"پخپله","aberrator"
"پخلنځي","aberrometer"
"پخلی","aberroscope"
"پخوانی","Abert"
"پخول","aberuncate"
"پدیده","aberuncator"
"پر","abesse"
"پراختیا","abessive"
"پراخه","abet"
"پراخول","abetment"
"پراسرار","abetments"
"پراګراف","abets"
"پرانیستل","abettal"
"پرته","abettals"
"پرچون","abetted"
"پرځای","abetter"
"پرده","abetters"
"پرس","abetting"
"پرسونل","abettor"
"پرمختګ","abettors"
"پرمختگ","Abeu"
"پرمختللی","abevacuation"
"پرمختیایی","abfarad"
"پرنسپل","abfarads"
"پرو","ABFM"
"پروپاګند","Abgatha"
"پروتوکول","ABHC"
"پروټین","abhenry"
"پروجیکشن","abhenries"
"پروژه","abhenrys"
"پروسه","abhinaya"
"پروسیسر","abhiseka"
"پروفایل","abhominable"
"پروفیسور","abhor"
"پروګرام","abhorred"
"پرون","abhorrence"
"پرېږده","abhorrences"
"پریډ","abhorrency"
"پریږده","abhorrent"
"پریزنټیشن","abhorrently"
"پریښودل","abhorrer"
"پریکړه","abhorrers"
"پریمیم","abhorrible"
"پړانګ","abhorring"
"پسرلی","abhors"
"پښه","Abhorson"
"پسونه","ABI"
"پل","aby"
"پلاټ","Abia"
"پلار","Abiathar"
"پلاستیک","Abib"
"پلان","abichite"
"پلټنه","abidal"
"پلټونکی","abidance"
"پلورنځي","abidances"
"پلورونکی","abidden"
"پلیټ","abide"
"پمپ","abided"
"پن","abider"
"پنبه","abiders"
"پنجره","abides"
"پنجشنبه","abidi"
"پنځلس","abiding"
"پنځم","abidingly"
"پنځه","abidingness"
"پنځوس","Abidjan"
"پنیر","Abydos"
"په","Abie"
"پوځ","abye"
"پوځي","abied"
"پوډر","abyed"
"پور","abiegh"
"پورتنی","abience"
"پورته","abient"
"پورچ","Abies"
"پوړ","abyes"
"پوز","abietate"
"پوزه","abietene"
"پوښ","abietic"
"پوستکی","abietin"
"پوښتنلیک","Abietineae"
"پوښتنه","abietineous"
"پوسټ","abietinic"
"پوسټر","abietite"
"پوښښ","Abiezer"
"پولیس","Abigael"
"پونډ","Abigail"
"پوه","abigails"
"پوهاوی","abigailship"
"پوهنتون","Abigale"
"پوهنځی","abigeat"
"پوهه","abigei"
"پوهیدل","abigeus"
"پېچلی","Abihu"
"پېرود","abying"
"پېرودونکی","Abijah"
"پیاز","Abyla"
"پیاله","abilao"
"پیانو","Abilene"
"پیټینټ","abiliment"
"پیچ","Abilyne"
"پیچلتیا","abilitable"
"پیچلي","ability"
"پیډ","abilities"
"پیرامیټر","ability's"
