"Indonesian","English"
"a","aardvark"
"ab","aardvarks"
"aba","aardwolf"
"aba-aba","aardwolves"
"abad","Aaren"
"abadi","Aargau"
"abadiah","aargh"
"abah","Aarhus"
"abah-abah","Aarika"
"abai","Aaron"
"abaimana","Aaronic"
"abaka","Aaronical"
"abaktinal","Aaronite"
"abakus","Aaronitic"
"abal-abal","Aaron's-beard"
"aban","Aaronsburg"
"abang","Aaronson"
"abangan","AARP"
"abangga","aarrgh"
"abar","aarrghh"
"abatoar","Aaru"
"abau","AAS"
"abdas","A'asia"
"abdi","aasvogel"
"abdikasi","aasvogels"
"abdomen","AAU"
"abdominal","AAUP"
"abdu","AAUW"
"abduksi","AAVSO"
"abduktor","AAX"
"abece","A-axes"
"aben","A-axis"
"aberasi","AB"
"abet","ab-"
"abian","ABA"
"abid","Ababa"
"abidin","Ababdeh"
"abilah","Ababua"
"abing","abac"
"abiogenesis","abaca"
"abiosfer","abacay"
"abiotik","abacas"
"abis","abacate"
"abisal","abacaxi"
"abiseka","abaci"
"abiturien","abacinate"
"abjad","abacination"
"abjadiah","abacisci"
"ablasi","abaciscus"
"ablaut","abacist"
"ablepsia","aback"
"abnormal","abacli"
"abnormalitas","Abaco"
"abnus","abacot"
"aboi","abacterial"
"abolisi","abactinal"
"abon","abactinally"
"abonemen","abaction"
"abong-abong","abactor"
"aborsi","abaculi"
"abortif","abaculus"
"abortiva","abacus"
"abortus","abacuses"
"abrak","Abad"
"abrakadabra","abada"
"abrar","Abadan"
"abras","Abaddon"
"abrasi","abadejo"
"abreaksi","abadengo"
"abrek","abadia"
"abreviasi","Abadite"
"abrikos","abaff"
"abrit-abrit","abaft"
"abrosfer","Abagael"
"absah","Abagail"
"absen","Abagtha"
"absensi","abay"
"absensia","abayah"
"absente","Abailard"
"absenteisme","abaisance"
"abses","abaised"
"absis","abaiser"
"absolusi","abaisse"
"absolut","abaissed"
"absolutisme","abaka"
"absonan","Abakan"
"absorb","abakas"
"absorben","Abakumov"
"absorbir","abalation"
"absorpsi","abalienate"
"absorpsiometer","abalienated"
"absorptif","abalienating"
"abstain","abalienation"
"abstinensi","abalone"
"abstrak","abalones"
"abstraksi","Abama"
"absurd","abamp"
"absurdisme","abampere"
"abtar","abamperes"
"abu","abamps"
"abu-abu","Abana"
"abuan","aband"
"abuh","abandon"
"abuk","abandonable"
"abuk-abuk","abandoned"
"abul","abandonedly"
"abulhayat","abandonee"
"abulia","abandoner"
"abun-abun","abandoners"
"abur","abandoning"
"abus","abandonment"
"abyad","abandonments"
"acah","abandons"
