"Telugu","English"
"అంకితం","aardvark"
"అంగడి","aardvarks"
"అంగీకరించు","aardwolf"
"అంగీకరిస్తున్నాను","aardwolves"
"అంగీకరిస్తున్నారు","Aaren"
"అంగీకారం","Aargau"
"అంగుళం","aargh"
"అంచనా","Aarhus"
"అంచు","Aarika"
"అంటున్నారు","Aaron"
"అంతటా","Aaronic"
"అంతరం","Aaronical"
"అంతర్గత","Aaronite"
"అంతర్జాతీయ","Aaronitic"
"అంతర్జాలం","Aaron's-beard"
"అంతర్దృష్టి","Aaronsburg"
"అంతర్లీన","Aaronson"
"అంతస్తు","AARP"
"అంతిమ","aarrgh"
"అంతులేని","aarrghh"
"అంత్యక్రియలు","Aaru"
"అందం","AAS"
"అందగాడు","A'asia"
"అందజేయడం","aasvogel"
"అందములేని","aasvogels"
"అందమైన","AAU"
"అందరూ","AAUP"
"అందించడానికి","AAUW"
"అందించారు","AAVSO"
"అందిస్తోంది","AAX"
"అందుకుంటారు","A-axes"
"అందుకే","A-axis"
"అందుబాటులో","AB"
"అందువలన","ab-"
"అంధుడు","ABA"
"అంశం","Ababa"
"అకస్మాత్తుగా","Ababdeh"
"అకాడమీ","Ababua"
"అకారణంగా","abac"
"అకౌంటింగ్","abaca"
"అక్కడ","abacay"
"అక్టోబర్","abacas"
"అక్షరాలా","abacate"
"అక్షరాస్యత","abacaxi"
"అగ్ని","abaci"
"అజ్ఞాత","abacinate"
"అజ్ఞానం","abacination"
"అజ్ఞాని","abacisci"
"అటువంటి","abaciscus"
"అడగండి","abacist"
"అడవి","aback"
"అడుగు","abacli"
"అడ్డంకి","Abaco"
"అణగదొక్కండి","abacot"
"అణగారిన","abacterial"
"అణు","abactinal"
"అణువు","abactinally"
"అతనిని","abaction"
"అతను","abactor"
"అతిథి","abaculi"
"అత్త","abaculus"
"అత్యంత","abacus"
"అత్యవసర","abacuses"
"అత్యవసరము","Abad"
"అత్యాచారం","abada"
"అత్యుత్సాహం","Abadan"
"అత్యున్నతమైనది","Abaddon"
"అథ్లెటిక్","abadejo"
"అదనంగా","abadengo"
"అదనపు","abadia"
"అది","Abadite"
"అదుపు","abaff"
"అదుపుచేయలేని","abaft"
"అదృశ్య","Abagael"
"అదృశ్యం","Abagail"
"అదృశ్యమవడం","Abagtha"
"అదృష్ట","abay"
"అదృష్టం","abayah"
"అదృష్టవశాత్తూ","Abailard"
"అదే","abaisance"
"అదేవిధంగా","abaised"
"అద్దం","abaiser"
"అద్దెకు","abaisse"
"అద్భుతం","abaissed"
"అద్భుతమైన","abaka"
"అద్భుతమైన","Abakan"
"అధిక","abakas"
"అధికారం","Abakumov"
"అధికారి","abalation"
"అధికారిక","abalienate"
"అధికారికంగా","abalienated"
"అధిగమించటం","abalienating"
"అధిగమించేందుకు","abalienation"
"అధినేత","abalone"
"అధునాతనమైన","abalones"
"అధ్యక్షపదవి","Abama"
"అధ్యక్షుడు","abamp"
"అధ్యాపకులు","abampere"
"అధ్యాయం","abamperes"
"అనారోగ్యం","abamps"
"అని","Abana"
"అనిపించవచ్చు","aband"
"అనివార్యమైన","abandon"
"అనిశ్చితి","abandonable"
"అనుకుంటాను","abandoned"
"అనుకుందాం","abandonedly"
"అనుకున్నాడు","abandonee"
"అనుకున్నారు","abandoner"
"అనుకూల","abandoners"
"అనుకూలంగా","abandoning"
"అనుకూలమైన","abandonment"
"అనుకోవచ్చు","abandonments"
"అనుగుణంగా","abandons"
"అనుగ్రహించు","abandum"
"అనుచరుడు","abanet"
"అనుబంధం","abanga"
"అనుబంధించబడింది","Abanic"
"అనుభవం","abannition"
"అనుభవజ్ఞుడు","Abantes"
"అనుభవించాడు","abapical"
"అనుభూతి","abaptiston"
"అనుమతి","abaptistum"
"అనుమతిస్తాయి","Abarambo"
"అనుమానం","Abarbarea"
"అనుమానాస్పదమైన","Abaris"
"అనుమానితుడు","abarthrosis"
"అనువదించు","abarticular"
