"Kinyarwanda","English"
"aah","aardvark"
"ababyeyi","aardvarks"
"abaguzi","aardwolf"
"abahamya","aardwolves"
"abakene","Aaren"
"abakinnyi","Aargau"
"Abakinnyi","aargh"
"abakire","Aarhus"
"abakozi","Aarika"
"abantu","Aaron"
"abanyamahanga","Aaronic"
"abanzi","Aaronical"
"abapolisi","Aaronite"
"abarushwamwa","Aaronitic"
"abarwayi","Aaron's-beard"
"abasezeranya","Aaronsburg"
"abatashoboye","Aaronson"
"Abaterankunga","AARP"
"abatinganyi","aarrgh"
"abatishoboye","aarrghh"
"abaturage","Aaru"
"Abaturanyi","AAS"
"abayapani","A'asia"
"abayobozi","aasvogel"
"abazi","aasvogels"
"abemera","AAU"
"abenshi","AAUP"
"abo","AAUW"
"abstract","AAVSO"
"abumva","AAX"
"ad","A-axes"
"adahari","A-axis"
"aderesi","AB"
"afferi","ab-"
"african","ABA"
"african-american","Ababa"
"agace","Ababdeh"
"agaciro","Ababua"
"agacye","abac"
"agahanga","abaca"
"agahinda","abacay"
"agakoko","abacas"
"agamije","abacate"
"agasanduku","abacaxi"
"agasozi","abaci"
"agasumali","abacinate"
"agateka","abacination"
"Agenda","abacisci"
"AGEZE","abaciscus"
"ah","abacist"
"ahandi","aback"
"ahanini","abacli"
"ahantu","Abaco"
"ahari","abacot"
"ahazabera","abacterial"
"ahazamuka","abactinal"
"aherutse","abactinally"
"aho","abaction"
"Ahobiyuhagira","abactor"
"Ahubwo","abaculi"
"Ahutagirira","abaculus"
"ahuze","abacus"
"ajamwo","abacuses"
"akabati","Abad"
"Akabuto","abada"
"akadomo","Abadan"
"akaga","Abaddon"
"akagurumu","abadejo"
"akajagari","abadengo"
"akamaro","abadia"
"akamenyero","Abadite"
"akamenyetso","abaff"
"akamo","abaft"
"akananwa","Abagael"
"akanovera","Abagail"
"akanya","Abagtha"
"akanyamasyo","abay"
"akarengane","abayah"
"akarere","Abailard"
"akaruhuko","abaisance"
"akarusho","abaised"
"akayiko","abaiser"
"Akayunguruzo","abaisse"
"akaze","abaissed"
"akazi","abaka"
"akiriho","Abakan"
"akonje","abakas"
"akoresha","Abakumov"
"akuze","abalation"
"album","abalienate"
"Alpha","abalienated"
"alright","abalienating"
"Alter","abalienation"
"am","abalone"
"amaboko-Umwenda","abalones"
"amabwiriza","Abama"
"amafaranga","abamp"
"amafi","abampere"
"amagambo","abamperes"
"amaganya","abamps"
"amagezi","Abana"
"amaherezo","aband"
"amahirwe","abandon"
"amahoro","abandonable"
"amahugurwa","abandoned"
"Amajwi","abandonedly"
"amakimbirane","abandonee"
"amakosa","abandoner"
"amakuru","abandoners"
"amanota","abandoning"
"amanutse","abandonment"
"amanywa","abandonments"
"amapfa","abandons"
"amarira","abandum"
"amarushanwa","abanet"
"Amasanamu","abanga"
"amasezerano","Abanic"
"amashanyarazi","abannition"
"amashyanyarazi","Abantes"
"amaso","abapical"
"amasoko","abaptiston"
"amasomo","abaptistum"
"amata","Abarambo"
"amategeko","Abarbarea"
"amateka","Abaris"
"amatongo","abarthrosis"
"amatora","abarticular"
"amatsiko","abarticulation"
"amatungo","Abas"
"amavuta","abase"
"Amavuta","abased"
"amayobera","abasedly"
"amazi","abasedness"
"ambasade","abasement"
"ambasaderi","abasements"
"amenya","abaser"
"ameza","abasers"
"amoko","abases"
"ananiwe","Abasgi"
"andika","abash"
"android","abashed"
"Angaho","abashedly"
