"Tajik","English"
"cap","aardvark"
"CD","aardvarks"
"ipad","aardwolf"
"iphone","aardwolves"
"tg","Aaren"
"twitter","Aargau"
"а","aargh"
"аа","Aarhus"
"абадӣ","Aarika"
"аблаҳ","Aaron"
"абр","Aaronic"
"абрешим","Aaronical"
"абрӯ","Aaronite"
"аввал","Aaronitic"
"август","Aaron's-beard"
"аврупоӣ","Aaronsburg"
"авто","Aaronson"
"автобус","AARP"
"автоматӣ","aarrgh"
"агар","aarrghh"
"агент","Aaru"
"агенти","AAS"
"адабй","A'asia"
"адабиёт","aasvogel"
"адад","aasvogels"
"адвокат","AAU"
"адолат","AAUP"
"аён","AAUW"
"аждаҳо","AAVSO"
"аз","AAX"
"азиз","A-axes"
"азизам","A-axis"
"азим","AB"
"азми","ab-"
"айб","ABA"
"айбнома","Ababa"
"айвон","Ababdeh"
"айнан","Ababua"
"академик","abac"
"академия","abaca"
"акаллият","abacay"
"акр","abacas"
"аксарият","abacate"
"актёр","abacaxi"
"актриса","abaci"
"акцент","abacinate"
"ақл","abacination"
"аламовар","abacisci"
"аланга","abaciscus"
"алаф","abacist"
"албатта","aback"
"албом","abacli"
"аллакай","Abaco"
"алмос","abacot"
"алоқаманд","abacterial"
"аломат","abactinal"
"алтернатива","abactinally"
"алфа","abaction"
"амак","abactor"
"амакбача","abaculi"
"амал","abaculus"
"амалан","abacus"
"амалй","abacuses"
"амалиёт","Abad"
"амалия","abada"
"амалкунанда","Abadan"
"америкоӣ","Abaddon"
"амиқ","abadejo"
"амлок","abadengo"
"аммо","abadia"
"амният","Abadite"
"амонат","abaff"
"анбор","abaft"
"ангеза","Abagael"
"ангишт","Abagail"
"англисӣ","Abagtha"
"ангушт","abay"
"андеша","abayah"
"андоз","Abailard"
"андоза","abaisance"
"андозагирӣ","abaised"
"андозсупоранда","abaiser"
"андроид","abaisse"
"аниқ","abaissed"
"анъана","abaka"
"анъанавӣ","Abakan"
"апрел","abakas"
"араб","Abakumov"
"арак","abalation"
"арахис","abalienate"
"арвох","abalienated"
"арғувон","abalienating"
"арена","abalienation"
"арзёбӣ","abalone"
"арзиш","abalones"
"арзишманд","Abama"
"арзон","abamp"
"ариза","abampere"
"армия","abamperes"
"ароба","abamps"
"арӯс","Abana"
"архив","aband"
"асаб","abandon"
"асабонӣ","abandonable"
"асал","abandoned"
"асбоб","abandonedly"
"асил","abandonee"
"аслан","abandoner"
"аслӣ","abandoners"
"асо","abandoning"
"асос","abandonment"
"асосан","abandonments"
"асоси","abandons"
"асосй","abandum"
"асосӣ","abanet"
"асоснок","abanga"
"асп","Abanic"
"аср","abannition"
"асрор","Abantes"
"ассотсиатсия","abapical"
"астроном","abaptiston"
"асъор","abaptistum"
"атмосфера","Abarambo"
"атрибут","Abarbarea"
"атрофи","Abaris"
"аттракцион","abarthrosis"
"афзалият","abarticular"
