"Sundanese","English"
"abad","aardvark"
"abdi","aardvarks"
"aborsi","aardwolf"
"abstrak","aardwolves"
"acak-acakan","Aaren"
"acan","Aargau"
"acara","aargh"
"acquire","Aarhus"
"acre","Aarika"
"acuk","Aaron"
"adaptasi","Aaronic"
"adat","Aaronical"
"adegan","Aaronite"
"adi","Aaronitic"
"adil","Aaron's-beard"
"administrasi","Aaronsburg"
"administratif","Aaronson"
"adonan","AARP"
"aduh","aarrgh"
"aduk","aarrghh"
"affordable","Aaru"
"Afrika","AAS"
"Afrika-Amérika","A'asia"
"agama","aasvogel"
"agén","aasvogels"
"agenda","AAU"
"agénsi","AAUP"
"agrésif","AAUW"
"agung","AAVSO"
"agustusan","AAX"
"ah","A-axes"
"ahir","A-axis"
"ahli","AB"
"ajag","ab-"
"ajeg","ABA"
"ajudan","Ababa"
"akademi","Ababdeh"
"akademis","Ababua"
"akar","abac"
"akibatna","abaca"
"akina","abacay"
"aksen","abacas"
"aksés","abacate"
"aktip","abacaxi"
"aktivis","abaci"
"aktor","abacinate"
"aktris","abacination"
"akuisisi","abacisci"
"akun","abaciscus"
"akuntansi","abacist"
"akurasi","aback"
"akurat","abacli"
"alam","Abaco"
"alamat","abacot"
"alarem","abacterial"
"alat","abactinal"
"alatan","abactinally"
"albeum","abaction"
"alesan","abactor"
"alfa","abaculi"
"alien","abaculus"
"alinea","abacus"
"aliran","abacuses"
"alkohol","Abad"
"alternatif","abada"
"alus","Abadan"
"am","Abaddon"
"aman","abadejo"
"amanat","abadengo"
"amandemen","abadia"
"amarah","Abadite"
"ambek","abaff"
"ambekan","abaft"
"ambisi","Abagael"
"ambisius","Abagail"
"ambruk","Abagtha"
"Amérika","abay"
"amis","abayah"
"ampir","Abailard"
"amplop","abaisance"
"anaking","abaised"
"analis","abaiser"
"analisis","abaisse"
"ancaman","abaissed"
"android","abaka"
"anduk","Abakan"
"aneh","abakas"
"aneh","Abakumov"
"anggapan","abalation"
"anggaran","abalienate"
"angger","abalienated"
"anggota","abalienating"
"angin","abalienation"
"angka","abalone"
"angkasa","abalones"
"angkat","Abama"
"angkét","abamp"
"angkot","abampere"
"angkutan","abamperes"
"anjeun","abamps"
"anjeunna","Abana"
"anjing","aband"
"anjog","abandon"
"ankle","abandonable"
"anonim","abandoned"
"antawis","abandonedly"
"antosan","abandonee"
"antukna","abandoner"
"anu","abandoners"
"anyar","abandoning"
"apdet","abandonment"
"apel","abandonments"
"aplikasi","abandons"
"april","abandum"
"arab","abanet"
"arah","abanga"
"aranjeunna","Abanic"
"arena","abannition"
"argumen","Abantes"
"ari","abapical"
"armada","abaptiston"
"arsip","abaptistum"
"arsiték","Abarambo"
"arsitéktur","Abarbarea"
"artikel","Abaris"
"artis","abarthrosis"
"artistik","abarticular"
"asa-asa","abarticulation"
"asam","Abas"
"asét","abase"
"asia","abased"
"asing","abasedly"
"asisten","abasedness"
"asli","abasement"
"aslina","abasements"
"asmara","abaser"
"asosiasi","abasers"
"aspék","abases"
"asuh","Abasgi"
"asup","abash"
"Asup","abashed"
"asupan","abashedly"
"asupkeun","abashedness"
"asupna","abashes"
"asuransi","abashing"
"atah","abashless"
"atawa","abashlessly"
"ati","abashment"
"ati-ati","abashments"
"atikan","abasia"
"atlétik","abasias"
"atlit","abasic"
"atmosfir","abasing"
"atra","abasio"
"atraksi","abask"
"atribut","abassi"
"aturan","Abassieh"
"aub","Abassin"
"aula","abastard"
"awak","abastardize"
"awal","abastral"
"awan","abatable"
"awewe","abatage"
"awon","Abate"
"aya","abated"
"ayana","abatement"
"ayat","abatements"
"ayeuna","abater"
"bab","abaters"
"babad","abates"
"babagi","abatic"
"babagian","abating"
"babandingan","abatis"
"babarengan","abatised"
"Babasan","abatises"
"babe","abatjour"
"babi","abatjours"
"bacaan","abaton"
"badag","abator"
"badarat","abators"
"bagan","ABATS"
"bagian","abattage"
"bagja","abattis"
"bahan","abattised"
"bahaya","abattises"
"Bahaya","abattoir"
"baheula","abattoirs"
"Bajingan","abattu"
"bajoang","abattue"
"baju","Abatua"
"bakal","abature"
"bakat","abaue"
"bako","abave"
"bakteri","abaxial"
"bakti","abaxile"
"bal","abaze"
"balanja","abb"
"balapan","Abba"
"balaréa","abbacy"
"balayar","abbacies"
"balesan","abbacomes"
"balok","Abbadide"
"balon","Abbai"
"balong","abbaye"
"ban","abbandono"
"band","abbas"
"bandara","abbasi"
"bandéra","Abbasid"
"banding","abbassi"
"bang","Abbassid"
"bangbarung","Abbasside"
"bangkrut","Abbate"
"bangku","abbatial"
"bangsa","abbatical"
"bangsat","abbatie"
"Bangsat","Abbe"
"bank","Abbey"
"bankir","abbeys"
"bantahan","abbey's"
"bantal","abbeystead"
"banteng","abbeystede"
"bantingan","abbes"
"bantuan","abbess"
"bapa","abbesses"
"bar","abbest"
"barang","Abbevilean"
"barat","Abbeville"
"baraya","Abbevillian"
"barengan","Abbi"
"bari","Abby"
"baris","Abbie"
"barontak","Abbye"
"basa","Abbyville"
"basajan","abboccato"
"baseball","abbogada"
"basement","Abbot"
"baseuh","abbotcy"
"basisir","abbotcies"
"baskét","abbotnullius"
"bat","abbotric"
"bata","abbots"
"batin","abbot's"
"batré","Abbotsen"
"batu","Abbotsford"
"batubara","abbotship"
"batur","abbotships"
"bawang","Abbotson"
"bayah","Abbotsun"
"beasiswa","Abbott"
"beban","Abbottson"
"bébas","Abbottstown"
"bebek","Abboud"
"bebeneran","abbozzo"
"béda","ABBR"
"bedah","abbrev"
"bédana","abbreviatable"
"bedil","abbreviate"
"bejana","abbreviated"
"bek","abbreviately"
"beku","abbreviates"
"bel","abbreviating"
"belanja","abbreviation"
"belasan","abbreviations"
"benang","abbreviator"
"bener","abbreviatory"
"bengkel","abbreviators"
"béngsin","abbreviature"
"bentang","abbroachment"
"béntang","ABC"
"berbakat","abcess"
"berehan","abcissa"
"beresih","abcoulomb"
"berharga","ABCs"
"berkah","abd"
"berkas","abdal"
"beroperasi","abdali"
"berpotensi","abdaria"
"bersaing","abdat"
"bersejarah","Abdel"
"bersyukur","Abd-el-Kadir"
"bet","Abd-el-Krim"
"betah","Abdella"
"beton","Abderhalden"
"Betot","Abderian"
"beuheung","Abderite"
"beuki","Abderus"
"Beulah","abdest"
"beungbeurat","Abdias"
"beungeut","abdicable"
"beunghar","abdicant"
"beungkeutan","abdicate"
"beurang","abdicated"
"beurat","abdicates"
"beureum","abdicating"
"beurit","abdication"
"beus","abdications"
"beusi","abdicative"
"beuteung","abdicator"
"bewara","Abdiel"
"biantara","abditive"
"bias","abditory"
"biasa","abdom"
"biasana","abdomen"
"bibel","abdomens"
"bibi","abdomen's"
"bieu","abdomina"
"biologi","abdominal"
"biologis","Abdominales"
"bir","abdominalia"
"biro","abdominalian"
"biru","abdominally"
"bisa","abdominals"
"bit","abdominoanterior"
"biwir","abdominocardiac"
"blog","abdominocentesis"
"Blok","abdominocystic"
"bocor","abdominogenital"
"bodas","abdominohysterectomy"
"bodo","abdominohysterotomy"
"boga","abdominoposterior"
"boh","abdominoscope"
"bom","abdominoscopy"
"boneka","abdominothoracic"
"bongbolongan","abdominous"
"bonus","abdomino-uterotomy"
"booming","abdominovaginal"
"bor","abdominovesical"
"boro-boro","Abdon"
"bos","Abdu"
"botol","abduce"
"browser","abduced"
"brutal","abducens"
"bu","abducent"
"buah","abducentes"
"buana","abduces"
"bubu","abducing"
"bubuk","abduct"
"bubuka","abducted"
"budak","abducting"
"bug","abduction"
"bukti","abductions"
"buktina","abduction's"
"buku","abductor"
"bulan","abductores"
"bulanan","abductors"
"buleud","abductor's"
"bulistir","abducts"
"bumi","Abdul"
"buncis","Abdul-Aziz"
"bunderan","Abdul-baha"
"bungah","Abdulla"
"bungkus","Abe"
"buntut","a-be"
"burger","abeam"
"burit","abear"
"bursa","abearance"
"buruh","Abebi"
"buta","abecedaire"
"butut","abecedary"
"buuk","abecedaria"
"caah","abecedarian"
"caang","abecedarians"
"cacad","abecedaries"
"cacah","abecedarium"
"cadangan","abecedarius"
"cadangkeun","abed"
"cageur","abede"
