"Sindhi","English"
"۽","aardvark"
"۽/يا","aardvarks"
"۾","aardwolf"
"آ","aardwolves"
"آبادي","Aaren"
"ابتدائي","Aargau"
"ابرو","aargh"
"اڀرندڙ","Aarhus"
"اڀرندي","Aarika"
"اڀرڻ","Aaron"
"اڀياس","Aaronic"
"اپارٽمينٽ","Aaronical"
"آپريٽر","Aaronite"
"آپريٽنگ","Aaronitic"
"آپريشن","Aaron's-beard"
"اپريل","Aaronsburg"
"اپنائڻ","Aaronson"
"اپيل","AARP"
"اتحاد","aarrgh"
"اتحادي","aarrghh"
"اتر","Aaru"
"اتفاق","AAS"
"اتي","A'asia"
"اٺ","aasvogel"
"اٺون","aasvogels"
"اٽو","AAU"
"اثاثو","AAUP"
"اثر","AAUW"
"اثرائتو","AAVSO"
"اجازت","AAX"
"اجتماعي","A-axes"
"اجنبي","A-axis"
"اجورو","AB"
"اڃا","ab-"
"اڃان","ABA"
"اڄ","Ababa"
"آچر","Ababdeh"
"اچڻ","Ababua"
"آڇ","abac"
"اڇلائڻ","abaca"
"اُڇلڻ","abacay"
"اڇو","abacas"
"احتجاج","abacate"
"احتساب","abacaxi"
"احساس","abaci"
"احسان","abacinate"
"اخبار","abacination"
"اختيار","abacisci"
"اخراج","abaciscus"
"آخرڪار","abacist"
"آخري","aback"
"اخلاقي","abacli"
"اخلاقيات","Abaco"
"ادا","abacot"
"ادارتي","abacterial"
"ادارو","abactinal"
"اداس","abactinally"
"اداڪار","abaction"
"ادائگي","abactor"
"ادب","abaculi"
"ادبي","abaculus"
"اڏام","abacus"
"اڏامڻ","abacuses"
"اڏاوت","Abad"
"اڌ","abada"
"ارادو","Abadan"
"آرام","Abaddon"
"آرامده","abadejo"
"ارب","abadengo"
"اربع","abadia"
"ارتقا","Abadite"
"آرڪائيو","abaff"
"آزاد","abaft"
"آزادي","Abagael"
"آزمائش","Abagail"
"اسان","Abagtha"
"آسان","abay"
"آساني","abayah"
"اسپانسر","Abailard"
"اسپتال","abaisance"
"اسپيڪٽرم","abaised"
"اسپيڪر","abaiser"
"اسپيل","abaisse"
"استاد","abaissed"
"استثنا","abaka"
"استحڪام","Abakan"
"استعارا","abakas"
"استعمال","Abakumov"
"استقبال","abalation"
"اسٽاڪ","abalienate"
"اسٽوڊيو","abalienated"
"اسٽور","abalienating"
"اسٽوريج","abalienation"
"اسٽيج","abalone"
"اسٽيڊيم","abalones"
"اسٽيشن","Abama"
"اسٽيڪ","abamp"
"اسٽيل","abampere"
"اسٽيم","abamperes"
"اسرار","abamps"
"اسرائيلي","Abana"
"اسڪالرشپ","aband"
"اسڪائوٽ","abandon"
"اسڪرپٽ","abandonable"
"اسڪرو","abandoned"
"اسڪرين","abandonedly"
"اسڪريننگ","abandonee"
"اسڪواڊ","abandoner"
"اسڪور","abandoners"
"اسڪول","abandoning"
"اسڪي","abandonment"
"اسڪيم","abandonments"
"اسڪين","abandons"
"اسڪينڊل","abandum"
"اسلام","abanet"
"اسلامي","abanga"
"آسمان","Abanic"
"اسيمبلي","abannition"
"اشارو","Abantes"
"اشاعت","abapical"
"اشتهار","abaptiston"
"اشرافيه","abaptistum"
"اصطلاح","Abarambo"
"اصل","Abarbarea"
"اصلاح","Abaris"
"اصول","abarthrosis"
"اضافي","abarticular"
"اطالوي","abarticulation"
"اطمينان","Abas"
"اظهار","abase"
"اعتبار","abased"
"اعتراض","abasedly"
"اعتماد","abasedness"
"اعصاب","abasement"
"اعظم","abasements"
"اعلان","abaser"
"اعليٰ","abasers"
"افاديت","abases"
"آفاقي","Abasgi"
"آفت","abash"
"افراتفري","abashed"
"آفريڪي","abashedly"
"آفريڪي-آمريڪي","abashedness"
