"Estonian","English"
"aadress","aardvark"
"aafriklane","aardvarks"
"aah","aardwolf"
"aaker","aardwolves"
"aare","Aaren"
"äärelinn","Aargau"
"äärelinna","aargh"
"äärmiselt","Aarhus"
"äärmuslik","Aarika"
"Aasia","Aaron"
"aastal","Aaronic"
"aastapäeva","Aaronical"
"aastas","Aaronite"
"aastast","Aaronitic"
"abi","Aaron's-beard"
"abielluda","Aaronsburg"
"abielu","Aaronson"
"abielus","AARP"
"abikaasa","aarrgh"
"abikõlblikud","aarrghh"
"abimees","Aaru"
"abistada","AAS"
"abivahendid","A'asia"
"abivalmis","aasvogel"
"abort","aasvogels"
"absoluutne","AAU"
"absoluutselt","AAUP"
"absorbeerima","AAUW"
"abstraktne","AAVSO"
"administraator","AAX"
"administratiivne","A-axes"
"administreerida","A-axis"
"administreerimine","AB"
"adopteerida","ab-"
"advokaat","ABA"
"aed","Ababa"
"aega","Ababdeh"
"aeg-ajalt","Ababua"
"aeglane","abac"
"aeglaselt","abaca"
"afäär","abacay"
"Afro-Ameerika","abacas"
"aga","abacate"
"agent","abacaxi"
"agentuur","abaci"
"agressiivne","abacinate"
"ah","abacination"
"Ah","abacisci"
"ahhetama","abaciscus"
"ahistamine","abacist"
"ahju","aback"
"ahv","abacli"
"ähvardama","Abaco"
"aine","abacot"
"ainulaadne","abacterial"
"ainult","abactinal"
"ait","abactinally"
"aitäh","abaction"
"ajakava","abactor"
"ajakiri","abaculi"
"ajakirjandus","abaculus"
"ajakirjanik","abacus"
"ajal","abacuses"
"ajaleht","Abad"
"ajaloolane","abada"
"ajalooline","Abadan"
"ajalooliselt","Abaddon"
"ajalugu","abadejo"
"ajastu","abadengo"
"ajastus","abadia"
"ajaveebi","Abadite"
"aju","abaff"
"ajutine","abaft"
"akadeemia","Abagael"
"Akadeemiline","Abagail"
"aken","Abagtha"
"äkki","abay"
"aktiivne","abayah"
"aktiivselt","Abailard"
"aktivist","abaisance"
"aktsent","abaised"
"aktsepteerima","abaiser"
"aku","abaisse"
"ala","abaissed"
"alaealine","abaka"
"alasti","Abakan"
"alates","abakas"
"alati","Abakumov"
"album","abalation"
"alfa","abalienate"
"algatada","abalienated"
"algatus","abalienating"
"algselt","abalienation"
"algust","abalone"
"alkohol","abalones"
"all","Abama"
"alla","abamp"
"allahindlust","abampere"
"allee","abamperes"
"allesjäänud","abamps"
"allikas","Abana"
"allkiri","aband"
"allpool","abandon"
"alternatiivne","abandonable"
"alus","abandoned"
"aluseks","abandonedly"
"alustada","abandonee"
"alustades","abandoner"
"ämber","abandoners"
"ambitsioon","abandoning"
"ameeriklane","abandonment"
"ametlik","abandonments"
"ametlikult","abandons"
"ametnik","abandum"
"analüüs","abanet"
"analüüsida","abanga"
"analüütik","Abanic"
"anda","abannition"
"andekas","Abantes"
"andesta","abapical"
"andmebaasi","abaptiston"
"andmeid","abaptistum"
