"Azerbaijani","English"
"abad","prosperous"
"abadan","prosperously"
"abadanlıq","prosperity"
"abadlaşdırılma","being developed"
"abadlaşdırılmaq","to be developed"
"abadlaşdırma","development"
"abadlaşdırmaq","develop"
"abadlaşma","improvement"
"abadlaşmaq","improve"
"abadlıq","prosperity"
"abajur","lampshade"
"abajurlu","with lampshade"
"abandon","abandon"
"abazin","Abkhazian"
"abaziya","Abkhazia"
"abbası","Abbasid"
"abbasılıq","Abbasid quality"
"abbasi","Abbasid"
"abbat","abbot"
"abbatlıq","abbacy"
"abdal","fool"
"abdali","foolish"
"abdallaşma","foolishness"
"abdallaşmaq","become foolish"
"abdəst","ablution"
"abdəstxana","ablution room"
"abdəstli","with ablution"
"abdəstlik","ablution state"
"abdəstsiz","without ablution"
"abdominal","abdominal"
"abduksiya","abduction"
"abduktor","abductor"
"abgərdan","necklace"
"abxazca","Abkhazian"
"abı","navy blue"
"abıca","navy blue"
"abılıq","navy blue quality"
"abır","honor"
"abırlama","gaining honor"
"abırlamaq","gain honor"
"abırlandırma","honoring"
"abırlandırmaq","honor"
"abırlanma","being honored"
"abırlanmaq","be honored"
"abırlı","honest"
"abırlılıq","honesty"
"abırsız","dishonest"
"abırsızca","dishonestly"
"abırsızcasına","dishonestly"
"abırsızlıq","dishonesty"
"abıtəhər","carelessly"
"abid","devotee"
"abidcəsinə","like a devotee"
"abidə","monument"
"abidəətrafı","monument surroundings"
"abidəqoyma","monument erection"
"abidəli","with monument"
"abidəsiz","without monument"
"abidəyanı","near monument"
"abidləşmə","monumentalization"
"abidləşmək","become monumental"
"abiogenez","abiogenesis"
"abionim","abionim"
"abiotik","abiotic"
"abiotrofiya","abiotrophy"
"abituriyent","entrant"
"abqora","stingy"
"abqoralı","with stinginess"
"abqoralıq","stinginess"
"abqorasız","without stinginess"
"ablastika","ablastika"
"ablativ","ablative"
"ablaut","ablaut"
"ablefariya","ablepharia"
"ablepsiya","ablepsia"
"ablyasiya","ablation"
"abonement","subscription"
"abonent","subscriber"
"aborigen","aborigine"
"abort","abortion"
"abortiv","abortive"
"abortivlik","abortiveness"
"abortsanq","abortionist"
"abraxiya","abrasion"
"abraziv","abrasive"
"abrazivlik","abrasiveness"
"abraziya","abrasion"
"abreviasiya","abbreviation"
"abreviatur","abbreviation"
"abrikotin","apricot"
"abroqasiya","abrogation"
"absans","absence"
"absent","absent"
"absenteizm","absenteeism"
"absentizm","absenteeism"
"abses","abscess"
"absesektomiya","abscessotomy"
"absesoqrafiya","abscessography"
"absida","apsis"
"absis","abscissa"
"absolyut","absolute"
"absolyutizm","absolutism"
"absolyutluq","absoluteness"
"absorbent","absorbent"
"absorber","absorber"
"absorbsiometr","absorptiometer"
"absorbsiometriya","absorptiometry"
"absorbsiya","absorption"
