"Myanmar","English"
"ကံကြမ္မာ","aardvark"
"ကံကောင်း","aardvarks"
"ကံကောင်းထောက်မစွာ","aardwolf"
"ကံဆိုး","aardwolves"
"ကံဆိုးသူ","Aaren"
"ကံတရား","Aargau"
"ကံမကောင်းပါ။","aargh"
"ကက်သလစ်","Aarhus"
"ကခုန်ခြင်း။","Aarika"
"ကင်းထောက်","Aaron"
"ကင်ဆာ","Aaronic"
"ကင်မရာ","Aaronical"
"ကစားပါ။","Aaronite"
"ကစားသမား","Aaronitic"
"ကစီဓာတ်","Aaron's-beard"
"ကဏ္ဍ","Aaronsburg"
"ကတည်းက","Aaronson"
"ကတိကဝတ်","AARP"
"ကတိပေးသည်။","aarrgh"
"ကတ်","aarrghh"
"ကန့်ကွက်သည်။","Aaru"
"ကန့်သတ်","AAS"
"ကန့်သတ်ချက်","A'asia"
"ကနဦး","aasvogel"
"ကနေဒါလူမျိုး","aasvogels"
"ကန့်သတ်ချက်","AAU"
"ကန်တယ်။","AAUP"
"ကန်ထရိုက်တာ","AAUW"
"ကဖေး","AAVSO"
"ကဗျာ","AAX"
"ကဗျာဆရာ","A-axes"
"ကမ္ဘာ","A-axis"
"ကမ္ဘာ့ကျန်းမာရေးအဖွဲ့","AB"
"ကမ္ဘာတစ်ဝှမ်း","ab-"
"ကမ္ဘာလုံး","ABA"
"ကမ္ဘာလုံးဆိုင်ရာ","Ababa"
"ကမ်း","Ababdeh"
"ကမ်းခြေ","Ababua"
"ကမ်းရိုးတန်း","abac"
"ကမ်းလှမ်း","abaca"
"ကယ်ဆယ်ရေး","abacay"
"ကယ်ဆယ်ရေးစခန်း","abacas"
"ကယ်တင်ပါ။","abacate"
"ကယ်လိုရီ","abacaxi"
"ကျက်သရေ","abaci"
"ကျင့်ဝတ်","abacinate"
"ကျဆင်းခြင်း။","abacination"
"ကျဉ်းသော","abacisci"
"ကျည်ဆံ","abaciscus"
"ကျန်","abacist"
"ကျန်းမာရေး","aback"
"ကျန်းမာရေးစောင့်ရှောက်မှု","abacli"
"ကျန်းမာသည်။","Abaco"
"ကျန်နေ","abacot"
"ကျပန်း","abacterial"
"ကျမ်းချက်","abactinal"
"ကျမ်းပိုဒ်","abactinally"
"ကျယ်ကျယ်ပြန့်ပြန့်","abaction"
"ကျယ်ပြန့်","abactor"
"ကျယ်ပြောသော","abaculi"
"ကျရှုံး","abaculus"
"ကျွန်","abacus"
"ကျွန်း","abacuses"
"ကျွန်စနစ်","Abad"
"ကျွန်တော့","abada"
"ကျွန်တော်တို့ရဲ့","Abadan"
"ကျွမ်းကျင်မှု","Abaddon"
"ကျွမ်းကျင်သူ","abadejo"
"ကျွေးပါ။","abadengo"
"ကျား","abadia"
"ကျား၊","Abadite"
"ကျိန်ဆိုသည်","abaff"
"ကျိုး","abaft"
"ကျိုးကြောင်းဆီလျော်","Abagael"
"ကျိုးနွံခြင်း။","Abagail"
"ကျုံ့","Abagtha"
"ကျူးကျော်","abay"
"ကျူးလွန်","abayah"
"ကျေးဇူးတင်ခြင်း","Abailard"
"ကျေးဇူးတင်ပါတယ်","abaisance"
"ကျေးဇူးတင်ပါသည်။","abaised"
"ကျေးဇူးတော်","abaiser"
"ကျေးဇူးတော်ချီးမွမ်းခြင်း","abaisse"
"ကျေးဇူးပြု","abaissed"
"ကျေးလက်","abaka"
"ကျေနပ်တယ်။","Abakan"
"ကျေနပ်မှု","abakas"
"ကျေနပ်သည်။","Abakumov"
"ကျော","abalation"
"ကျောက်","abalienate"
"ကျောက်ဆူး","abalienated"
"ကျောက်မီးသွေး","abalienating"
"ကျောင်း","abalienation"
"ကျောင်းစာအုပ်","abalone"
"ကျောင်းဝင်း","abalones"
"ကျောင်းသား","Abama"
"ကျောင်းအုပ်","abamp"
"ကျော်ကြားမှု","abampere"
"ကျော်ကြားသူ","abamperes"
"ကျော်လွန်","abamps"
"ကျော်လွှား","Abana"
"ကျော်သွား","aband"
"ကရုဏာ","abandon"
"ကြံ့ခိုင်ရေး","abandonable"
"ကြံစည်မှု","abandoned"
"ကြက်ဆင်","abandonedly"
"ကြက်သွန်နီ","abandonee"
"ကြက်သွန်ဖြူ","abandoner"
"ကြက်သား","abandoners"
"ကြက်ဥ","abandoning"
"ကြင်နာပါ။","abandonment"
"ကြည့်","abandonments"
"ကြည့်ပါ။","abandons"
"ကြည့်ရှုသူ","abandum"
"ကြည်","abanet"
"ကြမ်းတမ်းသည်။","abanga"
"ကြမ်းပြင်","Abanic"
"ကြယ်ပွင့်","abannition"
"ကြရင်တော့","Abantes"
"ကြွက်","abapical"
"ကြွက်သား","abaptiston"
"ကြွယ်ဝသော","abaptistum"
"ကြွေးကြော်သံ","Abarambo"
