"Khmer","English"
"ក","aardvark"
"ក​ណ្តា​ល​អធ្រាត្រ","aardvarks"
"កក","aardwolf"
"កខ្វក់","aardwolves"
"កងទ័ព","Aaren"
"កងទ័ពជើងទឹក","Aargau"
"កងនាវា","aargh"
"កង្វល់","Aarhus"
"កង្វះខាត","Aarika"
"កង់","Aaron"
"កជើង","Aaronic"
"កញ្ចក់","Aaronical"
"កញ្ចប់","Aaronite"
"កញ្ឆា","Aaronitic"
"កដៃ","Aaron's-beard"
"កណ្ដឹង","Aaronsburg"
"កណ្ដុរ","Aaronson"
"កណ្តាប់ដៃ","AARP"
"កណ្តាល","aarrgh"
"កណ្តុរ","aarrghh"
"កត្តា","Aaru"
"កថាខណ្ឌ","AAS"
"កន្ត្រក","A'asia"
"កន្ទុយ","aasvogel"
"កន្លងទៅ","aasvogels"
"កន្លែង","AAU"
"កន្លែងកើតហេតុ","AAUP"
"កន្លែងចតរថយន្ត","AAUW"
"កន្លែងណា","AAVSO"
"កន្លែងណាមួយ។","AAX"
"កន្លែងធ្វើការ","A-axes"
"កន្លែងផ្សេងទៀត។","A-axis"
"កន្លែងហាត់ប្រាណ","AB"
"កន្សែង","ab-"
"កន្សោម","ABA"
"កប៉ាល់","Ababa"
"កប្បាស","Ababdeh"
"កប់","Ababua"
"កម្ចីទិញផ្ទះ","abac"
"កម្ពស់","abaca"
"កម្មករ","abacay"
"កម្មវិធី","abacas"
"កម្មវិធីនិពន្ធ","abacate"
"កម្មវិធីរុករក","abacaxi"
"កម្មវិធីសិក្សា","abaci"
"កម្មសិទ្ធិ","abacinate"
"កម្រ","abacination"
"កម្រងសំណួរ","abacisci"
"កម្រណាស់។","abaciscus"
"កម្រិត","abacist"
"កម្រិតខ្ពស់","aback"
"កម្រិតថ្នាំ","abacli"
"កម្រិតពណ៌","Abaco"
"កម្រិតសំឡេង","abacot"
"កម្លាំង","abacterial"
"ករណី","abactinal"
"កវី","abactinally"
"កសាងឡើងវិញ","abaction"
"កសិកម្ម","abactor"
"កសិករ","abaculi"
"កសិដ្ឋាន","abaculus"
"កអាវ","abacus"
"កាកសំណល់","abacuses"
"កាក់","Abad"
"កាត","abada"
"កាតព្វកិច្ច","Abadan"
"កាតូលិក","Abaddon"
"កាត់","abadejo"
"កាត់បន្ថយ","abadengo"
"កាន់","abadia"
"កាន់កាប់","Abadite"
"កាន់តែខ្លាំងឡើង","abaff"
"កាន់តែប្រសើរ","abaft"
"កាប៊ីន","Abagael"
"កាបូន","Abagail"
"កាបូប","Abagtha"
"កាបូអ៊ីដ្រាត","abay"
"កាមេរ៉ា","abayah"
"កាយរឹទ្ធិ","Abailard"
"កាយវិការ","abaisance"
"ការ​កោតសរសើរ","abaised"
"ការ​ឆ្លង","abaiser"
"ការ​ឆ្លង​មេរោគ","abaisse"
"ការ​ឆ្លង​រាលដាល","abaissed"
"ការ​ដាក់​ឱ្យ​នៅ​ដាច់ដោយឡែក","abaka"
"ការ​តែង​និពន្ធ","Abakan"
"ការ​ថែទាំ​សុខភាព","abakas"
"ការ​ទំនាក់ទំនង","Abakumov"
"ការ​ធ្វើ​ដំណើរ","abalation"
"ការ​ប៉ះពាល់","abalienate"
"ការ​ផ្លាស់​ប្តូ​រ","abalienated"
"ការ​ភ្ញាក់ផ្អើល","abalienating"
"ការ​រួបរួម","abalienation"
"ការ​រំលឹក","abalone"
"ការកក់ទុក","abalones"
"ការកម្សាន្ត","Abama"
"ការកាត់ទោស","abamp"
"ការកាត់បន្ថយ","abampere"
"ការការពារ","abamperes"
"ការកែតម្រូវ","abamps"
"ការកែលម្អ","Abana"
"ការក្លែងបន្លំ","aband"
"ការកំណត់","abandon"
"ការកំណត់អត្តសញ្ញាណ","abandonable"
"ការខកចិត្ត","abandoned"
"ការខិតខំប្រឹងប្រែង","abandonedly"
"ការខូចខាត","abandonee"
"ការគណនា","abandoner"
"ការគិត","abandoners"
"ការគ្រប់គ្រង","abandoning"
"ការគំរាមកំហែង","abandonment"
"ការឃុំឃាំង","abandonments"
"ការឃ្លាំមើល","abandons"
"ការងារ","abandum"
"ការងើបឡើងវិញ","abanet"
"ការចងចាំ","abanga"
"ការចង្អុលបង្ហាញ","Abanic"
"ការចង់ដឹងចង់ឃើញ","abannition"
"ការចរចា","Abantes"
"ការចាកចេញ","abapical"
"ការចាក់ផ្សាយ","abaptiston"
"ការចាប់ខ្លួន","abaptistum"
"ការចាប់ផ្តើម","Abarambo"
"ការចុះចត","Abarbarea"
"ការចុះឈ្មោះ","Abaris"
"ការចូល","abarthrosis"
"ការចូលនិវត្តន៍","abarticular"
"ការចូលប្រើ","abarticulation"
"ការចូលរួម","Abas"
"ការចូលរៀន","abase"
"ការចែកចាយ","abased"
"ការចោទប្រកាន់","abasedly"
"ការច្នៃប្រឌិត","abasedness"
"ការចំណាយ","abasement"
"ការឆ្លុះបញ្ចាំង","abasements"
"ការឆ្លើយតប","abaser"
"ការជម្រុញ","abasers"
"ការជាប់ពាក់ព័ន្ធ","abases"
"ការជួញដូរ","Abasgi"
"ការជួបប្រជុំគ្នា។","abash"
"ការជ្រើសរើស","abashed"
"ការជំទាស់","abashedly"
"ការជំនួស","abashedness"
"ការឈឺចាប់","abashes"
"ការញៀន","abashing"
"ការដកយកចេញ","abashless"
"ការដាក់","abashlessly"
"ការដាក់កម្រិត","abashment"
"ការដឹកជញ្ជូន","abashments"
"ការដុត","abasia"
"ការដើរទិញឥវ៉ាន់","abasias"
"ការដំឡើង","abasic"
"ការណាត់ជួប","abasing"
"ការណែនាំ","abasio"
"ការតភ្ជាប់","abask"
"ការតវ៉ា","abassi"
"ការតស៊ូ","Abassieh"
"ការតាំងទីលំនៅ","Abassin"
"ការតុបតែងមុខ","abastard"
"ការតែងតាំង","abastardize"
"ការត្រួតពិនិត្យ","abastral"
"ការតំរង់ទិស","abatable"
"ការថត","abatage"
"ការថតរូប","Abate"
"ការថប់បារម្ភ","abated"
"ការទទួលទានអាហារ","abatement"
"ការទទួលយក","abatements"
"ការទទួលស្គាល់","abater"
"ការទម្លាក់គ្រាប់បែក","abaters"
"ការទាក់ទាញ","abates"
"ការទិញ","abatic"
"ការទិញយក","abating"
"ការទូត","abatis"
"ការទូទាត់","abatised"
"ការធានា","abatises"
"ការធានារ៉ាប់រង","abatjour"
"ការធូរស្បើយ","abatjours"
"ការធ្លាក់ចុះ","abaton"
"ការធ្វើចំណាកស្រុក","abator"
"ការធ្វើដំណើរ","abators"
"ការធ្វើតេស្ត","ABATS"
"ការធ្វើផែនការ","abattage"
"ការនេសាទ","abattis"
"ការបកប្រែ","abattised"
"ការបកស្រាយ","abattises"
"ការបង្ការ","abattoir"
"ការបង្កើត","abattoirs"
"ការបង្រៀន","abattu"
"ការបង្ហាញ","abattue"
"ការបង្ហាញដំបូង","Abatua"
"ការបញ្ចប់","abature"
"ការបញ្ចុះតម្លៃ","abaue"
"ការបដិសេធ","abave"
"ការបណ្តាក់ទុន","abaxial"
"ការបណ្តុះបណ្តាល","abaxile"
"ការបម្រុងទុក","abaze"
"ការបរបាញ់","abb"
"ការបរិច្ចាគ","Abba"
"ការប៉ាន់ប្រមាណ","abbacy"
"ការប៉ុនប៉ង","abbacies"
