"Gujarati","English"
"અંગ","aardvark"
"અંગૂઠો","aardvarks"
"અંગ્રેજી","aardwolf"
"અંત","aardwolves"
"અંતર","Aaren"
"અંતરાલ","Aargau"
"અંતર્ગત","aargh"
"અંતિમ","Aarhus"
"અંદર","Aarika"
"અંદાજ","Aaron"
"અંદાજિત","Aaronic"
"અંધ","Aaronical"
"અંધકાર","Aaronite"
"અંધારું","Aaronitic"
"અકલ્પનીય","Aaron's-beard"
"અકસ્માત","Aaronsburg"
"અકાદમી","Aaronson"
"અક્ષમ","AARP"
"અખંડિતતા","aarrgh"
"અખબાર","aarrghh"
"અખરોટ","Aaru"
"અખાડો","AAS"
"અખાત","A'asia"
"અગત્યનું","aasvogel"
"અગાઉ","aasvogels"
"અગાઉથી","AAU"
"અગાઉના","AAUP"
"અગિયાર","AAUW"
"અગ્રણી","AAVSO"
"અચકાવું","AAX"
"અચાનક","A-axes"
"અછત","A-axis"
"અજમાયશ","AB"
"અજાણી","ab-"
"અજ્ઞાત","ABA"
"અજ્ઞાન","Ababa"
"અજ્ઞાનતા","Ababdeh"
"અટકવું","Ababua"
"અટકળો","abac"
"અટકાવવું","abaca"
"અડધા","abacay"
"અતિશય","abacas"
"અત્યંત","abacate"
"અત્યાધુનિક","abacaxi"
"અથવા","abaci"
"અદભૂત","abacinate"
"અદ્ભુત","abacination"
"અદ્યતન","abacisci"
"અદ્રશ્ય","abaciscus"
"અધિકાર","abacist"
"અધિકારક્ષેત્ર","aback"
"અધિકારી","abacli"
"અધિનિયમ","Abaco"
"અધ્યક્ષ","abacot"
"અનંત","abacterial"
"અનન્ય","abactinal"
"અનપેક્ષિત","abactinally"
"અનાજ","abaction"
"અનામત","abactor"
"અનામી","abaculi"
"અનિચ્છા","abaculus"
"અનિવાર્ય","abacus"
"અનિવાર્યપણે","abacuses"
"અનિશ્ચિતતા","Abad"
"અનુકૂલન","abada"
"અનુક્રમણિકા","Abadan"
"અનુક્રમે","Abaddon"
"અનુગામી","abadejo"
"અનુદાન","abadengo"
"અનુપાલન","abadia"
"અનુભવ","Abadite"
"અનુભવી","abaff"
"અનુમાન","abaft"
"અનુયાયી","Abagael"
"અનુલક્ષીને","Abagail"
"અનુવાદ","Abagtha"
"અનુસરો","abay"
"અનુસાર","abayah"
"અનુસૂચિ","Abailard"
"અને","abaisance"
"અને/અથવા","abaised"
"અનેક","abaiser"
"અન્ય","abaisse"
"અન્યત્ર","abaissed"
"અન્યથા","abaka"
"અન્વેષણ","Abakan"
"અપંગતા","abakas"
"અપગ્રેડ","Abakumov"
"અપડેટ","abalation"
"અપનાવવું","abalienate"
"અપમાનજનક","abalienated"
"અપરાધ","abalienating"
"અપવાદ","abalienation"
"અપીલ","abalone"
"અપૂર્ણાંક","abalones"
"અપેક્ષા","Abama"
"અપેક્ષિત","abamp"
"અફવા","abampere"
"અફસોસ","abamperes"
"અફેર","abamps"
"અબજ","Abana"
"અભાવ","aband"
"અભિગમ","abandon"
"અભિનેતા","abandonable"
"અભિનેત્રી","abandoned"
"અભિપ્રાય","abandonedly"
"અભિવ્યક્તિ","abandonee"
"અભૂતપૂર્વ","abandoner"
"અભ્યાસ","abandoners"
"અભ્યાસક્રમ","abandoning"
"અમ","abandonment"
"અમને","abandonments"
"અમલ","abandons"
"અમલીકરણ","abandum"
"અમારા","abanet"
"અમૂર્ત","abanga"
"અમે","Abanic"
"અમેરિકન","abannition"
"અયોગ્ય","Abantes"
"અરજી","abapical"
"અરણ્ય","abaptiston"
"અરાજકતા","abaptistum"
"અરીસો","Abarambo"
"અરે","Abarbarea"
"અર્ક","Abaris"
"અર્થ","abarthrosis"
"અર્થઘટન","abarticular"
"અર્થતંત્ર","abarticulation"
"અર્થપૂર્ણ","Abas"
"અર્થશાસ્ત્ર","abase"
"અર્થશાસ્ત્રી","abased"
"અર્પણ","abasedly"
"અલગ","abasedness"
"અવકાશ","abasement"
"અવગણવું","abasements"
"અવગણો","abaser"
"અવતરણ","abasers"
"અવમૂલ્યન","abases"
"અવરોધ","Abasgi"
"અવલોકન","abash"
"અવાજ","abashed"
"અવિશ્વસનીય","abashedly"
"અવ્યવસ્થા","abashedness"
"અશક્ય","abashes"
"અશ્મિ","abashing"
"અસંખ્ય","abashless"
"અસંભવિત","abashlessly"
"અસંમત","abashment"
"અસંસ્કારી","abashments"
"અસત્ય","abasia"
"અસમર્થ","abasias"
"અસર","abasic"
"અસરકારક","abasing"
"અસરકારકતા","abasio"
"અસલી","abask"
"અસાધારણ","abassi"
"અસામાન્ય","Abassieh"
"અસ્તિત્વ","Abassin"
"અસ્થિ","abastard"
"અસ્પષ્ટ","abastardize"
"અસ્વસ્થતા","abastral"
"અસ્વીકાર","abatable"
"અહ","abatage"
"અહંકાર","Abate"
"અહીં","abated"
"અહેવાલ","abatement"
"આ","abatements"
"આંકડા","abater"
"આંકડાકીય","abaters"
"આંકડો","abates"
"આંખ","abatic"
"આંગળી","abating"
"આંચકો","abatis"
"આંતરડા","abatised"
"આંતરદૃષ્ટિ","abatises"
"આંતરરાષ્ટ્રીય","abatjour"
"આંતરિક","abatjours"
"આંશિક","abaton"
"આંસુ","abator"
"આઇફોન","abators"
"આઇરિશ","ABATS"
"આઇસોલેશન","abattage"
"આઈપેડ","abattis"
"આઉટડોર","abattised"
"આઉટપુટ","abattises"
"આઉટલેટ","abattoir"
"આકર્ષક","abattoirs"
"આકર્ષણ","abattu"
"આકાર","abattue"
"આકારણી","Abatua"
"આકાશ","abature"
"આકાશગંગા","abaue"
"આક્રમક","abave"
"આક્રમણ","abaxial"
"આખરે","abaxile"
"આગ","abaze"
"આગમન","abb"
"આગળ","Abba"
"આગામી","abbacy"
"આગાહી","abbacies"
"આગ્રહ","abbacomes"
"આચરણ","Abbadide"
"આચાર્યશ્રી","Abbai"
"આજીવન","abbaye"
"આજે","abbandono"
"આઠ","abbas"
"આઠમું","abbasi"
"આતંક","Abbasid"
"આતંકવાદ","abbassi"
"આતંકવાદી","Abbassid"
"આતુર","Abbasside"
"આત્મવિશ્વાસ","Abbate"
"આત્મહત્યા","abbatial"
"આત્મા","abbatical"
"આત્યંતિક","abbatie"
"આદત","Abbe"
"આદર","Abbey"
"આદર્શ","abbeys"
"આદિજાતિ","abbey's"
"આદિવાસી","abbeystead"
"આદેશ","abbeystede"
"આધાર","abbes"
"આધુનિક","abbess"
"આધ્યાત્મિક","abbesses"
"આનંદ","abbest"
"આનુવંશિક","Abbevilean"
"આપણું","Abbeville"
"આપત્તિ","Abbevillian"
"આપેલ","Abbi"
"આપો","Abby"
"આપોઆપ","Abbie"
"આફ્રિકન","Abbye"
"આફ્રિકન-અમેરિકન","Abbyville"
"આભાર","abboccato"
"આભારવિધિ","abbogada"
"આભારી","Abbot"
"આમ","abbotcy"
"આમંત્રણ","abbotcies"
"આમંત્રિત","abbotnullius"
"આમૂલ","abbotric"
"આયાત","abbots"
"આયોજન","abbot's"
"આરક્ષણ","Abbotsen"
"આરબ","Abbotsford"
"આરામ","abbotship"
"આરામદાયક","abbotships"
"આરોગ્ય","Abbotson"
"આરોપ","Abbotsun"
