"Catalan","English"
"a","aardvark"
"aah","aardvarks"
"abandonar","aardwolf"
"abans","aardwolves"
"abast","Aaren"
"abella","Aargau"
"abocador","aargh"
"abocar","Aarhus"
"abordar","Aarika"
"abraçada","Aaron"
"abraçar","Aaronic"
"abric","Aaronical"
"abril","Aaronite"
"absència","Aaronitic"
"absolut","Aaron's-beard"
"absolutament","Aaronsburg"
"absorbir","Aaronson"
"abstracte","AARP"
"abús","aarrgh"
"acabar","aarrghh"
"acabat","Aaru"
"acadèmia","AAS"
"acadèmica","A'asia"
"accent","aasvogel"
"acceptable","aasvogels"
"acceptació","AAU"
"acceptar","AAUP"
"accés","AAUW"
"accessible","AAVSO"
"accident","AAX"
"acció","A-axes"
"acer","A-axis"
"àcid","AB"
"aclaparador","ab-"
"aclarir","ABA"
"acollida","Ababa"
"acomiadar","Ababdeh"
"acomodar","Ababua"
"acompanyar","abac"
"aconseguir","abaca"
"aconsellar","abacay"
"acord","abacas"
"acordar","abacate"
"acre","abacaxi"
"actitud","abaci"
"actiu","abacinate"
"activament","abacination"
"activat","abacisci"
"activista","abaciscus"
"activitat","abacist"
"actor","aback"
"actriu","abacli"
"actual","Abaco"
"actualització","abacot"
"actualitzar","abacterial"
"actualment","abactinal"
"actuar","abactinally"
"acusació","abaction"
"acusar","abactor"
"acusat","abaculi"
"ad","abaculus"
"adaptació","abacus"
"adaptar","abacuses"
"addició","Abad"
"addicionalment","abada"
"addicionals","Abadan"
"adequat","Abaddon"
"adéu","abadejo"
"adicció","abadengo"
"adjuntar","abadia"
"admetre","Abadite"
"Administració","abaff"
"administrador","abaft"
"administrar","Abagael"
"administrativa","Abagail"
"admirar","Abagtha"
"admissió","abay"
"ADN","abayah"
"adolescent","Abailard"
"adonar-se","abaisance"
"adopció","abaised"
"adoptar","abaiser"
"adormit","abaisse"
"adquirir","abaissed"
"adquisició","abaka"
"adreça","Abakan"
"adult","abakas"
"advertència","Abakumov"
"advocat","abalation"
"aeroport","abalienate"
"afectar","abalienated"
"afegir","abalienating"
"afegit","abalienation"
"afer","abalone"
"afiliació","abalones"
"afinar","Abama"
"afirmar","abamp"
"africana","abampere"
"afroamericà","abamperes"
"agafar","abamps"
"agència","Abana"
"agenda","aband"
"agent","abandon"
"agosarat","abandonable"
"Agost","abandoned"
"agradable","abandonedly"
"agraït","abandonee"
"agressiu","abandoner"
"agrícola","abandoners"
"agricultura","abandoning"
"aguantar","abandonment"
"àguila","abandonments"
"agulla","abandons"
"agut","abandum"
"ah","abanet"
"ahir","abanga"
"aigua","Abanic"
"aïllament","abannition"
"aïllar","Abantes"
"aire","abapical"
"aixafar","abaptiston"
"aixecar","abaptistum"
"aixeta","Abarambo"
"així","Abarbarea"
"això","Abaris"
"ajuda","abarthrosis"
"ajudant","abarticular"
"ajudes","abarticulation"
"ajust","Abas"
"ajustar","abase"
"ala","abased"
"alarma","abasedly"
"alba","abasedness"
"àlbum","abasement"
"alçada","abasements"
"alcalde","abaser"
"alcohol","abasers"
"aleatòria","abases"
"alemany","Abasgi"
"aleshores","abash"
"alfa","abashed"
"algú","abashedly"
"alguns","abashedness"
"aliança","abashes"
"aliat","abashing"
"alienígena","abashless"
"alimentar","abashlessly"
"alinear","abashment"
"All","abashments"
"allà","abasia"
"alleujar","abasias"
"alliberar","abasic"
"almenys","abasing"
"alt","abasio"
"altaveu","abask"
"alterar","abassi"
"alternativa","Abassieh"
"altres","Abassin"
"amable","abastard"
"amagar","abastardize"
"amagat","abastral"
"amanida","abatable"
"amant","abatage"
"amarg","Abate"
"amb","abated"
"ambaixada","abatement"
"ambaixador","abatements"
"ambició","abater"
"ambiciós","abaters"
"ambiental","abates"
"amenaça","abatic"
