"Turkish","English"
"abadi","aardvark"
"abajur","aardvarks"
"abak","aardwolf"
"abakan","aardwolves"
"abakıymış","Aaren"
"abaküs","Aargau"
"abala","aargh"
"abalı","Aarhus"
"abandone","Aarika"
"abanges","Aaron"
"abani","Aaronic"
"abanma","Aaronical"
"abanmak","Aaronite"
"abanoz","Aaronitic"
"abanozlaşmak","Aaron's-beard"
"abar","Aaronsburg"
"abartı","Aaronson"
"abartılı","AARP"
"abartılmak","aarrgh"
"abartılmış","aarrghh"
"abartısız","Aaru"
"abartış","AAS"
"abartmak","A'asia"
"abartmalı","aasvogel"
"abartmasız","aasvogels"
"abasıyanık","AAU"
"abasız","AAUP"
"abaşo","AAUW"
"abat","AAVSO"
"abataj","AAX"
"abay","A-axes"
"abayı","A-axis"
"abazaca","AB"
"abazan","ab-"
"abazanlık","ABA"
"abbağ","Ababa"
"abbak","Ababdeh"
"abbasi","Ababua"
"abbasoğlu","abac"
"abbastanza","abaca"
"abçar","abacay"
"abd","abacas"
"abdal","abacate"
"abdala","abacaxi"
"abdallık","abaci"
"abdan","abacinate"
"abdest","abacination"
"abdestan","abacisci"
"abdestbozan","abaciscus"
"abdesthane","abacist"
"abdestinde","aback"
"abdestini","abacli"
"abdestlik","Abaco"
"abdiaciz","abacot"
"abdler","abacterial"
"abdlik","abactinal"
"abdomen","abactinally"
"abdurrahman","abaction"
"abdüksiyon","abactor"
"abdüktör","abaculi"
"abdülhay","abaculus"
"abdülhey","abacus"
"abdülleziz","abacuses"
"abece","Abad"
"abecesayisal","abada"
"abecesel","Abadan"
"abede","Abaddon"
"aberasyon","abadejo"
"abes","abadengo"
"abesiyet","abadia"
"abeslik","Abadite"
"abgah","abaff"
"abgun","abaft"
"abhazca","Abagael"
"abı","Abagail"
"abıç","Abagtha"
"abıdan","abay"
"abıhayat","abayah"
"abık","Abailard"
"abıkan","abaisance"
"abıkevser","abaised"
"abıl","abaiser"
"abınç","abaisse"
"abıru","abaissed"
"abış","abaka"
"abışka","Abakan"
"abız","abakas"
"abi","Abakumov"
"abide","abalation"
"abideleşmek","abalienate"
"abideleştirmek","abalienated"
"abidemsi","abalienating"
"abidevi","abalienation"
"abidik","abalone"
"abidin","abalones"
"abike","Abama"
"abin","abamp"
"abis","abampere"
"abiye","abamperes"
"abla","abamps"
"ablacı","Abana"
"ablacılık","aband"
"ablak","abandon"
"ablakça","abandonable"
"ablaklık","abandoned"
"ablalık","abandonedly"
"ablatif","abandonee"
"ablatya","abandoner"
"ablavut","abandoners"
"abli","abandoning"
"abliyi","abandonment"
"abluka","abandonments"
"ablukaya","abandons"
"abnormalite","abandum"
"abokat","abanet"
"abone","abanga"
"abonelik","Abanic"
"abonman","abannition"
"aborda","Abantes"
"aborjin","abapical"
"abra","abaptiston"
"abrakadabra","abaptistum"
