"Kazakh","English"
"абзац","aardvark"
"аборт","aardvarks"
"абсолютті","aardwolf"
"абырой","aardwolves"
"автобус","Aaren"
"автоматты","Aargau"
"автор","aargh"
"аға","Aarhus"
"ағай","Aarika"
"ағайынды","Aaron"
"ағаш","Aaronic"
"агент","Aaronical"
"агенттік","Aaronite"
"агрессивті","Aaronitic"
"ағу","Aaron's-beard"
"ағылшын","Aaronsburg"
"ағын","Aaronson"
"адал","AARP"
"адалдық","aarrgh"
"адам","aarrghh"
"адамгершілік","Aaru"
"адамдар","AAS"
"адвокат","A'asia"
"ажырасу","aasvogel"
"ажырату","aasvogels"
"аз","AAU"
"азайту","AAUP"
"азамат","AAUW"
"азаматтық","AAVSO"
"азап","AAX"
"Аздау","A-axes"
"азиялық","A-axis"
"азшылық","AB"
"азық-түлік","ab-"
"ай","ABA"
"айғайлау","Ababa"
"айдаһар","Ababdeh"
"айқайлау","Ababua"
"айқын","abac"
"айла","abaca"
"айлақ","abacay"
"аймақ","abacas"
"аймақтық","abacate"
"айна","abacaxi"
"айналасында","abaci"
"айналдыру","abacinate"
"айналым","abacination"
"айналысу","abacisci"
"айнымалы","abaciscus"
"айт","abacist"
"айтарлықтай","aback"
"айту","abacli"
"айыппұл","Abaco"
"айыптау","abacot"
"айырбастау","abacterial"
"айырмашылығы","abactinal"
"айырмашылық","abactinally"
"академиялық","abaction"
"академиясы","abactor"
"акр","abaculi"
"актер","abaculus"
"актив","abacus"
"актриса","abacuses"
"акула","Abad"
"ақ","abada"
"ақпан","Abadan"
"ақпарат","Abaddon"
"ақсақал","abadejo"
"ақсерке","abadengo"
"ақтау","abadia"
"ақуыз","Abadite"
"ақша","abaff"
"ақшалай","abaft"
"ақыл","Abagael"
"ақылды","Abagail"
"ақымақ","Abagtha"
"ақымақтық","abay"
"ақын","abayah"
"ақырын","Abailard"
"ақырында","abaisance"
"ал","abaised"
"алады","abaiser"
"алақан","abaisse"
"алаңдату","abaissed"
"алаңдаушылық","abaka"
"алаяқтық","Abakan"
"алға","abakas"
"алғышарт","Abakumov"
"алда","abalation"
"алдағы","abalienate"
"алдау","abalienated"
"алдыңғы","abalienating"
"алкоголь","abalienation"
"алқаби","abalone"
"алқап","abalones"
"аллея","Abama"
"алма","abamp"
"алмаз","abampere"
"алты","abamperes"
"алтын","abamps"
"алтыншы","Abana"
"алу","aband"
"алушы","abandon"
"алшақтық","abandonable"
"алым","abandoned"
"алып","abandonedly"
"алыпсатарлық","abandonee"
"алыс","abandoner"
"альбом","abandoners"
"альфа","abandoning"
"ам","abandonment"
"амбиция","abandonments"
"амбициялы","abandons"
"американдық","abandum"
"ана","abanet"
"анам","abanga"
"анау","Abanic"
"анда-санда","abannition"
"андроид","Abantes"
"Аноним","abapical"
"анық","abaptiston"
"анықталмаған","abaptistum"
"анықтама","Abarambo"
"анықтамасы","Abarbarea"
"анықтау","Abaris"
"аң","abarthrosis"
"аңшы","abarticular"
"аңшылық","abarticulation"
"аңыз","Abas"
"апат","abase"
"апелляция","abased"
"апельсин","abasedly"
"апта","abasedness"
"ара","abasement"
"араб","abasements"
"арақатынас","abaser"
"арал","abasers"
"аралас","abases"
"араластыру","Abasgi"
"араластырыңыз","abash"
"араласу","abashed"
"арамшөп","abashedly"
"арасында","abashedness"
"арба","abashes"
"аргумент","abashing"
"ардагер","abashless"
"арена","abashlessly"
"арзан","abashment"
"арқан","abashments"
"арқылы","abasia"
"Арман","abasias"
"арна","abasic"
"арнайы","abasing"
"арнау","abasio"
"артқа","abask"
"артықшылығы","abassi"
"артықшылық","Abassieh"
"артында","Abassin"
"ар-ұждан","abastard"
"арыстан","abastardize"
"асқазан","abastral"
"аспаз","abatable"
"аспан","abatage"
"аспект","Abate"
"асс","abated"
"ассоциация","abatement"
"астроном","abatements"
"астық","abater"
"астында","abaters"
"асығыңыз","abates"
"асығыс","abatic"
"асыл","abating"
"ата-ана","abatis"
"ата-аналық","abatised"
"атақ","abatises"
"атақты","abatjour"
"атастыру","abatjours"
"атасы","abaton"
"атқарушы","abator"
"атлетикалық","abators"
"атмосфера","ABATS"
"атрибут","abattage"
"аттракцион","abattis"
"ату","abattised"
"аты","abattises"
"атынан","abattoir"
"ау","abattoirs"
"ауа","abattu"
"аудан","abattue"
"аударма","Abatua"
"аудару","abature"
"аудитория","abaue"
"ауқымды","abave"
"ауқымы","abaxial"
"аула","abaxile"
"аумақ","abaze"
"ауру","abb"
"аурухана","Abba"
"ауыз","abbacy"
"ауызша","abbacies"
"ауыл","abbacomes"
"ауылдық","Abbadide"
"ауыр","Abbai"
"ауырлық","abbaye"
"ауырсыну","abbandono"
"ауыртады","abbas"
"ауыртпалық","abbasi"
"ауыстыру","Abbasid"
"ауыстырыңыз","abbassi"
"ауысым","Abbassid"
"африкалық","Abbasside"
"афроамерикалық","Abbate"
"аш","abbatial"
"аштық","abbatical"
"ашу","abbatie"
"ашулы","Abbe"
"ашық","Abbey"
"ащы","abbeys"
"аю","abbey's"
"аяқ","abbeystead"
"аяқталу","abbeystede"
"аяқтау","abbes"
"баға","abbess"
"бағалаймыз","abbesses"
"бағаланған","abbest"
"бағалау","Abbevilean"
"баған","Abbeville"
"бағасы","Abbevillian"
"бағдарламалау","Abbi"
"бағдарламасы","Abby"
"бағдарлау","Abbie"
"бағыт","Abbye"
"бай","Abbyville"
"байқау","abboccato"
"байланыс","abbogada"
"байланысты","Abbot"
"байланыстыру","abbotcy"
"байлау","abbotcies"
"байлық","abbotnullius"
"бак","abbotric"
"бактериялар","abbots"
"БАҚ","abbot's"
"бақсы","Abbotsen"
"бақша","Abbotsford"
"бақылау","abbotship"
"бақылаушы","abbotships"
"бақыт","Abbotson"
"бақытсыз","Abbotsun"
"бақытты","Abbott"
"бал","Abbottson"
"бала","Abbottstown"
"балақай","Abboud"
"балама","abbozzo"
"балға","ABBR"
"балғын","abbrev"
"балқыту","abbreviatable"
"балшық","abbreviate"
"балық","abbreviated"
"банан","abbreviately"
"банда","abbreviates"
"банк","abbreviating"
"банкир","abbreviation"
"банкроттық","abbreviations"
"бар","abbreviator"
"барабан","abbreviatory"
"барабар","abbreviators"
"барлау","abbreviature"
"барлаушы","abbroachment"
"барлығы","ABC"
"барлық","abcess"
"бару","abcissa"
"бас","abcoulomb"
"баскетбол","ABCs"
"басқа","abd"
"басқару","abdal"
"басқатырғыш","abdali"
"басқаша","abdaria"
"баспагер","abdat"
"баспалдақ","Abdel"
"баспана","Abd-el-Kadir"
"баспанасыз","Abd-el-Krim"
"бассейн","Abdella"
"баста","Abderhalden"
"бастама","Abderian"
"бастап","Abderite"
"бастапқы","Abderus"
"бастапқыда","abdest"
"бастау","Abdias"
"бастауыш","abdicable"
"бастық","abdicant"
"басшылық","abdicate"
"басы","abdicated"
"басылым","abdicates"
"басым","abdicating"
"басымдық","abdication"
"басыңыз","abdications"
"Басыңыз","abdicative"
"бата","abdicator"
"батарея","Abdiel"
"батыл","abditive"
"батылдық","abditory"
"батыр","abdom"
"батыс","abdomen"
"батыстық","abdomens"
"бауыр","abdomen's"
"баяндау","abdomina"
"баяндауыш","abdominal"
"баяу","Abdominales"
"беделі","abdominalia"
"безгек","abdominalian"
"бейбақ","abdominally"
"бейбіт","abdominals"
"бейбітшілік","abdominoanterior"
"бейім","abdominocardiac"
"бейімделу","abdominocentesis"
"бейне","abdominocystic"
"бейнелеу","abdominogenital"
"Бейсбол","abdominohysterectomy"
"бейсенбі","abdominohysterotomy"
"бейтаныс","abdominoposterior"
"бейтарап","abdominoscope"
"бейтараптық","abdominoscopy"
"бекіту","abdominothoracic"
"белбеу","abdominous"
"белгі","abdomino-uterotomy"
"белгілі","abdominovaginal"
"белгісі","abdominovesical"
"белгісіз","Abdon"
"белгісіздік","Abdu"
"белгішесі","abduce"
"белсенді","abduced"
"белсенділік","abducens"
"бензин","abducent"
"бері","abducentes"
"берік","abduces"
"берілген","abducing"
"беріліс","abduct"
"берілу","abducted"
"беру","abducting"
"бес","abduction"
"бесінші","abductions"
"бет","abduction's"
"беті","abductor"
"бетон","abductores"
"бәліш","abductors"
"бәлкім","abductor's"
"бәрі","abducts"
"бәрібір","Abdul"
"бәсекелес","Abdul-Aziz"
"бәсекелестік","Abdul-baha"
"би","Abdulla"
"бидай","Abe"
"бизнес","a-be"
"биік","abeam"
"биіктігі","abear"
"билет","abearance"
"билеу","Abebi"
"билік","abecedaire"
"биология","abecedary"
"биологиялық","abecedaria"
"бит","abecedarian"
"биші","abecedarians"
"біз","abecedaries"
"біздікі","abecedarium"
"Біздің","abecedarius"
"білдіреді","abed"
"білезік","abede"
"біліктілік","abedge"
"білім","Abednego"
"білу","abegge"
"бір","Abey"
"бірақ","abeyance"
"бірге","abeyances"
"бірдей","abeyancy"
"бірден","abeyancies"
"бірдеңе","abeyant"
"бірегей","abeigh"
"біреу","ABEL"
"біріккен","Abelard"
"біріктірілген","abele"
"біріктіру","abeles"
"бірінші","Abelia"
"бірлік","Abelian"
"бірнеше","Abelicea"
"біртіндеп","Abelite"
"біршама","Abell"
"бітіру","Abelmoschus"
"бітті","abelmosk"
"блог","abelmosks"
"блок","abelmusk"
"блять","Abelonian"
"бозғылт","Abelson"
"бойдақ","abeltree"
"бойы","Abencerrages"
"бойымен","abend"
"бойынша","abends"
"боқ","Abenezra"
"болады","abenteric"
"болат","Abeokuta"
"болдырмау","abepithymia"
"болжалды","ABEPP"
"болжам","Abercromby"
"болжамды","Abercrombie"
"болжаңыз","Aberdare"
"болжау","aberdavine"
"болмаса","Aberdeen"
"болмауы","Aberdeenshire"
"болсын","aberdevine"
"болу","Aberdonian"
"болуы","aberduvine"
"бомба","Aberfan"
"бомбалау","Aberglaube"
"бонус","Aberia"
"бос","Aberystwyth"
"босаңсыңыз","Abernant"
"босату","Abernathy"
"босқын","abernethy"
"бостандық","Abernon"
"Бостандық","aberr"
"бояу","aberrance"
"бөксе","aberrancy"
"бөлек","aberrancies"
"бөлектеу","aberrant"
"бөлігі","aberrantly"
"бөлім","aberrants"
"бөлісті","aberrate"
"бөлісу","aberrated"
"бөлме","aberrating"
"бөлу","aberration"
"бөлшек","aberrational"
"бөтелке","aberrations"
"бөтен","aberrative"
"бөшке","aberrator"
"браузер","aberrometer"
"бренд","aberroscope"
"британдық","Abert"
"брондау","aberuncate"
"бу","aberuncator"
"бум","abesse"
"бума","abessive"
"бургер","abet"
"буын","abetment"
"бүгін","abetments"
"бүктеңіз","abets"
"бүлік","abettal"
"бүлікші","abettals"
"бұғы","abetted"
"бұзу","abetter"
"бұзылуы","abetters"
"бұқа","abetting"
"бұл","abettor"
"бұлт","abettors"
"бұлшықет","Abeu"
"бұранда","abevacuation"
"бұрау","abfarad"
"бұрғылау","abfarads"
"бұршақ","ABFM"
"бұрылыс","Abgatha"
"бұрын","ABHC"
"бұрынғы","abhenry"
"бұрыш","abhenries"
"бұта","abhenrys"
"былғары","abhinaya"
"бюджет","abhiseka"
"бюллетень","abhominable"
"бюро","abhor"
"вагон","abhorred"
"вакцина","abhorrence"
"валюта","abhorrences"
"вампир","abhorrency"
"ванна","abhorrent"
"вариация","abhorrently"
"веб-сайт","abhorrer"
"велосипед","abhorrers"
"виртуалды","abhorrible"
"вирус","abhorring"
"витамин","abhors"
"вице","Abhorson"
"вокал","ABI"
"га","aby"
"ғажайып","Abia"
"газ","Abiathar"
"газет","Abib"
"галактика","abichite"
"ғалам","abidal"
"ғаламтор","abidance"
"галерея","abidances"
"галлон","abidden"
"галстук","abide"
"ғалым","abided"
"гараж","abider"
"ғарыш","abiders"
"ғасыр","abides"
"ғашық","abidi"
"гей","abiding"
"ген","abidingly"
"генетикалық","abidingness"
"ғимарат","Abidjan"
"гипотеза","Abydos"
"гитара","Abie"
"глобус","abye"
"Гол","abied"
"голланд","abyed"
"гольф","abiegh"
"гоп","abience"
"гормон","abient"
"грамм","Abies"
"грант","abyes"
"график","abietate"
"графика","abietene"
"грек","abietic"
"губернатор","abietin"
"гүл","Abietineae"
"ғылым","abietineous"
"ғылыми","abietinic"
"да","abietite"
"дабыл","Abiezer"
"дағдарыс","Abigael"
"дайын","Abigail"
"дайындау","abigails"
"дайындық","abigailship"
"дамиды","Abigale"
"даму","abigeat"
"дамуда","abigei"
"дамыту","abigeus"
"дамытушылық","Abihu"
"дана","abying"
"даналық","Abijah"
"данышпан","Abyla"
"даңғыл","abilao"
"даңқ","Abilene"
"дарынды","abiliment"
"дау","Abilyne"
"дауласу","abilitable"
"даулы","ability"
"дауыл","abilities"
"дауыс","ability's"
"ДДСҰ","abilla"
"дебют","abilo"
"дегенмен","abime"
"дейін","Abimelech"
"декларация","Abineri"
"делік","Abingdon"
"демалыс","Abinger"
"демек","Abington"
"демеуші","Abinoam"
"демографиялық","Abinoem"
"демократ","abintestate"
"демократия","abiogeneses"
"демократиялық","abiogenesis"
"демонстрация","abiogenesist"
"дене","abiogenetic"
"денсаулық","abiogenetical"
"деңгейі","abiogenetically"
"депозит","abiogeny"
"депрессия","abiogenist"
"дерекқор","abiogenous"
"деректер","abiology"
"дереу","abiological"
"дерлік","abiologically"
"десерт","abioses"
"деталь","abiosis"
"детектив","abiotic"
"дәйексөз","abiotical"
"дәйекті","abiotically"
"дәл","abiotrophy"
"дәлдік","abiotrophic"
"дәлел","Abipon"
"дәлелдеу","Abiquiu"
"дәліз","abir"
"дәм","abirritant"
"дәмді","abirritate"
"дәмі","abirritated"
"дән","abirritating"
"дәреже","abirritation"
"дәрежесі","abirritative"
"дәретхана","abys"
"дәрі","Abisag"
"дәрігер","Abisha"
"дәстүр","Abishag"
"дәстүрлі","Abisia"
"дәуір","abysm"
"джаз","abysmal"
"джинсы","abysmally"
"джунгли","abysms"
"диагноз","Abyss"
"диаграмма","abyssa"
"диалог","abyssal"
"диапазон","abysses"
"диван","Abyssinia"
"диета","Abyssinian"
"дизайн","abyssinians"
"дизайнер","abyssobenthonic"
"диірмен","abyssolith"
"дилер","abyssopelagic"
"динамикалық","abyss's"
"динамикасы","abyssus"
"дипломатиялық","abiston"
"диск","abit"
"дискурс","Abitibi"
"дін","Abiu"
"діни","abiuret"
"дна","Abixah"
"доза","abject"
"док","abjectedness"
"доктрина","abjection"
"доллар","abjections"
"домалау","abjective"
"домен","abjectly"
"донор","abjectness"
"доп","abjectnesses"
"дос","abjoint"
"достық","abjudge"
"досым","abjudged"
"дөңгелек","abjudging"
"дөрекі","abjudicate"
"драма","abjudicated"
"драмалық","abjudicating"
"дрейф","abjudication"
"дулыға","abjudicator"
"душ","abjugate"
"дүйсенбі","abjunct"
"дүкен","abjunction"
"дүрбелең","abjunctive"
"дұға","abjuration"
"дұрыс","abjurations"
"дұшпандық","abjuratory"
"дыбыс","abjure"
"дымқыл","abjured"
"дюйм","abjurement"
"еврей","abjurer"
"егер","abjurers"
"егеуқұйрық","abjures"
