"Yoruba","English"
"aabo","aardvark"
"aadọta","aardvarks"
"aafin","aardwolf"
"aafo","aardwolves"
"aago","Aaren"
"aah","Aargau"
"ààlà","aargh"
"aami","Aarhus"
"aanu","Aarika"
"Aare","Aaron"
"aarin","Aaronic"
"aaye","Aaronical"
"ààyò","Aaronite"
"aba","Aaronitic"
"abà","Aaron's-beard"
"abadofin","Aaronsburg"
"abajade","Aaronson"
"Abala","AARP"
"abáni","aarrgh"
"abanirojọ","aarrghh"
"abawọn","Aaru"
"abẹ","AAS"
"abẹfẹlẹ","A'asia"
"abele","aasvogel"
"abẹlẹ","aasvogels"
"abẹrẹ","AAU"
"abinibi","AAUP"
"abo","AAUW"
"aboyun","AAVSO"
"abuda","AAX"
"àbùdá","A-axes"
"abule","A-axis"
"aburo","AB"
"acid","ab-"
"adagun","ABA"
"adalu","Ababa"
"adan","Ababdeh"
"adashe","Ababua"
"adayeba","abac"
"ade","abaca"
"adehun","abacay"
"aderubaniyan","abacas"
"adie","abacate"
"adiẹ","abacaxi"
"adikala","abaci"
"adirẹsi","abacinate"
"adiro","abacination"
"administrator","abacisci"
"adugbo","abaciscus"
"adun","abacist"
"adura","aback"
"afara","abacli"
"afefe","Abaco"
"afẹfẹ","abacot"
"afẹsodi","abacterial"
"afẹyinti","abactinal"
"afihan","abactinally"
"àfihàn","abaction"
"afikun","abactor"
"afilọ","abaculi"
"afiwe","abaculus"
"afoju","abacus"
"afojusọna","abacuses"
"afojusun","Abad"
"afonifoji","abada"
"aforiji","Abadan"
"afowopaowo","Abaddon"
"african-Amerika","abadejo"
"aga","abadengo"
"agba","abadia"
"agbado","Abadite"
"agbaiye","abaff"
"àgbàlá","abaft"
"agbalagba","Abagael"
"agbalejo","Abagail"
"agbanisiṣẹ","Abagtha"
"agbara","abay"
"agbasọ","abayah"
"agbateru","Abailard"
"agbaye","abaisance"
"agbe","abaised"
"agbedemeji","abaiser"
"agbegbe","abaisse"
"agbejade","abaissed"
"agbejoro","abaka"
"agbekale","Abakan"
"agbekalẹ","abakas"
"agbeko","Abakumov"
"agbelebu","abalation"
"agbẹnusọ","abalienate"
"àgbere","abalienated"
"agbẹru","abalienating"
"agbese","abalienation"
"agbesoke","abalone"
"agbo","abalones"
"agbodo","Abama"
"agbọn","abamp"
"agbọnrin","abampere"
"agbọrọsọ","abamperes"
"agekuru","abamps"
"aginjù","Abana"
"agọ","aband"
"agogo","abandon"
"aguntan","abandonable"
"Aguntan","abandoned"
"agutan","abandonedly"
"ah","abandonee"
"aibalẹ","abandoner"
"àìdá","abandoners"
"aidaniloju","abandoning"
"aifọkanbalẹ","abandonment"
"aigbagbọ","abandonments"
"aigbekele","abandons"
"ai-jere","abandum"
"aiji","abanet"
"aijinile","abanga"
"aijọju","Abanic"
"ailera","abannition"
"ailewu","Abantes"
"ailopin","abapical"
"aimọ","abaptiston"
"aimọgbọnwa","abaptistum"
"aimokan","Abarambo"
"aimọye","Abarbarea"
"aini","Abaris"
"ainiye","abarthrosis"
"aipe","abarticular"
"àìpẹ","abarticulation"
"airi","Abas"
"àìrọrùn","abase"
"airotẹlẹ","abased"
"aisan","abasedly"
"àìsàn","abasedness"
"aise","abasement"
"aito","abasements"
"aiye","abaser"
"àìyẹsẹ","abasers"
"aiyipada","abases"
"aja","Abasgi"
"ajalu","abash"
"aje","abashed"
"ajẹ","abashedly"
"ajeji","abashedness"
"ajesara","abashes"
"ajeseku","abashing"
"ajiwo","abashless"
"ajo","abashlessly"
"ajọ","abashment"
"Ajọ","abashments"
"ajodun","abasia"
"ajọdun","abasias"
"ajosepo","abasic"
"ajọṣepọ","abasing"
"àjọsọpọ","abasio"
"akàn","abask"
"akanṣe","abassi"
"akara","Abassieh"
"akawe","Abassin"
"àkàwé","abastard"
"akede","abastardize"
"akeko","abastral"
"akero","abatable"
"akete","abatage"
"akewi","Abate"
"akitiyan","abated"
"akiyesi","abatement"
"akọ","abatements"
"àkóbá","abater"
"akoitan","abaters"
"akoj","abates"
"akojọ","abatic"
"akojopo","abating"
"akojọpọ","abatis"
"akoko","abatised"
"akọkọ","abatises"
"akọle","abatjour"
"akọmalu","abatjours"
"akomora","abaton"
"akoni","abator"
"akọni","abators"
"akoonu","ABATS"
"akopọ","abattage"
"àkóràn","abattis"
"akori","abattised"
"akorin","abattises"
"akosile","abattoir"
"Àkọsílẹ","abattoirs"
"akoso","abattu"
"akowe","abattue"
"akude","Abatua"
"ala","abature"
"alaabo","abaue"
"alaafia","abave"
"alabagbepo","abaxial"
"alabapade","abaxile"
"alabaṣe","abaze"
"alabaṣepọ","abb"
"alabọde","Abba"
"alabojuto","abbacy"
"alaburuku","abbacies"
"alade","abbacomes"
"aládùúgbò","Abbadide"
"alafẹfẹ","Abbai"
"alafia","abbaye"
"àlàfo","abbandono"
"alaga","abbas"
"Alàgbà","abbasi"
"alágbádá","Abbasid"
"alagbara","abbassi"
"alágbára","Abbassid"
"alagbata","Abbasside"
"alagbato","Abbate"
"alagbawi","abbatial"
"alagbeka","abbatical"
"alagbero","abbatie"
"alagidi","Abbe"
"alaidun","Abbey"
"alaifeiruedaomoenikeji","abbeys"
"alailagbara","abbey's"
"ala-ilẹ","abbeystead"
"alailesin","abbeystede"
"aláìlórúkọ","abbes"
"alaimọ","abbess"
"alaimuṣinṣin","abbesses"
"alainiṣẹ","abbest"
"alaisan","Abbevilean"
"alaiṣẹ","Abbeville"
"Alaiye","Abbevillian"
"alakojo","Abbi"
"alakosile","Abby"
"alakoso","Abbie"
"Alakoso","Abbye"
"alakọwe","Abbyville"
"alapejọ","abboccato"
"alapin","abbogada"
"alapon","Abbot"
"alaragbayida","abbotcy"
"alariwisi","abbotcies"
"alase","abbotnullius"
"alatako","abbotric"
"alatilẹyin","abbots"
"alaye","abbot's"
"alayeye","Abbotsen"
"ale","Abbotsford"
"alejo","abbotship"
"alejò","abbotships"
"alemo","Abbotson"
"àlẹmọ","Abbotsun"
"alikama","Abbott"
"áljẹbrà","Abbottson"
"Alliance","Abbottstown"
"Alpha","Abboud"
"Alter","abbozzo"
"Alubosa","ABBR"
"alufaa","abbrev"
"amayederun","abbreviatable"
"Amerika","abbreviate"
"ami","abbreviated"
"Ami","abbreviately"
"amọ","abbreviates"
"amọdaju","abbreviating"
"amofin","abbreviation"
"Amojuto","abbreviations"
"amoye","abbreviator"
"amuaradagba","abbreviatory"
"Amuludun","abbreviators"
"amunisin","abbreviature"
"amurele","abbroachment"
"Android","ABC"
"anfani","abcess"
"angẹli","abcissa"
"ani","abcoulomb"
"aniyan","ABCs"
"ànjọ̀nú","abd"
"anti","abdal"
"aotoju","abdali"
"apa","abdaria"
"apaadi","abdat"
"apakan","Abdel"
"apamọwọ","Abd-el-Kadir"
"apanilaya","Abd-el-Krim"
"apanilerin","Abdella"
"apanirun","Abderhalden"
"apaniyan","Abderian"
"apao","Abderite"
"apapo","Abderus"
"apapọ","abdest"
"apata","Abdias"
"apeere","abdicable"
"apẹẹrẹ","abdicant"
"apejo","abdicate"
"apejọ","abdicated"
"àpéjọpọ","abdicates"
"apejuwe","abdicating"
"apẹrẹ","abdication"
"apo","abdications"
"àpo","abdicative"
"apọju","abdicator"
"apoowe","Abdiel"
"apoti","abditive"
"app","abditory"
"Apu","abdom"
"ara","abdomen"
"arab","abdomens"
"arabara","abdomen's"
"arabinrin","abdomina"
"arakunrin","abdominal"
"aramada","Abdominales"
"arin","abdominalia"
"arínifín","abdominalian"
"arinrin","abdominally"
"ariwa","abdominals"
"Ariwa","abdominoanterior"
"ariwo","abdominocardiac"
"ariyanjiyan","abdominocentesis"
"àríyànjiyàn","abdominocystic"
"aro","abdominogenital"
"arojinle","abdominohysterectomy"
"aropin","abdominohysterotomy"
