"Tatar","English"
"абзацны","aardvark"
"аборт","aardvarks"
"абруе","aardwolf"
"абсолют","aardwolves"
"абстракт","Aaren"
"абый","Aargau"
"авария","aargh"
"август","Aarhus"
"авеню","Aarika"
"авиакомпания","Aaron"
"авиация","Aaronic"
"автобус","Aaronical"
"автоматик","Aaronite"
"автомобиль","Aaronitic"
"автор","Aaron's-beard"
"авторга","Aaronsburg"
"авыз","Aaronson"
"авыл","AARP"
"авыр","aarrgh"
"авырлык","aarrghh"
"авырту","Aaru"
"авыру","AAS"
"авышлык","A'asia"
"агач","aasvogel"
"агачтан","aasvogels"
"агент","AAU"
"агентлыгы","AAUP"
"агрессив","AAUW"
"агым","AAVSO"
"адвокат","AAX"
"адекват","A-axes"
"Адәм","A-axis"
"административ","AB"
"администратор","ab-"
"адрес","ABA"
"адым","Ababa"
"аерма","Ababdeh"
"аермалы","Ababua"
"аеруча","abac"
"аерылгач","abaca"
"аерылу","abacay"
"аерылышу","abacas"
"аерым","abacate"
"аерып","abacaxi"
"аҗдаһа","abaci"
"аз","abacinate"
"азатлык","abacination"
"Азия","abacisci"
"азчылык","abaciscus"
"ай","abacist"
"айлык","aback"
"академик","abacli"
"академия","Abaco"
"аклау","abacot"
"акрын","abacterial"
"Аксымнар","abactinal"
"акт","abactinally"
"актёр","abaction"
"актив","abactor"
"активист","abaculi"
"активлар","abaculus"
"актриса","abacus"
"актуаль","abacuses"
"акула","Abad"
"акча","abada"
"акыл","Abadan"
"акыллы","Abaddon"
"акылсыз","abadejo"
"Алаһудан","abadengo"
"Алар","abadia"
"Аларның","Abadite"
"алга","abaff"
"алда","abaft"
"алдагы","Abagael"
"алдан","Abagail"
"алдау","Abagtha"
"алла","abay"
"Аллаһы","abayah"
"аллея","Abailard"
"Алма","abaisance"
"алмаган","abaised"
"алмаз","abaiser"
"алмалары","abaisse"
"алмаш","abaissed"
"алмашу","abaka"
"алсу","Abakan"
"алты","abakas"
"алтын","Abakumov"
"алтынчы","abalation"
"алу","abalienate"
"алучы","abalienated"
"алыгыз","abalienating"
"алымнар","abalienation"
"алыш-","abalone"
"алыштыру","abalones"
"альбом","Abama"
"альтернатива","abamp"
"Альфа","abampere"
"амбар","abamperes"
"амбиция","abamps"
"американ","Abana"
"анализ","aband"
"аналитик","abandon"
"андроид","abandonable"
"аннары","abandoned"
"аноним","abandonedly"
"ансыз","abandonee"
"ант","abandoner"
"аны","abandoners"
"аның","abandoning"
"аң","abandonment"
"аңгыла","abandonments"
"аңлаешсыз","abandons"
"аңлатма","abandum"
"аңлату","abanet"
"аңлау","abanga"
"аңлы","Abanic"
"апа","abannition"
"апрель","Abantes"
"аптырашта","abapical"
"ара","abaptiston"
"аралашу","abaptistum"
"аранжировка","Abarambo"
"арасында","Abarbarea"
"арба","Abaris"
"арбак","abarthrosis"
"аргумент","abarticular"
"арена","abarticulation"
"арендага","Abas"
"арзан","abase"
"армия","abased"
"арта","abasedly"
"арткан","abasedness"
"артта","abasement"
"арттыру","abasements"
"артуы","abaser"
"архивы","abasers"
"архитектор","abases"
"архитектура","Abasgi"
"арыган","abash"
"арыслан","abashed"
"асанлыгла","abashedly"
"аспект","abashedness"
"аста","abashes"
"астрономы","abashing"
"астында","abashless"
"асылда","abashlessly"
"асылу","abashment"
"асылы","abashments"
"ат","abasia"
"ата-","abasias"
"ата-ана","abasic"
"атаклы","abasing"
"атлет","abasio"
"атлетик","abask"
"атмосфера","abassi"
"атна","Abassieh"
"атом","Abassin"
"атрибуты","abastard"
"ату","abastardize"
"ау","abastral"
"ауд","abatable"
"аудитория","abatage"
"аулау","Abate"
"аучы","abated"
"ахмак","abatement"
"ахмаклык","abatements"
"ахыр","abater"
"ахыргы","abaters"
"ахырда","abates"
"ач","abatic"
"ачкыч","abating"
"ачу","abatis"
