"Basque","English"
"abandonatu","aardvark"
"abantaila","aardvarks"
"abendua","aardwolf"
"abentura","aardwolves"
"aberastasuna","Aaren"
"aberatsa","Aargau"
"aberria","aargh"
"abeslaria","Aarhus"
"abestia","Aarika"
"abestu","Aaron"
"abiadura","Aaronic"
"abian","Aaronical"
"abisua","Aaronite"
"abokatu","Aaronitic"
"abokatua","Aaron's-beard"
"abortua","Aaronsburg"
"absentzia","Aaronson"
"absolutua","AARP"
"abstraktua","aarrgh"
"Abuztu","aarrghh"
"ad","Aaru"
"adabakia","AAS"
"adarra","A'asia"
"adeitasuna","aasvogel"
"adibidea","aasvogels"
"adierazi","AAU"
"adierazlea","AAUP"
"adierazpena","AAUW"
"adimena","AAVSO"
"adimentsu","AAX"
"adina","A-axes"
"adinekoak","A-axis"
"adiskidetasuna","AB"
"aditua","ab-"
"administratiboa","ABA"
"administratu","Ababa"
"administratzailea","Ababdeh"
"administrazioa","Ababua"
"adna","abac"
"adoptatu","abaca"
"adopzioa","abacay"
"ados","abacas"
"Ados","abacate"
"adostasuna","abacaxi"
"adreilua","abaci"
"afaria","abacinate"
"afera","abacination"
"afiliazioa","abacisci"
"afrikarra","abaciscus"
"afroamerikarra","abacist"
"agenda","aback"
"agente","abacli"
"agentzia","Abaco"
"agerian","abacot"
"agerikoa","abacterial"
"agertu","abactinal"
"agian","abactinally"
"agindua","abaction"
"agintaldia","abactor"
"agintaritza","abaculi"
"agintzen","abaculus"
"agur","abacus"
"agurtu","abacuses"
"ah","Abad"
"ahalegindu","abada"
"ahatea","Abadan"
"ahaztu","Abaddon"
"ahoa","abadejo"
"aholkatu","abadengo"
"aholkuak","abadia"
"aholkulari","Abadite"
"aholkularia","abaff"
"aholkularitza","abaft"
"ahotsa","Abagael"
"ahozkoa","Abagail"
"ahula","Abagtha"
"ahuldu","abay"
"ahultasuna","abayah"
"ahuntza","Abailard"
"aide","abaisance"
"aingerua","abaised"
"aingura","abaiser"
"aintza","abaisse"
"aintzira","abaissed"
"aipamena","abaka"
"aipatu","Abakan"
"airea","abakas"
"aireportua","Abakumov"
"aita","abalation"
"aitatxo","abalienate"
"aitona","abalienated"
"aitorpena","abalienating"
"aitortu","abalienation"
"aitortza","abalone"
"aitzakia","abalones"
"aizu","Abama"
"akademia","abamp"
"akademikoa","abampere"
"akats","abamperes"
"akatsa","abamps"
"akordioa","Abana"
"akre","aband"
"aktibista","abandon"
"aktiboa","abandonable"
"aktiboki","abandoned"
"aktorea","abandonedly"
"akusazioa","abandonee"
"alaba","abandoner"
"alanbre","abandoners"
"alarma","abandoning"
"albisteak","abandonment"
"alborapena","abandonments"
"albuma","abandons"
"aldagaia","abandum"
"aldagela","abanet"
"Aldaka","abanga"
"aldakuntza","Abanic"
"aldapa","abannition"
"aldapatsua","Abantes"
"aldarte","abapical"
"aldatu","abaptiston"
"aldatzen","abaptistum"
"alde","Abarambo"
"aldea","Abarbarea"
"aldekoa","Abaris"
"aldera","abarthrosis"
"alderaketa","abarticular"
"alderantziz","abarticulation"
"alderdia","Abas"
"aldia","abase"
"aldiriko","abased"
"aldiz","abasedly"
"aldizka","abasedness"
"aldizkaria","abasement"
"alea","abasements"
"alegazioa","abaser"
"alemana","abasers"
"alfa","abases"
"alfabetatzea","Abasgi"
"alferra","abash"
"alferrikakoa","abashed"
"alfonbra","abashedly"
"aliantza","abashedness"
"aliatua","abashes"
"alkandora","abashing"
"alkatea","abashless"
"alkohola","abashlessly"
"alokairua","abashment"
"alternatiba","abashments"
"altua","abasia"
"altuera","abasias"
"altxorra","abasic"
"altzairua","abasing"
"altzariak","abasio"
"am","abask"
"ama","abassi"
"amaiera","Abassieh"
"amaigabea","Abassin"
"amaitu","abastard"
"amatxo","abastardize"
"amerikarra","abastral"
"amesgaiztoa","abatable"
"ametsa","abatage"
"amona","Abate"
"amorrua","abated"
"anaia","abatement"
"anai-arreba","abatements"
"analisia","abater"
"analista","abaters"
"anbizioa","abates"
"andereño","abatic"
"andrea","abating"
"androide","abatis"
"anezka","abatised"
"angelua","abatises"
"animalia","abatjour"
"animatu","abatjours"
"anitz","abaton"
"aniztasuna","abator"
"anonimoa","abators"
"antolakuntza","ABATS"
"antolamendua","abattage"
"antolatu","abattis"
"antsietatea","abattised"
"antza","abattises"
"antzekoa","abattoir"
"Antzekotasun","abattoirs"
"antzerkia","abattu"
"antzezlea","abattue"
"antzeztu","Abatua"
"antzinako","abature"
"apaiz","abaue"
"apala","abave"
"aparkalekua","abaxial"
"apartamentua","abaxile"
"aparte","abaze"
"apartekoa","abb"
"apezpikua","Abba"
"apirila","abbacy"
"aplikatu","abbacies"
"aplikazio","abbacomes"
"aplikazioa","Abbadide"
"apustua","Abbai"
"arabera","abbaye"
"arabiarra","abbandono"
