"Samoan","English"
"a’oa’o","aardvark"
"a'a","aardvarks"
"aafia","aardwolf"
"aafiaga","aardwolves"
"aʻafiaga","Aaren"
"aah","Aargau"
"aai","aargh"
"aano","Aarhus"
"aau","Aarika"
"acid","Aaron"
"activist","Aaronic"
"ad","Aaronical"
"ae","Aaronite"
"a'e","Aaronitic"
"aeto","Aaron's-beard"
"afa","Aaronsburg"
"afa'fine","Aaronson"
"afai","AARP"
"afe","aarrgh"
"afea","aarrghh"
"afeleti","Aaru"
"Aferika","AAS"
"Aferika-Amerika","A'asia"
"afi","aasvogel"
"afiafi","aasvogels"
"afifi","AAU"
"afu","AAUP"
"agaalofa","AAUW"
"agafesootai","AAVSO"
"agaga","AAX"
"aga'iga","A-axes"
"agalelei","A-axis"
"agamalu","AB"
"aganuu","ab-"
"agasala","ABA"
"agavaa","Ababa"
"agava'a","Ababdeh"
"agelu","Ababua"
"'ai","abac"
"aiaiga","abaca"
"Aialani","abacay"
"aiga","abacas"
"'aiga","abacate"
"aila","abacaxi"
"aioiga","abaci"
"aisa","abacinate"
"Aisea","abacination"
"aitalafu","abacisci"
"aitu","abaciscus"
"ala","abacist"
"alafa","aback"
"alafau","abacli"
"alafua","Abaco"
"alaga","abacot"
"alalaupapa","abacterial"
"alaleo","abactinal"
"alamanuia","abactinally"
"alasavali","abaction"
"alatele","abactor"
"alavai","abaculi"
"alavalava","abaculus"
"album","abacus"
"ālia","abacuses"
"alii","Abad"
"aloa'ia","abada"
"aloalii","Abadan"
"alofa","Abaddon"
"alofaaga","abadejo"
"alofaga","abadengo"
"alofilima","abadia"
"aloiafi","Abadite"
"alu","abaff"
"aluga","abaft"
"am","Abagael"
"amata","Abagail"
"amataga","Abagtha"
"amatalia","abay"
"amepasa","abayah"
"Amerika","Abailard"
"amio","abaisance"
"amo","abaised"
"ana","abaiser"
"anamua","abaisse"
"anana","abaissed"
"ananafi","abaka"
"android","Abakan"
"aniani","abakas"
"anoa","Abakumov"
"anotusi","abalation"
"ao","abalienate"
"aoao","abalienated"
"aoaoga","abalienating"
"a'oa'oga","abalienation"
"aoaoina","abalone"
"aoauli","abalones"
"aofaiga","Abama"
"aofia","abamp"
"aoga","abampere"
"a'oga","abamperes"
"aogā","abamps"
"aoina","Abana"
"aotelega","aband"
"apa","abandon"
"apaau","abandonable"
"Apelila","abandoned"
"apili","abandonedly"
"app","abandonee"
"apu","abandoner"
"araisa","abandoners"
"Arapi","abandoning"
"aseta","abandonment"
"Asia","abandonments"
"asiasi","abandons"
"asiasiga","abandum"
"asini","abanet"
"aso","abanga"
"asu","Abanic"
"ata","abannition"
"ataata","Abantes"
"ataliʻi","abapical"
"atamai","abaptiston"
"ate","abaptistum"
