"Swahili","English"
"abiria","aardvark"
"acha","aardvarks"
"ada","aardwolf"
"adhabu","aardwolves"
"admire","Aaren"
"adui","Aargau"
"afisa","aargh"
"afya","Aarhus"
"agano","Aarika"
"agizo","Aaron"
"Agosti","Aaronic"
"ah","Aaronical"
"aha","Aaronite"
"ahadi","Aaronitic"
"aibu","Aaron's-beard"
"aina","Aaronsburg"
"ainisha","Aaronson"
"ajabu","AARP"
"ajali","aarrgh"
"ajenda","aarrghh"
"ajira","Aaru"
"ajiri","AAS"
"akaunti","A'asia"
"akili","aasvogel"
"alama","aasvogels"
"albamu","AAU"
"alfa","AAUP"
"alfajiri","AAUW"
"alhamisi","AAVSO"
"aliongeza","AAX"
"aliyenusurika","A-axes"
"Almasi","A-axis"
"am","AB"
"ama","ab-"
"amana","ABA"
"amani","Ababa"
"ambatisha","Ababdeh"
"ambaye","Ababua"
"ambayo","abac"
"amelala","abaca"
"amini","abacay"
"amri","abacas"
"andika","abacate"
"android","abacaxi"
"anga","abaci"
"angalau","abacinate"
"angalia","abacination"
"anwani","abacisci"
"anzisha","abaciscus"
"aprili","abacist"
"ardhi","aback"
"arobaini","abacli"
"asali","Abaco"
"asante","abacot"
"asidi","abacterial"
"asili","abactinal"
"asilimia","abactinally"
"asiyeonekana","abaction"
"askari","abactor"
"askofu","abaculi"
"asubuhi","abaculus"
"athari","abacus"
"au","abacuses"
"awali","Abad"
"awamu","abada"
"aya","Abadan"
"azima","Abaddon"
"azimio","abadejo"
"baadae","abadengo"
"baadaye","abadia"
"baadhi","Abadite"
"baba","abaff"
"babu","abaft"
"badilika","Abagael"
"badilisha","Abagail"
"bado","Abagtha"
"bafuni","abay"
"Bahari","abayah"
"baharini","Abailard"
"bahasha","abaisance"
"bahati","abaised"
"bainisha","abaiser"
"baiskeli","abaisse"
"bajeti","abaissed"
"bake","abaka"
"bakteria","Abakan"
"bakuli","abakas"
"balaa","Abakumov"
"balozi","abalation"
"bandari","abalienate"
"bandia","abalienated"
"bang","abalienating"
"bangi","abalienation"
"bango","abalone"
"bar","abalones"
"bara","Abama"
"barabara","abamp"
"barafu","abampere"
"baraka","abamperes"
"baraza","abamps"
"baridi","Abana"
"bariki","aband"
"barua","abandon"
"basi","abandonable"
"bata","abandoned"
"bega","abandonedly"
"bei","abandonee"
"bembea","abandoner"
"benchi","abandoners"
"bendera","abandoning"
"bendi","abandonment"
"benki","abandonments"
"Benki","abandons"
"besiboli","abandum"
"betri","abanet"
"bia","abanga"
"biashara","Abanic"
"Biashara","abannition"
"bibi","Abantes"
"biblia","abapical"
"bidhaa","abaptiston"
"bila","abaptistum"
"bilioni","Abarambo"
"bima","Abarbarea"
"binadamu","Abaris"
"binafsi","abarthrosis"
"binamu","abarticular"
"bingwa","abarticulation"
"binti","Abas"
"biolojia","abase"
"blade","abased"
"blanketi","abasedly"
"blogu","abasedness"
"bluu","abasement"
"bodi","abasements"
"bomba","abaser"
"bomu","abasers"
"bonde","abases"
"bonyeza","Abasgi"
"boom","abash"
"bora","abashed"
"boriti","abashedly"
"bosi","abashedness"
"brashi","abashes"
"Bubble","abashing"
"bunduki","abashless"
"bunge","abashlessly"
"bure","abashment"
"burger","abashments"
"burudani","abasia"
"buruta","abasias"
"busara","abasic"
"bustani","abasing"
"busu","abasio"
"busy","abask"
"buti","abassi"
"bwana","Abassieh"
"bwawa","Abassin"
"carrier","abastard"
"cd","abastardize"
"chafu","abastral"
"chagua","abatable"
"chaguo","abatage"
"chaguo-msingi","Abate"
"chai","abated"
"chajio","abatement"
"chakula","abatements"
"chama","abater"
"chaneli","abaters"
"changamano","abates"
"changamoto","abatic"
"changamsha","abating"
"changanya","abatis"
"changia","abatised"
