"Sesotho","English"
"a","aardvark"
"aah","aardvarks"
"aba","aardwolf"
"abela","aardwolves"
"abstract","Aaren"
"accounting","Aargau"
"acre","aargh"
"ah","Aarhus"
"aka","Aarika"
"akareletsa","Aaron"
"akatemi","Aaronic"
"akhaonte","Aaronical"
"alamo","Aaronite"
"alebamo","Aaronitic"
"alima","Aaron's-beard"
"alpha","Aaronsburg"
"ama","Aaronson"
"amana","AARP"
"amanang","aarrgh"
"amehang","aarrghh"
"amohela","Aaru"
"amohelehile","AAS"
"ananela","A'asia"
"android","aasvogel"
"angle","aasvogels"
"ankora","AAU"
"Anyanese","AAUP"
"apara","AAUW"
"apola","AAVSO"
"apole","AAX"
"app","A-axes"
"April","A-axis"
"araba","AB"
"Arohane","ab-"
"arola","ABA"
"arolelana","Ababa"
"arolelanoa","Ababdeh"
"array","Ababua"
"asian","abac"
"asiti","abaca"
"atamela","abacay"
"aterese","abacas"
"athe","abacate"
"atileng","abacaxi"
"atleha","abaci"
"atlehile","abacinate"
"atolosa","abacination"
"atolositsoe","abacisci"
"August","abaciscus"
"baahi","abacist"
"babang","aback"
"babatsehang","abacli"
"bacha","Abaco"
"baeloji","abacot"
"baesekele","abacterial"
"Bajuda","abactinal"
"baka","abactinally"
"baki","abaction"
"bala","abactor"
"baleha","abaculi"
"balune","abaculus"
"bamameli","abacus"
"banana","abacuses"
"bang","Abad"
"banka","abada"
"banyalani","Abadan"
"bapala","Abaddon"
"bapisa","abadejo"
"bar","abadengo"
"barathoko","abadia"
"baseball","Abadite"
"basebetsi","abaff"
"basketball","abaft"
"Bastat","Abagael"
"bat","Abagail"
"batho","Abagtha"
"batla","abay"
"batlisisa","abayah"
"be","Abailard"
"beha","abaisance"
"bekapo","abaised"
"beke","abaiser"
"bela","abaisse"
"belaela","abaissed"
"belaetsang","abaka"
"benche","Abakan"
"beoa","abakas"
"bere","Abakumov"
"bese","abalation"
"betere","abalienate"
"bethe","abalienated"
"betla","abalienating"
"betri","abalienation"
"betsa","abalone"
"bibele","abalones"
"bid","Abama"
"bina","abamp"
"biri","abampere"
"blog","abamperes"
"boahi","abamps"
"bobe","Abana"
"bobeli","aband"
"bobolu","abandon"
"bocha","abandonable"
"bochabela","abandoned"
"bodulo","abandonedly"
"bodutu","abandonee"
"boelana","abandoner"
"boema-fofane","abandoners"
"boemakepe","abandoning"
"boemedi","abandonment"
"boemeli","abandonments"
"boemo","abandons"
"boenjiniere","abandum"
"boetapele","abanet"
"bofokodi","abanga"
"bofutsana","Abanic"
"bohale","abannition"
"bohareng","Abantes"
"Bohata","abapical"
"bohelehele","abaptiston"
"bohlale","abaptistum"
"bohlanya","Abarambo"
"bohlasoa","Abarbarea"
"bohle","Abaris"
"bohloko","abarthrosis"
"bohlokoa","abarticular"
"bohlooho","abarticulation"
"bohobe","Abas"
"bohole","abase"
"boholo","abased"
"boikarabello","abasedly"
"boikarabelo","abasedness"
"boikemelo","abasement"
"boikemisetso","abasements"
"boiketlo","abaser"
"boiketsetso","abasers"
"boiketsiso","abases"
"boikgohomoso","Abasgi"
"boikgopotso","abash"
"boikoetliso","abashed"
"Boikoitliso","abashedly"
"boikopanyo","abashedness"
"boikutlo","abashes"
"boima","abashing"
"boimana","abashless"
"boipelaetso","abashlessly"
"boiphetetso","abashment"
"boiphihlelo","abashments"
"boipiletso","abasia"
"boiqapelo","abasias"
"boislamo","abasic"
"boithabiso","abasing"
"boithati","abasio"
"boithuto","abask"
"boitlamo","abassi"
"boitlhompho","Abassieh"
"boitsebiso","Abassin"
"boitšisinyo","abastard"
"boitšoaro","abastardize"
"bojaki","abastral"
"bokahare","abatable"
"bokahodimo","abatage"
"bokahohle","Abate"
