"Malay","English"
"abad","aardvark"
"ada","aardvarks"
"adalah","aardwolf"
"adil","aardwolves"
"agak","Aaren"
"air","Aargau"
"ais","aargh"
"akan","Aarhus"
"akar","Aarika"
"akhbar","Aaron"
"akhir","Aaronic"
"akhiran","Aaronical"
"aliran","Aaronite"
"amalan","Aaronitic"
"anak","Aaron's-beard"
"anda","Aaronsburg"
"anggur","Aaronson"
"angin","AARP"
"angka","aarrgh"
"anjing","aarrghh"
"anjing-anjing","Aaru"
"antara","AAS"
"apa","A'asia"
"apa?","aasvogel"
"apa-apa","aasvogels"
"apabila","AAU"
"api","AAUP"
"ara","AAUW"
"arnab","AAVSO"
"arnab-arnab","AAX"
"asal","A-axes"
"asas","A-axis"
"asing","AB"
"askar","ab-"
"atap","ABA"
"atas","Ababa"
"atau","Ababdeh"
"awal","Ababua"
"awan","abac"
"ayah","abaca"
"ayam","abacay"
"badan","abacas"
"bagaimana","abacate"
"bagaimana?","abacaxi"
"bahagian","abaci"
"bahan","abacinate"
"bahasa","abacination"
"bahawa","abacisci"
"bahaya","abaciscus"
"baik","abacist"
"band","aback"
"bandar","abacli"
"bangsa","Abaco"
"bank","abacot"
"banyak","abacterial"
"banyakeksperimen","abactinal"
"bar","abactinally"
"barat","abaction"
"baru","abactor"
"basah","abaculi"
"batu","abaculus"
"batuan","abacus"
"bayangkan","abacuses"
"bayi","Abad"
"beberapa","abada"
"bekalan","Abadan"
"belajar","Abaddon"
"belayar","abadejo"
"beliau","abadengo"
"belum","abadia"
"benar","Abadite"
"benih","abaff"
"bentuk","abaft"
"berangin","Abagael"
"berasa","Abagail"
"berasingan","Abagtha"
"berat","abay"
"berbeza","abayah"
"berbeza-beza","Abailard"
"bercakap","abaisance"
"bercakapdebu","abaised"
"berdiri","abaiser"
"berfikir","abaisse"
"bergantung","abaissed"
"berhampiran","abaka"
"berharap","Abakan"
"berhenti","abakas"
"berjalan","Abakumov"
"berkabus","abalation"
"berkata","abalienate"
"berkedut","abalienated"
"berkembang","abalienating"
"berkhidmat","abalienation"
"berkuasa","abalone"
"berlaku","abalones"
"berlari","Abama"
"bermakna","abamp"
"bermimpi","abampere"
"bermula","abamperes"
"beroperasi","abamps"
"bersalji","Abana"
"bersama-sama","aband"
"bersedia","abandon"
"bersetuju","abandonable"
"bersih","abandoned"
"bertulis","abandonedly"
"berturut-turut","abandonee"
"beruang","abandoner"
"beruang-beruang","abandoners"
"besar","abandoning"
"besar-besaran","abandonment"
"besi","abandonments"
"betul","abandons"
"biasa","abandum"
"bidang","abanet"
"bilangan","abanga"
"bilik","Abanic"
"bintang","abannition"
"biru","Abantes"
"bising","abapical"
"bola","abaptiston"
"boleh","abaptistum"
"bot","Abarambo"
"buah","Abarbarea"
"buah-buahan","Abaris"
"buaya","abarthrosis"
"buaya-buaya","abarticular"
"budak","abarticulation"
"bukan","Abas"
"bukit","abase"
"buku","abased"
"bulan","abasedly"
"bulatan","abasedness"
"bumi","abasement"
"bunga","abasements"
"bunga-bunga","abaser"
"bunyi","abasers"
"buruk","abases"
"burung","Abasgi"
"burung-burung","abash"
"cahaya","abashed"
"caj","abashedly"
"campuran","abashedness"
"cantik","abashes"
"cara","abashing"
"carian","abashless"
"cat","abashlessly"
"cawan","abashment"
"cawangan","abashments"
"cecair","abasia"
"cepat","abasias"
"cerah","abasic"
"cerita","abasing"
"cetak","abasio"
"cincin","abask"
"coklat","abassi"
"contoh","Abassieh"
"corak","Abassin"
"cuaca","abastard"
"cuba","abastardize"
"cukup","abastral"
"daftar","abatable"
"daging","abatage"
"dakwat","Abate"
"dalam","abated"
"dan","abatement"
"dapat","abatements"
"dapur","abater"
"darah","abaters"
"daripada","abates"
"datang","abatic"
"dataran","abating"
"datuk","abatis"
"denda","abatised"
"dengan","abatises"
"di","abatjour"
"dia","abatjours"
"diadakan","abaton"
"dibawa","abator"
"didapati","abators"
"dihantar","ABATS"
"dilakukan","abattage"
"dinding","abattis"
"dipotong","abattised"
"diri","abattises"
"disimpan","abattoir"
"ditangkap","abattoirs"
"doktor","abattu"
"dolar","abattue"
"dompet","Abatua"
"drop","abature"
"dua","abaue"
"duduk","abave"
"dunia","abaxial"
"dusta","abaxile"
"ekor","abaze"
"elektrik","abb"
"elemen","Abba"
"emas","abbacy"
"empat","abbacies"
"enam","abbacomes"
"enjin","Abbadide"
"epal","Abbai"
"fakta","abbaye"
"farmasi","abbandono"
"fikir","abbas"
"fikiran","abbasi"
"frasa","Abbasid"
"gadis","abbassi"
"gajah","Abbassid"
"gajah-gajah","Abbasside"
"gambar","Abbate"
"garam","abbatial"
"garpu","abbatical"
"gas","abbatie"
"gaun","Abbe"
"gelap","Abbey"
"gelombang","abbeys"
"gembira","abbey's"
"Geografi","abbeystead"
"gerakan","abbeystede"
"gigi","abbes"
"gula","abbess"
"gula-gula","abbesses"
"gunting","abbest"
"gunung","Abbevilean"
"guru","Abbeville"
"gurun","Abbevillian"
"haba","Abbi"
"hadapan","Abby"
"haiwan","Abbie"
"hamba","Abbye"
"hanya","Abbyville"
"hari","abboccato"
"harimau","abbogada"
"harimau-harimau","Abbot"
"hasil","abbotcy"
"hendaklah","abbotcies"
"hijau","abbotnullius"
"hilang","abbotric"
"hitam","abbots"
"hujan","abbot's"
"hukuman","Abbotsen"
"hutan","Abbotsford"
"ia","abbotship"
"ibu","abbotships"
"idea","Abbotson"
"ijazah","Abbotsun"
"ikan","Abbott"
"inci","Abbottson"
"induk","Abbottstown"
"industrinilai","Abboud"
"ingat","abbozzo"
"ingin","ABBR"
"ini","abbrev"
"instrumen","abbreviatable"
"isteri","abbreviate"
"itik","abbreviated"
"itu","abbreviately"
"jadi","abbreviates"
"jadual","abbreviating"
"jagung","abbreviation"
"jaket","abbreviations"
"jalan","abbreviator"
"jam","abbreviatory"
