"Maori","English"
"a","aardvark"
"aah","aardvarks"
"ad","aardwolf"
"ae","aardwolves"
"āe","Aaren"
"aha","Aargau"
"ahakoa","aargh"
"ahanoa","Aarhus"
"ahau","Aarika"
"ahi","Aaron"
"Āhia","Aaronic"
"ahiahi","Aaronical"
"aho","Aaronite"
"ahorangi","Aaronitic"
"ahua","Aaron's-beard"
"āhua","Aaronsburg"
"āhuarangi","Aaronson"
"ahuareka","AARP"
"āhuatanga","aarrgh"
"āhukahuka","aarrghh"
"ahumahi","Aaru"
"ahupūngao","AAS"
"ahurei","A'asia"
"ahuwhenua","aasvogel"
"aitua","aasvogels"
"ake","AAU"
"akiaki","AAUP"
"ako","AAUW"
"akomanga","AAVSO"
"akoranga","AAX"
"Akuhata","A-axes"
"alpha","A-axis"
"am","AB"
"Amelika","ab-"
"āmiki","ABA"
"amiorangi","Ababa"
"amuamu","Ababdeh"
"ana","Ababua"
"anahera","abac"
"anake","abaca"
"anga","abacay"
"angaanga","abacas"
"angamahi","abacate"
"angitu","abacaxi"
"aniana","abaci"
"ānini","abacinate"
"ano","abacination"
"ao","abacisci"
"aorangi","abaciscus"
"aperira","abacist"
"āpiha","aback"
"apopo","abacli"
"aporo","Abaco"
"āputa","abacot"
"ara","abacterial"
"arahi","abactinal"
"ārahi","abactinally"
"ārahitanga","abaction"
"arai","abactor"
"ārai","abaculi"
"Arapi","abaculus"
"ararewa","abacus"
"arata'iraa","abacuses"
"aratau","Abad"
"aratohu","abada"
"arawhata","Abadan"
"arena","Abaddon"
"arero","abadejo"
"arewhana","abadengo"
"ariā","abadia"
"ariki","Abadite"
"aro","abaff"
"aroa","abaft"
"aroaro","Abagael"
"aroha","Abagail"
"arohaehae","Abagtha"
"aromatawai","abay"
"aronga","abayah"
"aronganui","Abailard"
"arorau","abaisance"
"arotahi","abaised"
"arotake","abaiser"
"aroturuki","abaisse"
"arumoni","abaissed"
"ata","abaka"
"āta","Abakan"
"ataahua","abakas"
"ātaahua","Abakumov"
"ataata","abalation"
"atamai","abalienate"
"atamira","abalienated"
"atanga","abalienating"
"atarangi","abalienation"
"ā-tau","abalone"
"atawhai","abalones"
"ate","Abama"
"ātete","abamp"
"atu","abampere"
"atua","abamperes"
"aua","abamps"
"auaha","Abana"
"auahatanga","aband"
"auahi","abandon"
"auau","abandonable"
"aue","abandoned"
"Aue","abandonedly"
"auheke","abandonee"
"aukati","abandoner"
"aunoa","abandoners"
"auraki","abandoning"
"auto","abandonment"
"awa","abandonments"
"awaawa","abandons"
"ā-waha","abandum"
"āwangawanga","abanet"
"awha","abanga"
"āwhā","Abanic"
"awhe","abannition"
"awheawhe","Abantes"
"Awherika","abapical"
"Awherika-Amerika","abaptiston"
"awhi","abaptistum"
"awhina","Abarambo"
"āwhina","Abarbarea"
"awhiowhio","Abaris"
"bonus","abarthrosis"
"bug","abarticular"
"burger","abarticulation"
"casino","Abas"
"cd","abase"
"ceo","abased"
"cholesterol","abasedly"
"dna","abasedness"
"e","abasement"
"eka","abasements"
"ekara","abaser"
"ekenga","abasers"
"emperor","abases"
"enei","Abasgi"
"engari","abash"
"episekopo","abashed"
"et","abashedly"
"etahi","abashedness"
"etc","abashes"
"ētita","abashing"
"faahiahia","abashless"
"faufaa","abashlessly"
"fucking","abashment"
"gop","abashments"
"ha","abasia"
"hā","abasias"
"haapurororaa","abasic"
"hae","abasing"
"haehae","abasio"
"haepapa","abask"
"haere","abassi"
"haerenga","Abassieh"
"haihana","Abassin"
"Hainamana","abastard"
"hainatanga","abastardize"
"hakari","abastral"
"haki","abatable"
"Hakihea","abatage"
"hakinakina","Abate"
"hākinakina","abated"
"halloween","abatement"
"hama","abatements"
"hamama","abater"
