"Luxembourgish","English"
"a","aardvark"
"aacht","aardvarks"
"aachten","aardwolf"
"aah","aardwolves"
"Aarbecht","Aaren"
"Aarbechter","Aargau"
"Aarbechtsplaz","aargh"
"aarm","Aarhus"
"Aarmut","Aarika"
"Aart","Aaron"
"Aarten","Aaronic"
"Abrëll","Aaronical"
"Absence","Aaronite"
"Absicht","Aaronitic"
"absolut","Aaron's-beard"
"absorbéieren","Aaronsburg"
"abstrakt","Aaronson"
"Accident","AARP"
"Accord","aarrgh"
"Acquisitioun","aarrghh"
"Actrice","Aaru"
"ad","AAS"
"Adaptatioun","A'asia"
"adaptéieren","aasvogel"
"adäquate","aasvogels"
"Äddi","AAU"
"Administrateur","AAUP"
"administrativ","AAUW"
"adolescent","AAVSO"
"adoptéieren","AAX"
"Adoptioun","A-axes"
"Adress","A-axis"
"Aen","AB"
"Äerd","ab-"
"Äerdbiewen","ABA"
"afe","Ababa"
"aféieren","Ababdeh"
"Aféierung","Ababua"
"Affär","abac"
"Affekot","abaca"
"Affer","abacay"
"affiche","abacas"
"affichéieren","abacate"
"Afloss","abacaxi"
"aflossräich","abaci"
"afréieren","abacinate"
"afrikanesch","abacination"
"afrikanesch-amerikanesch","abacisci"
"Agence","abaciscus"
"Agenda","abacist"
"Agent","aback"
"aggressiv","abacli"
"ago","Abaco"
"agreabel","abacot"
"ah","abacterial"
"ähnlech","abactinal"
"Ähnlechkeet","abactinally"
"ajustéieren","abaction"
"akademesch","abactor"
"Akademie","abaculi"
"Akommes","abaculus"
"Aktioun","abacus"
"aktiv","abacuses"
"aktivéieren","Abad"
"aktivist","abada"
"Aktivitéit","Abadan"
"aktuell","Abaddon"
"Akzent","abadejo"
"akzeptabel","abadengo"
"Akzeptanz","abadia"
"akzeptéieren","Abadite"
"al","abaff"
"Alarm","abaft"
"Albtraum","Abagael"
"Album","Abagail"
"alkohol","Abagtha"
"all","abay"
"alleng","abayah"
"alles","Abailard"
"allgemeng","abaisance"
"Allianz","abaised"
"Alliéierten","abaiser"
"alljährlechen","abaisse"
"aloggen","abaissed"
"alpha","abaka"
"Alphabetiséierung","Abakan"
"Alter","abakas"
"alternativ","Abakumov"
"am","abalation"
"Ambassade","abalienate"
"Ambassadeur","abalienated"
"ambitiéis","abalienating"
"Ambitioun","abalienation"
"aménagéieren","abalone"
"amerikanesch","abalones"
"amëschen","Abama"
"amplaz","abamp"
"an","abampere"
"an/oder","abamperes"
"Analyse","abamps"
"analyséieren","Abana"
"Analyst","aband"
"Androck","abandon"
"Android","abandonable"
"aner","abandoned"
"anescht","abandonedly"
"angeblech","abandonee"
"Angscht","abandoner"
"ängschtlech","abandoners"
"ankeren","abandoning"
"änneren","abandonment"
"Ännerung","abandonments"
"Annonce","abandons"
"annoncéieren","abandum"
"annuléieren","abanet"
"anonym","abanga"
"anscheinend","Abanic"
"antike","abannition"
"äntweren","Abantes"
"Äntwert","abapical"
"anzeginn","abaptiston"
"anzesetzen","abaptistum"
"apel","Abarambo"
"app","Abarbarea"
"Apparat","Abaris"
"Appartement","abarthrosis"
"appelléieren","abarticular"
"Applikatioun","abarticulation"
"appreciéieren","Abas"
"Approche","abase"
"Är","abased"
"Ära","abasedly"
"arabesch","abasedness"
"Architekt","abasement"
"Architektur","abasements"
"archiv","abaser"
"ären","abasers"
"arena","abases"
"Argument","Abasgi"
"Ariichtung","abash"
"arm","abashed"
"Arméi","abashedly"
