"Hmong","English"
"aah","aardvark"
"abstract","aardvarks"
"acre","aardwolf"
"array","aardwolves"
"Askiv","Aaren"
"ass","Aargau"
"asshole","aargh"
"astronomer","Aarhus"
"auto","Aarika"
"av","Aaron"
"band","Aaronic"
"biology","Aaronical"
"blog","Aaronite"
"boil","Aaronitic"
"boom","Aaron's-beard"
"browser","Aaronsburg"
"bullshit","Aaronson"
"burger","AARP"
"butter","aarrgh"
"cab","aarrghh"
"cabin","Aaru"
"Cafe","AAS"
"caij","A'asia"
"cais","aasvogel"
"camp","aasvogels"
"canadian","AAU"
"cap","AAUP"
"carbohydrate","AAUW"
"carbon","AAVSO"
"cas","AAX"
"catholic","A-axes"
"caum","A-axis"
"cav","AB"
"caw","ab-"
"cawm","ABA"
"cawv","Ababa"
"cd","Ababdeh"
"ceev","Ababua"
"ceg","abac"
"cell","abaca"
"ceo","abacay"
"ces","abacas"
"cev","abacate"
"channel","abacaxi"
"chav","abaci"
"chaw","abacinate"
"cheb","abacination"
"cheese","abacisci"
"chemistry","abaciscus"
"chij","abacist"
"chim","aback"
"chocolate","abacli"
"chop","Abaco"
"Christmas","abacot"
"ci","abacterial"
"cia","abactinal"
"cib","abactinally"
"cim","abaction"
"civic","abactor"
"classic","abaculi"
"classical","abaculus"
"clip","abacus"
"club","abacuses"
"co","Abad"
"code","abada"
"cog","Abadan"
"coj","Abaddon"
"Colonel","abadejo"
"colonial","abadengo"
"commission","abadia"
"communist","Abadite"
"complex","abaff"
"compound","abaft"
"concentration","Abagael"
"Congress","Abagail"
"Congressional","Abagtha"
"Congressman","abay"
"cov","abayah"
"cowboy","Abailard"
"crap","abaisance"
"cream","abaised"
"credit","abaiser"
"cua","abaisse"
"cuab","abaissed"
"cuaj","abaka"
"cuav","Abakan"
"cue","abakas"
"dab","Abakumov"
"dag","abalation"
"dai","abalienate"
"daim","abalienated"
"dais","abalienating"
"daj","abalienation"
"damn","abalone"
"database","abalones"
"daus","Abama"
"dav","abamp"
"dawb","abampere"
"dawm","abamperes"
"daws","abamps"
"deal","Abana"
"debut","aband"
"degree","abandon"
"dej","abandonable"
"democrat","abandoned"
"dhau","abandonedly"
"dhia","abandonee"
"diav","abandoner"
"dig","abandoners"
"digital","abandoning"
"diplomatic","abandonment"
"disk","abandonments"
"do","abandons"
"doc","abandum"
"documentary","abanet"
"dos","abanga"
"dot","Abanic"
"dov","abannition"
"drift","Abantes"
"du","abapical"
"dua","abaptiston"
"duab","abaptistum"
"duas","Abarambo"
"dub","Abarbarea"
"Dutch","Abaris"
"dynamic","abarthrosis"
"dynamics","abarticular"
"ecosystem","abarticulation"
"editor","Abas"
"efficiency","abase"
"ego","abased"
"elegant","abasedly"
"email","abasedness"
"e-mail","abasement"
"Embassy","abasements"
"enact","abaser"
"engineer","abasers"
"engineering","abases"
"era","Abasgi"
"essence","abash"
"Europe","abashed"
"evolution","abashedly"
"evolve","abashedness"
"exhibition","abashes"
"Fabkis","abashing"
"faib","abashless"
"fantasy","abashlessly"
"faus","abashment"
"feature","abashments"
"feeb","abasia"
"feem","abasias"
"foob","abasic"
"footage","abasing"
"franchise","abasio"
"fuck","abask"
"fucking","abassi"
"galaxy","Abassieh"
"gallery","Abassin"
"gas","abastard"
"gay","abastardize"
"German","abastral"
"golf","abatable"
"gop","abatage"
"gosh","Abate"
"grams","abated"
"Greek","abatement"
"grey","abatements"
"guitar","abater"
"gulf","abaters"
"gym","abates"
"ha","abatic"
"hais","abating"
"Halloween","abatis"
"haum","abatised"
"haus","abatises"
"hauv","abatjour"
"hav","abatjours"
"heck","abaton"
"heev","abator"
"hem","abators"
"hero","ABATS"
"hip","abattage"
"hla","abattis"
"hlais","abattised"
"hlau","abattises"
"hlawv","abattoir"
"hli","abattoirs"
"hloov","abattu"
"hlua","abattue"
"hluas","Abatua"
"hlwb","abature"
"hma","abaue"
"hmn","abave"
"hmo","abaxial"
"hmoov","abaxile"
"hnab","abaze"
"hnav","abb"
"hneev","Abba"
"hnia","abbacy"
"hniav","abbacies"
"hnov","abbacomes"
"hnub","Abbadide"
"hnyav","Abbai"
"hockey","abbaye"
"hom","abbandono"
"Hoobkas","abbas"
"horn","abbasi"
"hos","Abbasid"
"hu","abbassi"
"huab","Abbassid"
"huh","Abbasside"
"hwm","Abbate"
"hws","abbatial"
"i","abbatical"
"iab","abbatie"
"iav","Abbe"
"ib","Abbey"
"icon","abbeys"
"impress","abbey's"
"impressive","abbeystead"
"Indian","abbeystede"
"induce","abbes"
"infrastructure","abbess"
"insis","abbesses"
"interface","abbest"
"internet","Abbevilean"
"invention","Abbeville"
"ipad","Abbevillian"
"iphone","Abbi"
"Iranian","Abby"
"iraqi","Abbie"
"irish","Abbye"
"Islam","Abbyville"
"Israeli","abboccato"
"Italian","abbogada"
"Japanese","Abbot"
"jazz","abbotcy"
"junior","abbotcies"
"kab","abbotnullius"
"kaj","abbotric"
"kaum","abbots"
"kaw","abbot's"
"kawg","Abbotsen"
"kawm","Abbotsford"
"keeb","abbotship"
"kem","abbotships"
"keyboard","Abbotson"
"khau","Abbotsun"
"khaus","Abbott"
"khawb","Abbottson"
"khawm","Abbottstown"
"khaws","Abboud"
"khi","abbozzo"
"khiav","ABBR"
"khib","abbrev"
"kho","abbreviatable"
"khob","abbreviate"
"khoob","abbreviated"
"khoom","abbreviately"
"khoov","abbreviates"
"khov","abbreviating"
"khub","abbreviation"
"khw","abbreviations"
"kiag","abbreviator"
"kim","abbreviatory"
"kit","abbreviators"
"kiv","abbreviature"
"kob","abbroachment"
"koj","ABC"
"koob","abcess"
"koom","abcissa"
"korean","abcoulomb"
"kos","ABCs"
"kov","abd"
"kua","abdal"
"kuaj","abdali"
"kub","abdaria"
"kuj","abdat"
"kuv","Abdel"
"lab","Abd-el-Kadir"
"laib","Abd-el-Krim"
"laser","Abdella"
"Latin","Abderhalden"
"laus","Abderian"
"lav","Abderite"
"lawj","Abderus"
"lawm","abdest"
"lawv","Abdias"
"lay","abdicable"
"lean","abdicant"
"lees","abdicate"
"lej","abdicated"
"lens","abdicates"
"liab","abdicating"
"liam","abdication"
"lig","abdications"
"lim","abdicative"
"lis","abdicator"
"log","Abdiel"
"logic","abditive"
"logical","abditory"
"loj","abdom"
"lom","abdomen"
"loyal","abdomens"
"luag","abdomen's"
"luam","abdomina"
"luav","abdominal"
"lus","Abdominales"
"luv","abdominalia"
"lwm","abdominalian"
"magazine","abdominally"
"mais","abdominals"
"maj","abdominoanterior"
"meej","abdominocardiac"
"menyuam","abdominocentesis"
"mess","abdominocystic"
"meter","abdominogenital"
"mexican","abdominohysterectomy"
"Minister","abdominohysterotomy"
"mis","abdominoposterior"
"missile","abdominoscope"
"miv","abdominoscopy"
"mloog","abdominothoracic"
"mm","abdominous"
"mm-hmo","abdomino-uterotomy"
"mmm","abdominovaginal"
"mob","abdominovesical"
"molecule","Abdon"
"monument","Abdu"
"moos","abduce"
"mos","abduced"
"Mount","abducens"
"mov","abducent"
"movie","abducentes"
"muab","abduces"
"muag","abducing"
"muaj","abduct"
"muas","abducted"
"mus","abducting"
"muslim","abduction"
"muv","abductions"
"nab","abduction's"
"nag","abductor"
"nas","abductores"
"ncaj","abductors"
"ncaws","abductor's"
"nce","abducts"
"ncej","Abdul"
"ncha","Abdul-Aziz"
"nchuav","Abdul-baha"
"ncig","Abdulla"
"nco","Abe"
"ncov","a-be"
"ncua","abeam"
"ncuav","abear"
"neeg","abearance"
"nees","Abebi"
"net","abecedaire"
"network","abecedary"
"niam","abecedaria"
"nias","abecedarian"
"nkag","abecedarians"
"nkauj","abecedaries"
"nkaus","abecedarium"
"nkees","abecedarius"
"nkhaus","abed"
"nkoj","abede"
"nod","abedge"
"noj","Abednego"
"noob","abegge"
"noog","Abey"
"npaj","abeyance"
"npe","abeyances"
"nphav","abeyancy"
"npias","abeyancies"
"npib","abeyant"
"npisov","abeigh"
"nplai","ABEL"
"nplaig","Abelard"
"nplawm","abele"
"nplej","abeles"
"nplhaib","Abelia"
"nplooj","Abelian"
"npo","Abelicea"
"npog","Abelite"
"npua","Abell"
"npuaj","Abelmoschus"
"npuas","abelmosk"
"nqa","abelmosks"
"nqaij","abelmusk"
"nqaim","Abelonian"
"nqaj","Abelson"
"nqe","abeltree"
"nqes","Abencerrages"
"nqi","abend"
"nqis","abends"
"nqos","Abenezra"
"nquag","abenteric"
"nqus","Abeokuta"
"nrawm","abepithymia"
"nres","ABEPP"
"nrhiav","Abercromby"
"nrig","Abercrombie"
"nrog","Aberdare"
"nroog","aberdavine"
"nrov","Aberdeen"
"nruab","Aberdeenshire"
"nruas","aberdevine"
"nruj","Aberdonian"
"ntab","aberduvine"
"ntaiv","Aberfan"
"ntaj","Aberglaube"
"ntau","Aberia"
"ntaub","Aberystwyth"
"ntaus","Abernant"
"ntawm","Abernathy"
"ntawv","abernethy"
"ntes","Abernon"
"ntev","aberr"
