"Amharic","English"
"ኃላፊነት","responsibility"
"ሃሎዊን","Halloween"
"ሐሙስ","Thursday"
"ሀምሌ","July"
"ሃምሳ","fifty"
"ሐምራዊ","purple"
"ሀሳብ","idea"
"ሐረግ","phrase"
"ሐር","silk"
"ሃርድዌር","hardware"
"ሐቀኛ","honest"
"ሀብታም","wealthy"
"ሀብት","wealth"
"ሐኪም","doctor"
"ሐውልት","statue"
"ሀዘን","sorrow"
"ሃያ","twenty"
"ሃይ","hi"
"ኃይለኛ","powerful"
"ኃይል","power"
"ሃይማኖታዊ","religious"
"ሃይማኖት","religion"
"ሀይቅ","lake"
"ሀገር","country"
"ኃጢአት","sin"
"ሁለተኛ","second"
"ሁለቱም","both"
"ሁለት","two"
"ሁለንተናዊ","universal"
"ሁሉም","everyone"
"ሁልጊዜ","always"
"ሁነታ","condition"
"ሁኔታ","situation"
"ሂሳብ","account"
"ሒሳብ","math"
"ሂስፓኒክ","Hispanic"
"ሂደት","process"
"ሂደቶች","processes"
"ሂድ","go"
"ሂፕ","hip"
"ሄሊኮፕተር","helicopter"
"ሄክ","heck"
"ሕሊና","conscience"
"ህልም","dream"
"ህመም","pain"
"ሕብረቁምፊ","string"
"ህብረተሰብ","society"
"ህብረት","union"
"ህትመት","publication"
"ህንዳዊ","Indian"
"ሕክምና","medicine"
"ሕዋስ","cell"
"ህዝብ","people"
"ሕዝብ","public"
"ሕይወት","life"
"ህዳር","November"
"ህዳግ","remainder"
"ሕገወጥ","illegal"
"ህጋዊ","legal"
"ህግ","law"
"ሕፃን","baby"
"ሆስፒታል","hospital"
"ሆርሞን","hormone"
"ሆቴል","hotel"
"ሆኪ","hockey"
"ሆድ","stomach"
"ለ","for"
"ለሊት","night"
"ለማንኛውም","anyway"
"ለምሳሌ","for example"
"ለስላሳ","soft"
"ለካ","indeed"
"ለውጥ","change"
"ለዘላለም","forever"
"ለገሱ","donate"
"ለጋስ","generous"
"ለጋሽ","donor"
"ሉህ","sheet"
"ሉል","sphere"
"ሉፕ","loop"
"ሊቀመንበር","chairman"
"ሊቅ","expert"
"ሊበራል","liberal"
"ሊግ","league"
"ሊጥ","dough"
"ሊፍት","lift"
"ላም","cow"
"ላብ","sweat"
"ላብራቶሪ","laboratory"
"ላቲን","Latin"
"ላይ","on"
"ላፕቶፕ","laptop"
"ሌላ","other"
"ሌባ","thief"
"ሌተናንት","lieutenant"
"ሌዘር","laser"
"ልሂቃን","elite"
"ልመና","request"
"ልማታዊ","developmental"
"ልማት","development"
"ልማድ","habit"
"ልምድ","experience"
"ልቀት","emission"
"ልቅ","loose"
"ልብ","heart"
"ልብስ","clothing"
"ልብሶች","clothes"
"ልብወለድ","fiction"
"ልቦለድ","novel"
"ልዑል","prince"
"ልዕልት","princess"
"ልኬት","scale"
"ልዩ","special"
"ልዩነት","difference"
"ልጅ","child"
"ልገሳ","donation"
"ልጣጭ","peel"
"ልጥፍ","post"
"ሎሚ","lemon"
"ሎቢ","lobby"
"መሃል","center"
"መሆን","be"
"መለመን","recruit"
"መለኪያ","measurement"
"መለኮታዊ","royal"
"መለወጥ","convert"
"መለዋወጥ","exchange"
"መለዋወጫ","accessory"
"መለየት","identify"
"መለያ","identification"
"መለያየት","separation"
"መላመድ","adapt"
"መላምት","hypothesis"
"መላክ","send"
"መልህቅ","anchor"
"መልስ","answer"
"መልቀቅ","release"
"መልአክ","angel"
"መልእክት","message"
"መልካምነት","goodness"
"መልክ","appearance"
"መመለስ","return"
"መመስረት","establish"
"መመስከር","testify"
"መመሪያ","guideline"
"መመርመር","investigate"
