"Sinhala","English"
"අංගනය","aardvark"
"අංගය","aardvarks"
"අංශය","aardwolf"
"අංශයේ","aardwolves"
"අංශුව","Aaren"
"අකමැත්තෙන්","Aargau"
"අකුණු","aargh"
"අක්කර","Aarhus"
"අක්මාව","Aarika"
"අක්රිය","Aaron"
"අඛණ්ඩ","Aaronic"
"අඛණ්ඩතාව","Aaronical"
"අඛණ්ඩව","Aaronite"
"අගය","Aaronitic"
"අගුල","Aaron's-beard"
"අගෝස්තු","Aaronsburg"
"අඟල්","Aaronson"
"අඟහරුවාදා","AARP"
"අට","aarrgh"
"අටවැනි","aarrghh"
"අඩංගු","Aaru"
"අඩක්","AAS"
"අඩවිය","A'asia"
"අඩිය","aasvogel"
"අඩු","aasvogels"
"අණුව","AAU"
"අඬනවා","AAUP"
"අත","AAUW"
"අතථ්ය","AAVSO"
"අතපය","AAX"
"අතර","A-axes"
"අතරමග","A-axis"
"අතලොස්සක්","AB"
"අතහරින්න","ab-"
"අතිමහත්","ABA"
"අතිරේක","Ababa"
"අතිවිශිෂ්ට","Ababdeh"
"අතිශයින්ම","Ababua"
"අතීතයේ","abac"
"අතුගාන්න","abaca"
"අතුරුදහන්","abacay"
"අතුරුපස","abacas"
"අතුරුමුහුණත","abacate"
"අතුල්ලන්න","abacaxi"
"අත්","abaci"
"අත්තිකාරම්","abacinate"
"අත්දැකීමක්","abacination"
"අත්යවශ්ය","abacisci"
"අත්යවශ්යයෙන්ම","abaciscus"
"අත්ල","abacist"
"අත්වැස්ම","aback"
"අත්සන","abacli"
"අත්හරින්න","Abaco"
"අත්හැරියා","abacot"
"අත්හිටුවන්න","abacterial"
"අද","abactinal"
"අදහස","abactinally"
"අදහස්","abaction"
"අදාළ","abactor"
"අදින්න","abaculi"
"අදියර","abaculus"
"අද්භූත","abacus"
"අද්විතීය","abacuses"
"අධික","Abad"
"අධිකරණ","abada"
"අධිකරණය","Abadan"
"අධිකාරිය","Abaddon"
"අධිපති","abadejo"
"අධිරාජ්යය","abadengo"
"අධිරාජ්යයා","abadia"
"අධිෂ්ඨානය","Abadite"
"අධීක්ෂක","abaff"
"අධීක්ෂණය","abaft"
"අධ්යක්ෂ","Abagael"
"අධ්යයනය","Abagail"
"අධ්යාපන","Abagtha"
"අධ්යාපනඥයා","abay"
"අධ්යාපනික","abayah"
"අනතුර","Abailard"
"අනතුරක්","abaisance"
"අනන්යතාව","abaised"
"අනපේක්ෂිත","abaiser"
"අනාගතය","abaisse"
"අනාගතවක්තෘ","abaissed"
"අනාවැකි","abaka"
"අනාවැකිය","Abakan"
"අනික්","abakas"
"අනියම්","Abakumov"
"අනුකම්පාව","abalation"
"අනුකලනය","abalienate"
"අනුකූල","abalienated"
"අනුගාමිකයා","abalienating"
"අනුග්රහය","abalienation"
"අනුග්රහයෙනි","abalone"
"අනුග්රාහකයා","abalones"
"අනුපාතය","Abama"
"අනුපිළිවෙල","abamp"
"අනුබද්ධ","abampere"
"අනුබද්ධය","abamperes"
"අනුමතිය","abamps"
"අනුමාන","Abana"
"අනුව","aband"
"අනුවර්තනය","abandon"
"අන්ත","abandonable"
"අන්තර්ක්රියා","abandoned"
"අන්තර්ගතය","abandonedly"
"අන්තර්ජාතික","abandonee"
"අන්තර්ජාල","abandoner"
"අන්යෝන්ය","abandoners"
"අඳිනවා","abandoning"
"අඳුරු","abandonment"
"අප","abandonments"
"අපගේ","abandons"
"අපට","abandum"
"අපනයන","abanet"
"අපයෙදුම්","abanga"
"අපරාධ","Abanic"
"අපරාධය","abannition"
"අපහසුයි","Abantes"
"අපිම","abapical"
"අපිරිසිදු","abaptiston"
"අපූරුයි","abaptistum"
"අපේ","Abarambo"
"අපේක්ෂකයා","Abarbarea"
"අපේක්ෂාව","Abaris"
"අපොයි","abarthrosis"
"අප්රිකානු","abarticular"
"අප්රේල්","abarticulation"
"අභයෝගාත්මක","Abas"
"අභිනය","abase"
"අභිප්රේරණය","abased"
"අභිමානය","abasedly"
"අභියාචනය","abasedness"
"අභියෝගය","abasement"
"අභිරහස","abasements"
"අභිලාෂකාමී","abaser"
"අභිලාෂය","abasers"
"අභ්යන්තර","abases"
"අභ්යන්තරය","Abasgi"
"අමතන්න","abash"
"අමතන්නා","abashed"
"අමතර","abashedly"
"අමතරව","abashedness"
"අමාත්යාංශ","abashes"
"අමාරුයි","abashing"
"අමාරුවෙන්","abashless"
"අමු","abashlessly"
"අමුණන්න","abashment"
"අමුතු","abashments"
"අමුතුයි","abasia"
"අමුත්තන්ගේ","abasias"
"අමුද්රව්යය","abasic"
"අම්මා","abasing"
"අම්මෝ","abasio"
"අම්ලය","abask"
"අයකිරීම","abassi"
"අයදිනවා","Abassieh"
"අයදුම්පත","Abassin"
"අයවැය","abastard"
"අයැදීම","abastardize"
"අයිතමය","abastral"
"අයිතිය","abatable"
"අයිරිෂ්","abatage"
"අයිස්","Abate"
"අරගලය","abated"
"අරමුණ","abatement"
"අරමුදල","abatements"
"අරමුදල්","abater"
"අරඹන්න","abaters"
"අරාබි","abates"
"අරාව","abatic"
"අර්ථය","abating"
"අර්ථවත්","abatis"
"අර්ධ","abatised"
"අර්බුදය","abatises"
"අල","abatjour"
"අලංකාර","abatjours"
"අලංකාරය","abaton"
"අලාභය","abator"
"අලියා","abators"
"අලුතින්","ABATS"
"අලුයම","abattage"
"අලෙවි","abattis"
"අලෙවිසැල","abattised"
"අල්මාරිය","abattises"
"අල්ලා","abattoir"
"අවංක","abattoirs"
"අවංකව","abattu"
"අවංකවම","abattue"
"අවකාශය","Abatua"
"අවජාතකයා","abature"
"අවට","abaue"
"අවතාරය","abave"
"අවදානම්","abaxial"
"අවදියෙන්","abaxile"
"අවධානය","abaze"
"අවධාරණය","abb"
"අවන්හල","Abba"
"අවපාතය","abbacy"
"අවබෝධය","abbacies"
"අවම","abbacomes"
"අවමංගල්යය","Abbadide"
"අවයවය","Abbai"
"අවශ්ය","abbaye"
"අවශ්යතාවය","abbandono"
"අවශ්යයි","abbas"
"අවශ්යයෙන්ම","abbasi"
"අවසන්","Abbasid"
"අවසර","abbassi"
"අවසරය","Abbassid"
"අවසරලත්","Abbasside"
"අවසාන","Abbate"
"අවසානය","abbatial"
"අවසානයේ","abbatical"
"අවස්ථාවක්","abbatie"
"අවස්ථාවට","Abbe"
"අවාසනාවන්තයි","Abbey"
"අවාසි","abbeys"
"අවිනිශ්චිතතාවය","abbey's"
"අවුන්සයක්","abbeystead"
"අවුලුවාලීම","abbeystede"
"අවුල්","abbes"
"අව්යාජ","abbess"
"අව්ව","abbesses"
"අශ්වයා","abbest"
"අසනීප","Abbevilean"
"අසනීපය","Abbeville"
"අසන්න","Abbevillian"
"අසරුවා","Abbi"
"අසල","Abby"
"අසල්වැසියා","Abbie"
"අසාධාරණයි","Abbye"
"අසාමාන්ය","Abbyville"
"අසාර්ථකයි","abboccato"
"අස්ථි","abbogada"
"අහන්න","Abbot"
"අහඹු","abbotcy"
"අහස","abbotcies"
"අහිංසක","abbotnullius"
"අහ්","abbotric"
"අහ්-හහ්","abbots"
"අළු","abbot's"
"අළුත්","Abbotsen"
"ආකර්ෂණය","Abbotsford"
"ආකර්ෂණීය","abbotship"
"ආකල්පය","abbotships"
"ආකාරය","Abbotson"
"ආකාරයෙන්","Abbotsun"
"ආකෘතිය","Abbott"
"ආක්රමණය","Abbottson"
"ආක්රමණශීලී","Abbottstown"
"ආඛ්‍යානය","Abboud"
"ආගන්තුක","abbozzo"
"ආගන්තුකයා","ABBR"
"ආගම","abbrev"
"ආගමන","abbreviatable"
"ආගමික","abbreviate"
"ආඝාතය","abbreviated"
"ආච්චි","abbreviately"
"ආඩම්බරයි","abbreviates"
"ආණ්ඩුකාර","abbreviating"
"ආතතිය","abbreviation"
"ආත්මය","abbreviations"
"ආත්මික","abbreviator"
"ආදර","abbreviatory"
"ආදරණීය","abbreviators"
"ආදරය","abbreviature"
"ආදානය","abbroachment"
"ආදායම","ABC"
"ආදායම්","abcess"
"ආදිය","abcissa"
"ආධාර","abcoulomb"
"ආධාරක","ABCs"
"ආධාරකරු","abd"
"ආනයන","abdal"
"ආන්තිකය","abdali"
"ආපසු","abdaria"
"ආබාධය","abdat"
"ආබාධිත","Abdel"
"ආබාධිතයි","Abd-el-Kadir"
"ආභරණ","Abd-el-Krim"
"ආයතනය","Abdella"
"ආයතනික","Abderhalden"
"ආයුබෝවන්","Abderian"
"ආයෝජකයා","Abderite"
"ආයෝජනය","Abderus"
"ආරක","abdest"
"ආරක්ෂක","Abdias"
"ආරක්ෂකයා","abdicable"
"ආරක්ෂාව","abdicant"
"ආරක්ෂිත","abdicate"
"ආරක්ෂිතයි","abdicated"
"ආරක්ෂිතව","abdicates"
"ආරම්භක","abdicating"
"ආරම්භය","abdication"
"ආරවුලක්","abdications"
"ආරාධනය","abdicative"
"ආර්ථිකය","abdicator"
"ආර්ථීක","Abdiel"
"ආලින්දය","abditive"
"ආලෝකය","abditory"
"ආවරණය","abdom"
"ආශාව","abdomen"
"ආශාවෙන්","abdomens"
"ආශ්චර්යය","abdomen's"
