"Malayalam","English"
"അംഗം","aardvark"
"അംഗത്വം","aardvarks"
"അംഗീകരിക്കുക","aardwolf"
"അംഗീകാരം","aardwolves"
"അംശം","Aaren"
"അകത്തെ","Aargau"
"അകത്ത്","aargh"
"അകലെ","Aarhus"
"അക്കൗണ്ട്","Aarika"
"അക്കാദമി","Aaron"
"അക്കാദമിക്","Aaronic"
"അക്കൌണ്ടിംഗ്","Aaronical"
"അക്രമം","Aaronite"
"അക്രമാസക്തമായ","Aaronitic"
"അക്ഷരപ്പിശക്","Aaron's-beard"
"അക്ഷരാർത്ഥത്തിൽ","Aaronsburg"
"അഗാധമായ","Aaronson"
"അങ്ങനെ","AARP"
"അങ്ങേയറ്റം","aarrgh"
"അച്ചടക്കം","aarrghh"
"അച്ചടിക്കുക","Aaru"
"അച്ഛൻ","AAS"
"അജണ്ട","A'asia"
"അജ്ഞാതം","aasvogel"
"അജ്ഞാതൻ","aasvogels"
"അഞ്ചാമത്തേത്","AAU"
"അഞ്ച്","AAUP"
"അടങ്ങിയിട്ടുണ്ട്","AAUW"
"അടച്ചു","AAVSO"
"അടയാളം","AAX"
"അടിക്കുക","A-axes"
"അടിക്കുന്നു","A-axis"
"അടിച്ചു","AB"
"അടിച്ചുകയറ്റുക","ab-"
"അടിത്തറതോണ്ടുക","ABA"
"അടിമ","Ababa"
"അടിമത്തം","Ababdeh"
"അടിയന്തരാവസ്ഥ","Ababua"
"അടിസ്ഥാന","abac"
"അടിസ്ഥാനം","abaca"
"അടിസ്ഥാനപരമായ","abacay"
"അടിസ്ഥാനപരമായി","abacas"
"അടുക്കള","abacate"
"അടുക്കുക","abacaxi"
"അടുത്തത്","abaci"
"അടുത്തിടെ","abacinate"
"അടുത്ത്","abacination"
"അടുപ്പമുള്ള","abacisci"
"അടുപ്പിൽ","abaciscus"
"അണുബാധ","abacist"
"അതിഗംഭീരമായ","aback"
"അതിജീവനം","abacli"
"അതിജീവിക്കുക","Abaco"
"അതിജീവിച്ചവൻ","abacot"
"അതിഥി","abacterial"
"അതിനാൽ","abactinal"
"അതിനിടയിൽ","abactinally"
"അതിന്റെ","abaction"
"അതിമനോഹരമായ","abactor"
"അതിമോഹമുള്ള","abaculi"
"അതിർത്തി","abaculus"
"അതിലുപരി","abacus"
"അതിലോലമായ","abacuses"
"അതിവേഗം","Abad"
"അതിശക്തമായ","abada"
"അതിശയകരമാംവിധം","Abadan"
"അതിശയകരമായ","Abaddon"
"അതിശയിപ്പിക്കുന്ന","abadejo"
