"Javanese","English"
"a","aardvark"
"aah","aardvarks"
"abad","aardwolf"
"abang","aardwolves"
"abdi","Aaren"
"aborsi","Aargau"
"abot","aargh"
"absen","Aarhus"
"abstrak","Aarika"
"acak","Aaron"
"acara","Aaronic"
"ad","Aaronical"
"adaptasi","Aaronite"
"adat","Aaronitic"
"adi","Aaron's-beard"
"adil","Aaronsburg"
"administrasi","Aaronson"
"administratif","AARP"
"adoh","aarrgh"
"adonan","aarrghh"
"adopsi","Aaru"
"adus","AAS"
"advokat","A'asia"
"afiliasi","aasvogel"
"afrika","aasvogels"
"Afrika-Amerika","AAU"
"agama","AAUP"
"agawe","AAUW"
"agen","AAVSO"
"agenda","AAX"
"ageng","A-axes"
"agensi","A-axis"
"agresif","AB"
"agung","ab-"
"agustus","ABA"
"ah","Ababa"
"ahli","Ababdeh"
"ajeg","Ababua"
"ajiné","abac"
"ajur","abaca"
"akademi","abacay"
"akademisi","abacas"
"akeh","abacate"
"akibate","abacaxi"
"akrab","abaci"
"akses","abacinate"
"aktif","abacination"
"aktivis","abacisci"
"aktor","abaciscus"
"aktris","abacist"
"akun","aback"
"akuntansi","abacli"
"akurasi","Abaco"
"akurat","abacot"
"ala","abacterial"
"alam","abactinal"
"alamat","abactinally"
"alamiah","abaction"
"alangan","abactor"
"alas","abaculi"
"album","abaculus"
"alesan","abacus"
"alfa","abacuses"
"aliansi","Abad"
"alis","abada"
"alkohol","Abadan"
"alon-alon","Abaddon"
"alternatif","abadejo"
"alus","abadengo"
"am","abadia"
"amal","Abadite"
"aman","abaff"
"amanat","abaft"
"amandemen","Abagael"
"amarga","Abagail"
"amba","Abagtha"
"ambane","abay"
"ambegan","abayah"
"ambisi","Abailard"
"ambruk","abaisance"
"amerika","abaised"
"amplop","abaiser"
"ana","abaisse"
"analis","abaissed"
"analisis","abaka"
"ancaman","Abakan"
"andhuk","abakas"
"android","Abakumov"
"aneh","abalation"
"aneh","abalienate"
"angel","abalienated"
"anget","abalienating"
"anggaran","abalienation"
"angger-angger","abalone"
"anggota","abalones"
"anggur","Abama"
"angin","abamp"
"angkara","abampere"
"angkasa","abamperes"
"anjog","abamps"
"anonim","Abana"
"antarane","aband"
"antarmuka","abandon"
"antisipasi","abandonable"
"anyar","abandoned"
"anyaran","abandonedly"
"apa","abandonee"
"apartemen","abandoner"
"apel","abandoners"
"apes","abandoning"
"apik","abandonment"
"apikan","abandonments"
"aplikasi","abandons"
"app","abandum"
"apresiasi","abanet"
"april","abanga"
"arab","Abanic"
"arah","abannition"
"arang","Abantes"
"arena","abapical"
"argumentasi","abaptiston"
"armada","abaptistum"
"arsip","Abarambo"
"arsitek","Abarbarea"
"arsitektur","Abaris"
"artikel","abarthrosis"
"artis","abarticular"
"artistik","abarticulation"
"asale","Abas"
"asam","abase"
"aset","abased"
"asian","abasedly"
"aside","abasedness"
"asil","abasement"
"asisten","abasements"
"asline","abaser"
"asmara","abasers"
"asor","abases"
"asosiasi","Abasgi"
"aspek","abash"
"asring","abashed"
"asu","abashedly"
"asuh","abashedness"
"asumsi","abashes"
"asuransi","abashing"
"ati","abashless"
"atletik","abashlessly"
"atlit","abashment"
"atraksi","abashments"
"atraktif","abasia"
"atribut","abasias"
"aturan","abasic"
"awak","abasing"
"awal","abasio"
"awan","abask"
"awis","abassi"
"awu","Abassieh"
"ayat","Abassin"
"ayo","abastard"
"ayu","abastardize"
"ayunan","abastral"
"bab","abatable"
"babad","abatage"
"babagan","Abate"
"babak","abated"
"babeh","abatement"
"babi","abatements"
"badhe","abater"
"bagean","abaters"
"bahan","abates"
"bajingan","abatic"
"bakal","abating"
"bakat","abatis"
"bakteri","abatised"
"bakul","abatises"
"bal","abatjour"
