"Macedonian","English"
"абе","aardvark"
"абортус","aardvarks"
"авантура","aardwolf"
"август","aardwolves"
"авенија","Aaren"
"авиокомпанија","Aargau"
"авион","aargh"
"авиони","Aarhus"
"автобус","Aarika"
"автоматски","Aaron"
"автоматско","Aaronic"
"автомобил","Aaronical"
"автопат","Aaronite"
"автор","Aaronitic"
"авторитет","Aaron's-beard"
"автохтони","Aaronsburg"
"агендата","Aaronson"
"агент","AARP"
"агенција","aarrgh"
"агол","aarrghh"
"агресивен","Aaru"
"адаптација","AAS"
"адвокат","A'asia"
"адекватен","aasvogel"
"административно","aasvogels"
"администратор","AAU"
"администрација","AAUP"
"администрираат","AAUW"
"адолесцент","AAVSO"
"адреса","AAX"
"аеродром","A-axes"
"ажурирање","A-axis"
"азиски","AB"
"ајкула","ab-"
"академија","ABA"
"академски","Ababa"
"ако","Ababdeh"
"акри","Ababua"
"актер","abac"
"актерка","abaca"
"активист","abacay"
"активни","abacas"
"активно","abacate"
"активност","abacaxi"
"акцент","abaci"
"акции","abacinate"
"акција","abacination"
"аларм","abacisci"
"алатка","abaciscus"
"албум","abacist"
"Алијанса","aback"
"алишта","abacli"
"алкохол","Abaco"
"алтернатива","abacot"
"алфа","abacterial"
"амандман","abactinal"
"амбасада","abactinally"
"амбасадор","abaction"
"амбиција","abactor"
"амбициозен","abaculi"
"американски","abaculus"
"анализа","abacus"
"анализирајте","abacuses"
"аналитичар","Abad"
"ангажираат","abada"
"ангажман","Abadan"
"ангел","Abaddon"
"Англиски","abadejo"
"андроид","abadengo"
"анкета","abadia"
"анксиозност","Abadite"
"анонимни","abaff"
"антички","abaft"
"апартман","Abagael"
"апликација","Abagail"
"април","Abagtha"
"апсење","abay"
"апсолутна","abayah"
"апсолутно","Abailard"
"апсорбираат","abaisance"
"апстрактно","abaised"
"аранжман","abaiser"
"арапски","abaisse"
"аргумент","abaissed"
"арена","abaka"
"армија","Abakan"
"архива","abakas"
"архитект","Abakumov"
"архитектура","abalation"
"асистент","abalienate"
"асоцијација","abalienated"
"аспект","abalienating"
"астроном","abalienation"
"атлетичар","abalone"
"атлетски","abalones"
"атмосфера","Abama"
"атракција","abamp"
"атрибут","abampere"
"афера","abamperes"
"африкански","abamps"
"Афроамериканец","Abana"
"ах","aband"
"баба","abandon"
"бавно","abandonable"
"багажникот","abandoned"
"база","abandonedly"
"базен","abandonee"
"бакнеж","abandoner"
"бактерија","abandoners"
"бакшиш","abandoning"
"балон","abandonment"
"банана","abandonments"
"банда","abandons"
"банка","abandum"
"банкар","abanet"
"банкарски","abanga"
"бања","Abanic"
"бар","abannition"
"бараат","Abantes"
"барање","abapical"
"бариера","abaptiston"
"батерија","abaptistum"
"бебе","Abarambo"
"бегај","Abarbarea"
"бегалец","Abaris"
"бегство","abarthrosis"
"без","abarticular"
"безбеден","abarticulation"
"безбедно","Abas"
"безбедност","abase"
"безбедноста","abased"
"безбол","abasedly"
"безброј","abasedness"
"бездомник","abasement"
"безобразен","abasements"
"бело","abaser"
"бенд","abasers"
"бензин","abases"
"бес","Abasgi"
"бескорисни","abash"
"бескрајна","abashed"
"бесплатно","abashedly"
"бетон","abashedness"
"би","abashes"
"бибер","abashing"
"библија","abashless"
"библиотека","abashlessly"
"бидејќи","abashment"
"биди","abashments"
"бизарен","abasia"
"бизнис","abasias"
"бизнисмен","abasic"
"бик","abasing"
"билет","abasio"
"билка","abask"
"биологија","abassi"
"биолошки","Abassieh"
"биро","Abassin"
"битие","abastard"
"битка","abastardize"
"благ","abastral"
"благодарам","abatable"
"благодарен","abatage"
"благодарност","Abate"
"благослов","abated"
"благослови","abatement"
"благосостојба","abatements"
"Блед","abater"
"близнак","abaters"
"близу","abates"
"блиц","abatic"
"блог","abating"
"блок","abatis"
"бог","abatised"
"богат","abatises"
"богатство","abatjour"
"боже","abatjours"
"божествена","abaton"
"Божиќ","abator"
"боја","abators"
"болен","ABATS"
"болест","abattage"
"болка","abattis"
"болница","abattised"
"болно","abattises"
"бомба","abattoir"
"бомбардирање","abattoirs"
"бонбони","abattu"
"бонус","abattue"
"бор","Abatua"
"борба","abature"
"борец","abaue"
"бр","abave"
"брадата","abaxial"
"брак","abaxile"
"бран","abaze"
"брани","abb"
"бранител","Abba"
"брат","abbacy"
"братучед","abbacies"
"брашно","abbacomes"
"брег","Abbadide"
"брегот","Abbai"
"бремена","abbaye"
"бременост","abbandono"
"бренд","abbas"
"брза","abbasi"
"брзање","Abbasid"
"брзина","abbassi"
"брзо","Abbassid"
"брилијантен","Abbasside"
"британски","Abbate"
"бркаат","abbatial"
"брод","abbatical"
"брои","abbatie"
"број","Abbe"
"бројач","Abbey"
"бројни","abbeys"
"брутален","abbey's"
"бруто","abbeystead"
"бруцош","abbeystede"
"бубачка","abbes"
"будала","abbess"
"буден","abbesses"
"буквално","abbest"
"бум","Abbevilean"
"бунт","Abbeville"
"бунтовник","Abbevillian"
"бура","Abbi"
"буре","Abby"
"бутам","Abbie"
"бутот","Abbye"
"бучава","Abbyville"
"буџет","abboccato"
"вагон","abbogada"
"важно","Abbot"
"важност","abbotcy"
"вакцина","abbotcies"
"валиден","abbotnullius"
"валидност","abbotric"
"валкани","abbots"
"валута","abbot's"
"вампир","Abbotsen"
"варијација","Abbotsford"
"вашиот","abbotship"
"вдишување","abbotships"
"веб","Abbotson"
"веб-страница","Abbotsun"
"веѓа","Abbott"
"веднаш","Abbottson"
"вежба","Abbottstown"
"вежбање","Abboud"
"век","abbozzo"
"веќе","ABBR"
"велосипед","abbrev"
"вентилатор","abbreviatable"
"вера","abbreviate"
"вербална","abbreviated"
"верен","abbreviately"
"верзија","abbreviates"
"верник","abbreviating"
"веројатно","abbreviation"
"веројатност","abbreviations"
"веројатноста","abbreviator"
"верски","abbreviatory"
"верувајте","abbreviators"
"верување","abbreviature"
"весник","abbroachment"
"Вести","ABC"
"ветер","abcess"
"ветеран","abcissa"
"ветре","abcoulomb"
"ветување","ABCs"
"ветувачки","abd"
"вечен","abdal"
"вечер","abdali"
"вечера","abdaria"
"вечерва","abdat"
"вештачки","Abdel"
"вештерка","Abd-el-Kadir"
"вештина","Abd-el-Krim"
"Видео","Abdella"
"види","Abderhalden"
"видливи","Abderian"
"видови","Abderite"
"видот","Abderus"
"визија","abdest"
"визуелен","Abdias"
"викај","abdicable"
"викенд","abdicant"
"вилицата","abdicate"
"вилушка","abdicated"
"вина","abdicates"
"Вина","abdicating"
"вино","abdication"
"виновен","abdications"
"виолетова","abdicative"
"виртуелен","abdicator"
"виртуелно","Abdiel"
"вирус","abditive"
"висат","abditory"
"висина","abdom"
"висок","abdomen"
"високо","abdomens"
"вистина","abdomen's"
"Вистина","abdomina"
"вистински","abdominal"
"витално","Abdominales"
"витамин","abdominalia"
"вклучени","abdominalian"
"вклучи","abdominally"
"вклучуваат","abdominals"
"вклучувајќи","abdominoanterior"
"вклучување","abdominocardiac"
"вкупно","abdominocentesis"
"вкус","abdominocystic"
"вкусно","abdominogenital"
"влада","abdominohysterectomy"
"владеење","abdominohysterotomy"
"влажни","abdominoposterior"
"влакна","abdominoscope"
"влез","abdominoscopy"
"влијае","abdominothoracic"
"влијание","abdominous"
"влијателен","abdomino-uterotomy"
"влог","abdominovaginal"
"вметнете","abdominovesical"
"внатре","Abdon"
"внатрешен","Abdu"
"внесете","abduce"
"внесување","abduced"
"внимание","abducens"
"внимателен","abducent"
"внимателно","abducentes"
"во","abduces"
"вовед","abducing"
"воведе","abduct"
"вода","abducted"
"водач","abducting"
"водечки","abduction"
"водич","abductions"
"воз","abduction's"
"возачот","abductor"
"возбуда","abductores"
"возбуден","abductors"
"возбуди","abductor's"
"возбудлив","abducts"
"воздишка","Abdul"
"воздухот","Abdul-Aziz"
"возење","Abdul-baha"
"возилото","Abdulla"
"вознемирен","Abe"
"вознемирување","a-be"
"вознемирувачки","abeam"
"возрасен","abear"
"возраста","abearance"
"воин","Abebi"
"војна","abecedaire"
"војник","abecedary"
"војска","abecedaria"
"војската","abecedarian"
"вокабулар","abecedarians"
"вокални","abecedaries"
"волк","abecedarium"
"волни","abecedarius"
"волонтер","abed"
"волумен","abede"
"вонземјанин","abedge"
"вообичаено","Abednego"
"вооружени","abegge"
"воочен","Abey"
"воочуваат","abeyance"
"воспитувач","abeyances"
"воспостави","abeyancy"
"впечаток","abeyancies"
"вработен","abeyant"
"вработи","abeigh"
"вработуваат","ABEL"
"вработување","Abelard"
"враќање","abele"
"врата","abeles"
"врати","Abelia"
"вратоврска","Abelian"
"вратот","Abelicea"
"врв","Abelite"
"вреди","Abell"
"вредни","Abelmoschus"
"вредност","abelmosk"
"вреќа","abelmosks"
"време","abelmusk"
"времето","Abelonian"
"врескаат","Abelson"
"врз","abeltree"
"врзуваат","Abencerrages"
"врска","abend"
"врсник","abends"
"врти","Abenezra"
"врховен","abenteric"
"всушност","Abeokuta"
"вторник","abepithymia"
"второ","ABEPP"
"второто","Abercromby"
"вујко","Abercrombie"
"вчера","Aberdare"
"ѓаволот","aberdavine"
"гаден","Aberdeen"
"газ","Aberdeenshire"
"газда","aberdevine"
"галаксија","Aberdonian"
"галерија","aberduvine"
"галон","Aberfan"
"Гаража","Aberglaube"
"гаранција","Aberia"
"гас","Aberystwyth"
"гасоводот","Abernant"
"геј","Abernathy"
"ген","abernethy"
"генерален","Abernon"
"генерално","aberr"
"генерација","aberrance"
"генерира","aberrancy"
"генетски","aberrancies"
"генијалец","aberrant"
"германски","aberrantly"
"гест","aberrants"
"гитара","aberrate"
"главата","aberrated"
"главен","aberrating"
"главно","aberration"
"главоболка","aberrational"
"глад","aberrations"
"гладен","aberrative"
"глас","aberrator"
"гласаат","aberrometer"
"гласање","aberroscope"
"гласач","Abert"
"гласина","aberuncate"
"гласно","aberuncator"
"гледач","abesse"
"глина","abessive"
"глобално","abet"
"глобус","abetment"
"глувчето","abetments"
"глуждот","abets"
"глупав","abettal"
"глупаво","abettals"
"глупости","abetted"
"гнездо","abetter"
"говеда","abetters"
"говор","abetting"
"година","abettor"
"годишен","abettors"
"годишнина","Abeu"
"годишно","abevacuation"
"големи","abfarad"
"големина","abfarads"
"големо","ABFM"
"голи","Abgatha"
"голф","ABHC"
"ѓон","abhenry"
"гонење","abhenries"
"гоп","abhenrys"
"горд","abhinaya"
"гордост","abhiseka"
"горе","abhominable"
"горење","abhor"
"гориво","abhorred"
"горниот","abhorrence"
"горчлив","abhorrences"
"госпел","abhorrency"
"Госпоѓица","abhorrent"
"госпоѓо","abhorrently"
"господ","abhorrer"
"господар","abhorrers"
"господин","abhorrible"
"господине","abhorring"
"гостин","abhors"
"готвач","Abhorson"
"готвење","ABI"
"готви","aby"
"готовина","Abia"
"грав","Abiathar"
"гравитација","Abib"
"граѓанин","abichite"
"граѓански","abidal"
"град","abidance"
"градба","abidances"
"гради","abidden"
"градина","abide"
"градите","abided"
"градоначалник","abider"
"градот","abiders"
"грам","abides"
"грандиозно","abidi"
"граница","abiding"
"гранка","abidingly"
"грант","abidingness"
"графикон","Abidjan"
"графички","Abydos"
"грд","Abie"
"гребенот","abye"
"гребење","abied"
"грев","abyed"
"грешка","abiegh"
"грижа","abience"
"грлото","abient"
"грмушка","Abies"
"гроб","abyes"
"Грозд","abietate"
"грст","abietene"
"грубо","abietic"
"група","abietin"
"грчки","Abietineae"
"губитник","abietineous"
"ѓубре","abietinic"
"гувернер","abietite"
"гума","Abiezer"
"густина","Abigael"
"да","Abigail"
"даб","abigails"
"даде","abigailship"
"дадена","Abigale"
"далеку","abigeat"
"далечна","abigei"
"дали","abigeus"
"дама","Abihu"
"данок","abying"
"дарежлив","Abijah"
