"Japanese","English"
"の","aardvark"
"に","aardvarks"
"は","aardwolf"
"て","aardwolves"
"を","Aaren"
"が","Aargau"
"で","aargh"
"た","Aarhus"
"と","Aarika"
"し","Aaron"
"も","Aaronic"
"な","Aaronical"
"ない","Aaronite"
"ます","Aaronitic"
"こと","Aaron's-beard"
"か","Aaronsburg"
"です","Aaronson"
"いる","AARP"
"する","aarrgh"
"から","aarrghh"
"だ","Aaru"
"ある","AAS"
"い","A'asia"
"れ","aasvogel"
"さ","aasvogels"
"ん","AAU"
"よう","AAUP"
"まし","AAUW"
"う","AAVSO"
"人","AAX"
"この","A-axes"
"という","A-axis"
"その","AB"
"的","ab-"
"年","ABA"
"いう","Ababa"
"日","Ababdeh"
"私","Ababua"
"あり","abac"
"もの","abaca"
"ば","abacay"
"や","abacas"
"なっ","abacate"
"それ","abacaxi"
"者","abaci"
"これ","abacinate"
"なる","abacination"
"月","abacisci"
"として","abaciscus"
"さん","abacist"
"ね","aback"
"まで","abacli"
"など","Abaco"
"ませ","abacot"
"中","abacterial"
"お","abactinal"
"なく","abactinally"
"れる","abaction"
"へ","abactor"
"ため","abaculi"
"そう","abaculus"
"たい","abacus"
"日本","abacuses"
"だけ","Abad"
"一","abada"
"あっ","Abadan"
"ので","Abaddon"
"よ","abadejo"
"き","abadengo"
"何","abadia"
"思い","Abadite"
"なら","abaff"
"だっ","abaft"
"自分","Abagael"
"について","Abagail"
"方","Abagtha"
"時","abay"
"なり","abayah"
"問題","Abailard"
"でき","abaisance"
"いい","abaised"
"たら","abaiser"
"また","abaisse"
"られ","abaissed"
"より","abaka"
"見","Abakan"
"今","abakas"
"でも","Abakumov"
"だろ","abalation"
"考え","abalienate"
"わけ","abalienated"
"おり","abalienating"
"でしょ","abalienation"
"ござい","abalone"
"たち","abalones"
"ところ","Abama"
"できる","abamp"
"なかっ","abampere"
"思う","abamperes"
"って","abamps"
"前","Abana"
"せ","aband"
"第","abandon"
"たり","abandonable"
"ず","abandoned"
"性","abandonedly"
"思っ","abandonee"
"そして","abandoner"
"けど","abandoners"
"どう","abandoning"
"時間","abandonment"
"会","abandonments"
"円","abandons"
"二","abandum"
"場合","abanet"
"必要","abanga"
"でし","Abanic"
"情報","abannition"
"しかし","Abantes"
"み","abapical"
"とき","abaptiston"
"コメント","abaptistum"
"化","Abarambo"
"上","Abarbarea"
"事","Abaris"
"出","abarthrosis"
"ご","abarticular"
"話","abarticulation"
"ながら","Abas"
"本","abase"
"す","abased"
"じゃ","abasedly"
"ここ","abasedness"
"分","abasement"
"十","abasements"
"目","abaser"
"感じ","abasers"
"いく","abases"
"てる","Abasgi"
"言っ","abash"
"今日","abashed"
"いっ","abashedly"
"関係","abashedness"
"ー","abashes"
"委員","abashing"
"後","abashless"
"かも","abashlessly"
"家","abashment"
"そういう","abashments"
"世界","abasia"
"気","abasias"
"点","abasic"
"万","abasing"
"もう","abasio"
"やっ","abask"
"バック","abassi"
"社会","Abassieh"
"言う","Abassin"
"なけれ","abastard"
"トラック","abastardize"
"によって","abastral"
"仕事","abatable"
"同じ","abatage"
"数","Abate"
"記事","abated"
"行っ","abatement"
"彼","abatements"
"大","abater"
"国","abaters"
"べき","abates"
"られる","abatic"
"等","abating"
"とか","abatis"
"回","abatised"
"三","abatises"
"君","abatjour"
"法","abatjours"
"意味","abaton"
"よく","abator"
"力","abators"
"以上","ABATS"
"しまう","abattage"
"会社","abattis"
"しまっ","abattised"
"くる","abattises"
"持っ","abattoir"
"くれ","abattoirs"
"ほど","abattu"
"そんな","abattue"
"人間","Abatua"
"多く","abature"
"来","abaue"
"現在","abave"
"なん","abaxial"
"企業","abaxile"
"氏","abaze"
"ください","abb"
"ちょっと","Abba"
"間","abbacy"
"可能","abbacies"
"研究","abbacomes"
"投稿","Abbadide"
"他","Abbai"
"アメリカ","abbaye"
"しれ","abbandono"
"けれども","abbas"
"リンク","abbasi"
"今回","Abbasid"
"次","abbassi"
"ら","Abbassid"
"いたし","Abbasside"
"言葉","Abbate"
"こういう","abbatial"
"書い","abbatical"
"僕","abbatie"
"しか","Abbe"
"多い","Abbey"
"経済","abbeys"
"あなた","abbey's"
"手","abbeystead"
"そこ","abbeystede"
"あれ","abbes"
"による","abbess"
"最近","abbesses"
"結果","abbest"
"度","Abbevilean"
"くらい","Abbeville"
"映画","Abbevillian"
"先生","Abbi"
"生活","Abby"
"金","Abbie"
"言わ","Abbye"
"時代","Abbyville"
"政府","abboccato"
"非常","abbogada"
"御","Abbot"
"店","abbotcy"
"良い","abbotcies"
"まだ","abbotnullius"
"において","abbotric"
"内容","abbots"
"一つ","abbot's"
"心","Abbotsen"
"見る","Abbotsford"
"説明","abbotship"
"せる","abbotships"
"写真","Abbotson"
"ただ","Abbotsun"
"サイト","Abbott"
"教育","Abbottson"
"女性","Abbottstown"
"子供","Abboud"
"方法","abbozzo"
"に対して","ABBR"
"あるいは","abbrev"
"名","abbreviatable"
"利用","abbreviate"
"さらに","abbreviated"
"ブログ","abbreviately"
"少し","abbreviates"
"紹介","abbreviating"
"技術","abbreviation"
"いろいろ","abbreviations"
"なんて","abbreviator"
"名前","abbreviatory"
"参加","abbreviators"
"入っ","abbreviature"
"大きな","abbroachment"
"うち","ABC"
"やはり","abcess"
"こ","abcissa"
"受け","abcoulomb"
"どの","ABCs"
"好き","abd"
"にとって","abdal"
"活動","abdali"
"東京","abdaria"
"どこ","abdat"
"かなり","Abdel"
"こんな","Abd-el-Kadir"
"状況","Abd-el-Krim"
"五","Abdella"
"に対する","Abderhalden"
"管理","Abderian"
"特に","Abderite"
"環境","Abderus"
"ページ","abdest"
"のに","Abdias"
"地域","abdicable"
"本当に","abdicant"
"いただき","abdicate"
"使っ","abdicated"
"実際","abdicates"
"中国","abdicating"
"市","abdication"
"先","abdications"
"聞い","abdicative"
"誰","abdicator"
"個人","Abdiel"
"意見","abditive"
"状態","abditory"
"歳","abdom"
"大学","abdomen"
"物","abdomens"
"存在","abdomen's"
"最後","abdomina"
"しまい","abdominal"
"笑","Abdominales"
"システム","abdominalia"
"すべて","abdominalian"
"彼女","abdominally"
"理解","abdominals"
"学校","abdominoanterior"
"部分","abdominocardiac"
"すれ","abdominocentesis"
"とても","abdominocystic"
"得","abdominogenital"
"電話","abdominohysterectomy"
"考える","abdominohysterotomy"
"用","abdominoposterior"
"行く","abdominoscope"
"部","abdominoscopy"
"県","abdominothoracic"
"日記","abdominous"
"しよ","abdomino-uterotomy"
"メール","abdominovaginal"
"制度","abdominovesical"
"使用","Abdon"
"事業","Abdu"
"ス","abduce"
"四","abduced"
"いけ","abducens"
"固定","abducent"
"調査","abducentes"
"基本","abduces"
"もちろん","abducing"
"関連","abduct"
"一般","abducted"
"あと","abducting"
"新しい","abduction"
"開発","abductions"
"あの","abduction's"
"音楽","abductor"
"一番","abductores"
"内","abductors"
"作品","abductor's"
"側","abducts"
"重要","Abdul"
"出来","Abdul-Aziz"
"高い","Abdul-baha"
"最初","Abdulla"
"様","Abe"
"達","a-be"
"国民","abeam"
"サービス","abear"
"もっと","abearance"
"に関する","Abebi"
"出し","abecedaire"
"長","abecedary"
"こちら","abecedaria"
"水","abecedarian"
"おる","abecedarians"
"らしい","abecedaries"
"新","abecedarium"
"事件","abecedarius"
"英語","abed"
"所","abede"
"質問","abedge"
"形","Abednego"
"ほとんど","abegge"
"まず","Abey"
"男","abeyance"
"はず","abeyances"
"ふう","abeyancy"
"約","abeyancies"
"主義","abeyant"
"下","abeigh"
"場","ABEL"
"読ん","Abelard"
"ちゃん","abele"
"理由","abeles"
"知ら","Abelia"
"書","Abelian"
"入れ","Abelicea"
"こう","Abelite"
"始め","Abell"
"社","Abelmoschus"
"ン","abelmosk"
"みる","abelmosks"
"場所","abelmusk"
"機能","Abelonian"
"米","Abelson"
"お願い","abeltree"
"労働","Abencerrages"
"いつも","abend"
"車","abends"
"食べ","Abenezra"
"相手","abenteric"
"国際","Abeokuta"
"自身","abepithymia"
"っ","ABEPP"
"声","Abercromby"
"計画","Abercrombie"
"ほう","Aberdare"
"政治","aberdavine"
"別","Aberdeen"
"ばかり","Aberdeenshire"
"系","aberdevine"
"感","Aberdonian"
"思わ","aberduvine"
"億","Aberfan"
"頃","Aberglaube"
"号","Aberia"
"における","Aberystwyth"
"つまり","Abernant"
"日本人","Abernathy"
"今後","abernethy"
"言え","Abernon"
"くれる","aberr"
"まま","aberrance"
"文化","aberrancy"
"いえ","aberrancies"
"体","aberrant"
"違う","aberrantly"
"大変","aberrants"
"ましょ","aberrate"
"彼ら","aberrated"
"評価","aberrating"
"百","aberration"
"対応","aberrational"
"あまり","aberrations"
"権","aberrative"
"頭","aberrator"
"子","aberrometer"
"かけ","aberroscope"
"自由","Abert"
"知っ","aberuncate"
"昨日","aberuncator"
"行わ","abesse"
"みたい","abessive"
"すぐ","abet"
"これから","abetment"
"歴史","abetments"
"全体","abets"
"気持ち","abettal"
"報告","abettals"
"程度","abetted"
"元","abetter"
"人々","abetters"
"言い","abetting"
"予定","abettor"
"代表","abettors"
"あろ","Abeu"
"その後","abevacuation"
"経験","abfarad"
"型","abfarads"
"員","ABFM"
"ネット","Abgatha"
"以外","ABHC"
"なぁ","abhenry"
"よい","abhenries"
"今年","abhenrys"
"価格","abhinaya"
"投資","abhiseka"
"経営","abhominable"
"ニュース","abhor"
"見え","abhorred"
"いき","abhorrence"
"それぞれ","abhorrences"
"自然","abhorrency"
"商品","abhorrent"
"なかなか","abhorrently"
"発表","abhorrer"
"目的","abhorrers"
"影響","abhorrible"
"地方","abhorring"
"だから","abhors"
"テレビ","Abhorson"
"一緒","ABI"
"面","aby"
"顔","Abia"
"選手","Abiathar"
"無い","Abib"
"道","abichite"
"けれど","abidal"
"みんな","abidance"
"子ども","abidances"
"実は","abidden"
"確か","abide"
"違い","abided"
"千","abider"
"確認","abiders"
"ありがとう","abides"
"下さい","abidi"
"夜","abiding"
"例えば","abidingly"
"中心","abidingness"
"つけ","Abidjan"
"市場","Abydos"
"音","Abie"
"提供","abye"
"たく","abied"
"なぜ","abyed"
"事実","abiegh"
"地","abience"
"簡単","abient"
"朝","Abies"
"版","abyes"
"学","abietate"
"当然","abietene"
"以下","abietic"
"責任","abietin"
"作っ","Abietineae"
"六","abietineous"
"通り","abietinic"
"ゲーム","abietite"
"議論","Abiezer"
"これら","Abigael"
"続け","Abigail"
"以前","abigails"
"位","abigailship"
"データ","Abigale"
"買っ","abigeat"
"判断","abigei"
"例","abigeus"
"ぬ","Abihu"
"専門","abying"
"家族","Abijah"
"やる","Abyla"
"向け","abilao"
"悪い","Abilene"
"しかも","abiliment"
"初めて","Abilyne"
"勉強","abilitable"
"いま","ability"
"期待","abilities"
"そこで","ability's"
"全く","abilla"
"教え","abilo"
"韓国","abime"
"外","Abimelech"
"たくさん","Abineri"
"効果","Abingdon"
"検討","Abinger"
"つ","Abington"
"各","Abinoam"
"普通","Abinoem"
"組織","abintestate"
"政策","abiogeneses"
"わから","abiogenesis"
"町","abiogenesist"
"行動","abiogenetic"
"年間","abiogenetical"
"こそ","abiogenetically"
"率","abiogeny"
"当時","abiogenist"
"学生","abiogenous"
"海","abiology"
"持つ","abiological"
"販売","abiologically"
"どんな","abioses"
"つい","abiosis"
"つつ","abiotic"
"購入","abiotical"
"科学","abiotically"
"及び","abiotrophy"
"監督","abiotrophic"
"意識","Abipon"
"高","Abiquiu"
"わ","abir"
"九","abirritant"
"る","abirritate"
"とも","abirritated"
"のみ","abirritating"
"生産","abirritation"
"表現","abirritative"
"戦争","abys"
"参考","Abisag"
"ひとつ","Abisha"
"その他","Abishag"
"決定","Abisia"
"まあ","abysm"
"ぐらい","abysmal"
"曲","abysmally"
"同","abysms"
"ク","Abyss"
"やっぱり","abyssa"
"法律","abyssal"
"あ","abysses"
"機関","Abyssinia"
"申し上げ","Abyssinian"
"大きく","abyssinians"
"すぎ","abyssobenthonic"
"行き","abyssolith"
"行う","abyssopelagic"
"ビジネス","abyss's"
"さて","abyssus"
"対象","abiston"
"チーム","abit"
"現実","Abitibi"
"読む","Abiu"
"対策","abiuret"
"作業","Abixah"
"価値","abject"
"テーマ","abjectedness"
"十分","abjection"
"一部","abjections"
"語","abjective"
"姿","abjectly"
"新聞","abjectness"
"一方","abjectnesses"
"風","abjoint"
"八","abjudge"
"際","abjudged"
"ラ","abjudging"
"論","abjudicate"
"全て","abjudicated"
"大臣","abjudicating"
"神","abjudication"
"もし","abjudicator"
"国家","abjugate"
"件","abjunct"
"毎日","abjunction"
"俺","abjunctive"
"試合","abjuration"
"なし","abjurations"
"七","abjuratory"
"ま","abjure"
"会議","abjured"
"使う","abjurement"
"いつ","abjurer"
"指摘","abjurers"
"書く","abjures"
"製品","abjuring"
"変化","abkar"
"結局","abkari"
"消費","abkary"
"保険","Abkhas"
"観","Abkhasia"
"具体","Abkhasian"
"人生","Abkhaz"
"量","Abkhazia"
"米国","Abkhazian"
"表示","abl"
"いか","abl."
"精神","ablach"
"街","ablactate"
"過去","ablactated"
"レベル","ablactating"
"我々","ablactation"
"わかり","ablaqueate"
"近く","ablare"
"インターネット","A-blast"
"能力","ablastemic"
"指導","ablastin"
"わたし","ablastous"
"更新","ablate"
"強い","ablated"
"いただい","ablates"
"公開","ablating"
"日本語","ablation"
"皆さん","ablations"
"屋","ablatitious"
"ほか","ablatival"
"女","ablative"
"昔","ablatively"
"担当","ablatives"
"費","ablator"
"もらっ","ablaut"
"明日","ablauts"
"旅行","ablaze"
"夢","able"
"それから","able-bodied"
"明らか","able-bodiedness"
"木","ableeze"
