"Thai","English"
"เครื่องกำเนิดกระแสไฟฟ้า","aardvark"
"ความสัมพันธ์ทางสายเลือด","aardvarks"
"เจ้าพนักงานยึดทรัพย์สิน","aardwolf"
"ความสามารถในการเรียนรู้","aardwolves"
"การต่อสายดักฟังโทรศัพท์","Aaren"
"อุณหภูมิใต้จุดเยือกแข็ง","Aargau"
"อยู่ต่ำกว่าจุดเยือกแข็ง","aargh"
"การศึกษาลำดับกาลของภาษา","Aarhus"
"เจ้าหน้าที่บนเครื่องบิน","Aarika"
"เปลี่ยนทิศทางกระแสไฟฟ้า","Aaron"
"เหมาะสมในสถานการณ์เฉพาะ","Aaronic"
"กล่าวโดยหลักเกณฑ์ทั่วไป","Aaronical"
"ที่กระตุ้นความอยากอาหาร","Aaronite"
"เครื่องหมายแปลงเสียงต่ำ","Aaronitic"
"ท่าการจับแบบกีฬามวยปล้ำ","Aaron's-beard"
"การอพยพไปอยู่ประเทศอื่น","Aaronsburg"
"ตกอยู่ภายใต้การครอบครอง","Aaronson"
"ที่มีอายุไม่เกินหนึ่งปี","AARP"
"ความเชื่อในการดำรงชีวิต","aarrgh"
"การทำให้เป็นประชาธิปไตย","aarrghh"
"มหาวิทยาลัยเพนซิลเวเนีย","Aaru"
"แผ่นดินใหญ่ของทวีปยุโรป","AAS"
"กระปรี้กระเปร่าอีกครั้ง","A'asia"
"ความเสี่ยงในการติดเชื้อ","aasvogel"
"การขยายตัวทางอุตสาหกรรม","aasvogels"
"การสูญเสียสารคาร์บอนเนต","AAU"
"การกระทำที่ผิดปกติวิสัย","AAUP"
"เกี่ยวกับการได้ยินเสียง","AAUW"
"ซูเปอร์มาร์เก็ตขนาดใหญ่","AAVSO"
"การรวมกันเป็นเนื้อเดียว","AAX"
"การเคลื่อนที่ด้วยตัวเอง","A-axes"
"จังหวะการบีบตัวของหัวใจ","A-axis"
"พรรคแรงงานสหราชอาณาจักร","AB"
"การบวนการผลิตผ่านสายพาน","ab-"
"เนื้อเพลงท่อนที่ร้องซ้ำ","ABA"
"การเดินทางโดยเครื่องบิน","Ababa"
"การแข่งขันรอบรองชนะเลิศ","Ababdeh"
"กายวิภาคศาสตร์เฉพาะส่วน","Ababua"
"พนักงานรักษาความปลอดภัย","abac"
"คนหรือสิ่งที่เป็นสุดยอด","abaca"
"โรคปวดประสาทอย่างรุนแรง","abacay"
"ช่วงที่กินดื่มมากเกินไป","abacas"
"ภาษาศาสตร์โครงสร้างนิยม","abacate"
"ภาวะมีอากาศในเนื้อเยื่อ","abacaxi"
"สิ่งที่ใช้ติดต่อสื่อสาร","abaci"
"การแพร่ภาพทางเคเบิลทีวี","abacinate"
"แรงตึงผิวระหว่างผิวหน้า","abacination"
"ความสอดคล้องเป็นคู่ขนาน","abacisci"
"กล้องโทรทรรศน์สะท้อนแสง","abaciscus"
"ซึ่งปกคลุมด้วยสารเหนียว","abacist"
"การพึ่งตนเองทางเศรษฐกิจ","aback"
"เลียนแบบการทำงานของระบบ","abacli"
"เครื่องพิมพ์คอมพิวเตอร์","Abaco"
"ไม่ปรากฎเหนือเส้นขอบฟ้า","abacot"
"หน่วยวัดความดันบรรยากาศ","abacterial"
"คนทำผิดกฎหมายและศีลธรรม","abactinal"
"กลุ่มนักร้องประสานเสียง","abactinally"
"สัตว์ไม่มีกระดูกสันหลัง","abaction"
"ความเสียหายทางอาวุธทหาร","abactor"
"การดำเนินนโยบายเป็นกลาง","abaculi"
"สิ่งที่ใช้ในการบำบัดโรค","abaculus"
"การพ้นจากตำแหน่งหน้าที่","abacus"
"การเรืองแสงโดยอัตโนมัติ","abacuses"
"ไม่ปรากฏเหนือเส้นขอบฟ้า","Abad"
"นักวิทยาสัตว์เลื้อยคลาน","abada"
"วิศวกรรมศาสตร์ประยุกต์","Abadan"
"คลื่นความถี่ต่ำยิ่งยวด","Abaddon"
"หน่วยความจำคอมพิวเตอร์","abadejo"
"เครื่องยนต์สันดาปภายใน","abadengo"
"การโอนกิจการเป็นของรัฐ","abadia"
"ไปรษณีย์อิเล็กทรอนิกส์","Abadite"
"ระยะที่รุ่งเรืองที่สุด","abaff"
"การแสดงปฏิกิริยาตอบโต้","abaft"
"ความบกพร่องด้านการอ่าน","Abagael"
"การกินเนื้อพวกเดียวกัน","Abagail"
"การแสดงความไม่เห็นด้วย","Abagtha"
"ราชนิกูลราชวงศ์ทิวดอร์","abay"
"ที่ใช้เหตุผลโต้แย้งได้","abayah"
"ภาวะหัวใจเต้นผิดจังหวะ","Abailard"
"อาชีพที่ต้องการความรู้","abaisance"
"เดินขบวนถือป้ายประท้วง","abaised"
"กล่าวหาโดยไม่มีหลักฐาน","abaiser"
"เฮรอนแห่งอเล็กซานเดรีย","abaisse"
"เครื่องหยั่งความลึกน้ำ","abaissed"
"ผ้าทอที่ใช้เป็นผ้าม่าน","abaka"
"ความแตกต่างทางความหมาย","Abakan"
"คอกสำหรับปล่อยเด็กเล่น","abakas"
"การบิดเบือนข้อเท็จจริง","Abakumov"
"โรคเยื่อหุ้มสมองอักเสบ","abalation"
"การบำบัดร่างกายด้วยน้ำ","abalienate"
"ทำให้มีปัญหาทางการเงิน","abalienated"
"ซึ่งอุทิศให้แก่พระเจ้า","abalienating"
"การหมุนตัวด้วยปลายเท้า","abalienation"
"ช่องว่างระหว่างก้อนเมฆ","abalone"
"นักวิทยาศาสตร์ประยุกต์","abalones"
"อย่างไม่มีเล่ห์เหลี่ยม","Abama"
"เครื่องหมายทางนาฏศิลป์","abamp"
"สัมประสิทธิ์การขยายตัว","abampere"
"ผีเสื้อตระกูลค็อปเปอร์","abamperes"
"จู่โจมไม่ให้ทันตั้งตัว","abamps"
"ตรรกศาสตร์แบบคลุมเครือ","Abana"
"ที่ไม่สามารถหลีกเลี่ยง","aband"
"สาธารณรัฐอาหรับอียิปต์","abandon"
"การทำธุรกรรมผ่านธนาคาร","abandonable"
"สิทธิออกเสียงเลือกตั้ง","abandoned"
"การจำแนกแบบอนุกรมวิธาน","abandonedly"
"เรือบรรทุกเครื่องบินรบ","abandonee"
"การเคลื่อนไหวเป็นสโตรก","abandoner"
"อย่างหลีกเหลี่ยงไม่ได้","abandoners"
"เกิดขึ้นอย่างติดต่อกัน","abandoning"
"เกี่ยวกับการสอนศีลธรรม","abandonment"
"นักอนุรักษ์สิ่งแวดล้อม","abandonments"
"เครื่องดนตรีประเภทเป่า","abandons"
"เกิดขึ้นในเวลาเดียวกัน","abandum"
"กระดูกฝ่ามือชิ้นที่สอง","abanet"
"ผู้ซื้อสินค้าและบริการ","abanga"
"ซึ่งนำกลับมาใช้ใหม่ได้","Abanic"
"การประกาศว่าไม่ปลอดภัย","abannition"
"หนังสือที่พิมพ์ทั้งหมด","Abantes"
"การพลิกด้านในออกไม่ได้","abapical"
"การตรวจสอบคุณภาพสินแร่","abaptiston"
"ระบบเสียงประกาศสาธารณะ","abaptistum"
"เข้ามาโดยไม่ได้รับเชิญ","Abarambo"
"การอักเสบของเนื้อเยื่อ","Abarbarea"
"กฎหมายป้องกันการผูกขาด","Abaris"
"การสังเคราะห์นิวเคลียส","abarthrosis"
"ความรู้สึกชิงชังมนุษย์","abarticular"
"ฉบับที่ใช้พิสูจน์อักษร","abarticulation"
"เคลื่อนไหวเหมือนเต้นรำ","Abas"
"ผู้วางแผนการทิ้งระเบิด","abase"
"ผู้เขียนประวัติพระเยซู","abased"
"เสรีภาพที่อยู่ในขอบเขต","abasedly"
"ซึ่งเกิดขึ้นในปัจจุบัน","abasedness"
"ชาวออสเตรเลียพื้นเมือง","abasement"
"เป็นตัวอย่างของบางสิ่ง","abasements"
"การทำใหไวต่อการกระตุ้น","abaser"
"ชุดภาชนะรับประทานอาหาร","abasers"
"กระดูกสันหลังข้อที่สอง","abases"
"กลุ่มผู้ปฏิบัติหน้าที่","Abasgi"
"การเล่นตำแหน่งพิตเชอร์","abash"
"การประกาศใช้เป็นกฎหมาย","abashed"
"ผู้ยึดถือลัทธิสันติภาพ","abashedly"
"การตรวจสอบเชิงประจักษ์","abashedness"
"บันทึกข้อมูลการเดินทาง","abashes"
"การตัดเนื้อเยื่อไปตรวจ","abashing"
"ความรู้สึกสบายอกสบายใจ","abashless"
"เอนไซม์ออกซิโดรีดักเทส","abashlessly"
"ตัวโน้ตที่ยาวติดต่อกัน","abashment"
"นักศึกษาชั้นปีที่หนึ่ง","abashments"
"น้ำมันพืชสำหรับทำอาหาร","abasia"
"รายได้ค่าบัตรผ่านประตู","abasias"
"เครื่องหมายวงเล็บปีกกา","abasic"
"พิสูจน์ว่าเป็นความจริง","abasing"
"การเลี้ยวเบนรังสีเอกซ์","abasio"
"เปลี่ยนเป็นหนี้ระยะยาว","abask"
"เชือกที่ฟั่นเป็นเกลียว","abassi"
"เครื่องสังเคราะห์เสียง","Abassieh"
"สถาปัตยกรรมคอมพิวเตอร์","Abassin"
"เคลื่อนไหวอย่างรวดเร็ว","abastard"
"เรียนโดยไม่นับหน่วยกิต","abastardize"
"สถานที่ซึ่งก่อตั้งขึ้น","abastral"
"ผู้ให้สัญญาณการแข่งขัน","abatable"
"เข้ากับคนอื่นอย่างแน่น","abatage"
"เลียทำความสะอาดร่างกาย","Abate"
"เรียกร้องความซื่อสัตย์","abated"
"การเป็นคนพูดขวานผ่าซาก","abatement"
"ความกว้างของลำกล้องปืน","abatements"
"การมีเพศสัมพันธ์ทางปาก","abater"
"ผู้ก่อให้เกิดเหตุการณ์","abaters"
"ผู้สนับสนุนประชาธิปไตย","abates"
"เสื้อผ้าเครื่องแต่งกาย","abatic"
"การประพฤติตนไม่เหมาะสม","abating"
"ส่วนต่อประสานกับผู้ใช้","abatis"
"ผู้จัดการมหกรรมบันเทิง","abatised"
"การบรรเทาอาการชั่วคราว","abatises"
"อาการพิษตะกั่วเรื้อรัง","abatjour"
"การเป็นผู้ให้และผู้รับ","abatjours"
"การเดินทางท่องมหาสมุทร","abaton"
"ตกแต่งด้วยเฟอร์นิเจอร์","abator"
"ผู้เขียนบันทึกประจำวัน","abators"
"การอยู่กินฉันสามีภรรยา","ABATS"
"การทำให้สะอาดบริสุทธิ์","abattage"
"สิ่งมีชีวิตตามธรรมชาติ","abattis"
"เีกี่ยวกับการลำดับชั้น","abattised"
"การคัดเลือกโดยธรรมชาติ","abattises"
"สัมประสิทธิ์สหสัมพันธ์","abattoir"
"ภาวะเสียการอ่านรู้ความ","abattoirs"
"การทำเครื่องปั้นดินเผา","abattu"
"ทางเดินที่มีหลังคาโค้ง","abattue"
"หน้าปัดโทรศัพท์แบบหมุน","Abatua"
"ผู้จัดการหญิงของโรงแรม","abature"
"เจ้าหน้าที่ช่วยคนจมน้ำ","abaue"
"อาการกลัวการอยู่ที่แคบ","abave"
"พื้นที่ที่มีหญ้าปกคลุม","abaxial"
"การปลูกฝังความเชื่อถือ","abaxile"
"ต้นเมาน์เทนบลูเบอร์รี่","abaze"
"ประเมินมูลค่าทรัพย์สิน","abb"
"เจ้าหน้าที่ประเมินภาษี","Abba"
"การแข่งขันกีฬาโอลิมปิก","abbacy"
"เครื่องบันทึกจำนวนเงิน","abbacies"
"การอาบน้ำเพื่อการรักษา","abbacomes"
"ความรู้สึกจากการสัมผัส","Abbadide"
"หลังคากระเบื้องหินชนวน","Abbai"
"ศิลปินอิมเพรสชั่นนิสต์","abbaye"
"ผู้ลงสมัครรับเลือกตั้ง","abbandono"
"ผู้ประสิทธิ์ประสาทวิชา","abbas"
"ลัทธิแอลเบอเจนเซอนิสม์","abbasi"
