"Hausa","English"
"a","aardvark"
"a'a","aardvarks"
"aah","aardwolf"
"abadin","aardwolves"
"abinci","Aaren"
"aboki","Aargau"
"abota","aargh"
"abu","Aarhus"
"acid","Aarika"
"ad","Aaron"
"adabi","Aaronic"
"adadi","Aaronical"
"adadin","Aaronite"
"adalci","Aaronitic"
"adawa","Aaron's-beard"
"addini","Aaronsburg"
"addu'a","Aaronson"
"adireshin","AARP"
"Afrilu","aarrgh"
"agogo","aarrghh"
"Agusta","Aaru"
"agwagwa","AAS"
"ah","A'asia"
"aibi","aasvogel"
"aikace-aikace","aasvogels"
"aikata","AAU"
"aikawa","AAUP"
"aiki","AAUW"
"aikin","AAVSO"
"ainihi","AAX"
"ainihin","A-axes"
"aiwatar","A-axis"
"aiwatarwa","AB"
"ajanda","ab-"
"aji","ABA"
"ajiya","Ababa"
"ajiye","Ababdeh"
"ajiyewa","Ababua"
"akai-akai","abac"
"akan","abaca"
"akida","abacay"
"akuya","abacas"
"akwati","abacate"
"al'ada","abacaxi"
"alade","abaci"
"al'adu","abacinate"
"alaƙa","abacination"
"alama","abacisci"
"alamar","abaciscus"
"alamari","abacist"
"al'amari","aback"
"al'amarin","abacli"
"albarka","Abaco"
"albarkatu","abacot"
"albasa","abacterial"
"albashi","abactinal"
"alewa","abactinally"
"alfa","abaction"
"alfijir","abactor"
"alhaki","abaculi"
"alhakin","abaculus"
"alhali","abacus"
"Alhamis","abacuses"
"alheri","Abad"
"aljani","abada"
"aljihu","Abadan"
"alkalami","Abaddon"
"alƙaluma","abadejo"
"alkama","abadengo"
"alkawari","abadia"
"alƙawari","Abadite"
"allah","abaff"
"allahntaka","abaft"
"allo","Abagael"
"allura","Abagail"
"almara","Abagtha"
"al'umma","abay"
"am","abayah"
"amana","Abailard"
"amarya","abaisance"
"ambaliya","abaised"
"ambata","abaiser"
"ambato","abaisse"
"ambaton","abaissed"
"ambulaf","abaka"
"american","Abakan"
"amfani","abakas"
"amincewa","Abakumov"
"aminci","abalation"
"amintacce","abalienate"
"amma","abalienated"
"amsa","abalienating"
