"Bulgarian","English"
"един","aardvark"
"изоставете","aardvarks"
"способност","aardwolf"
"способен","aardwolves"
"аборт","Aaren"
"относно","Aargau"
"в","aargh"
"отсъствие","Aarhus"
"абсолютен","Aarika"
"абсолютно","Aaron"
"усвоявам","Aaronic"
"злоупотреба","Aaronical"
"академичен","Aaronite"
"приемам","Aaronitic"
"достъп","Aaron's-beard"
"злополука","Aaronsburg"
"придружават","Aaronson"
"постигне","AARP"
"Според","aarrgh"
"сметка","aarrghh"
"точен","Aaru"
"обвинявам","AAS"
"постигне","A'asia"
"постижение","aasvogel"
"киселина","aasvogels"
"признавам","AAU"
"придобивам","AAUP"
"през","AAUW"
"действай","AAVSO"
"действие","AAX"
"активен","A-axes"
"активист","A-axis"
"дейност","AB"
"актьор","ab-"
"актриса","ABA"
"действително","Ababa"
"всъщност","Ababdeh"
"реклама","Ababua"
"адаптират","abac"
"добавете","abaca"
"допълнение","abacay"
"допълнителен","abacas"
"адрес","abacate"
"адекватен","abacaxi"
"регулирайте","abaci"
"настройка","abacinate"
"администрация","abacination"
"администратор","abacisci"
"възхищавам","abaciscus"
"допускане","abacist"
"признавам","aback"
"юноша","abacli"
"осинови","Abaco"
"възрастен","abacot"
"аванс","abacterial"
"напреднал","abactinal"
"предимство","abactinally"
"приключение","abaction"
"реклама","abactor"
"съвет","abaculi"
"съветвам","abaculus"
"съветник","abacus"
"адвокат","abacuses"
"афера","Abad"
"засягат","abada"
"си","Abadan"
"страхувам","Abaddon"
"Африкански","abadejo"
"Афроамериканец","abadengo"
"след","abadia"
"следобед","Abadite"
"отново","abaff"
"срещу","abaft"
"възраст","Abagael"
"агенция","Abagail"
"дневен","Abagtha"
"агент","abay"
"агресивен","abayah"
"преди","Abailard"
"Съгласен","abaisance"
"споразумение","abaised"
"селскостопански","abaiser"
"напред","abaisse"
"помощ","abaissed"
"помощник","abaka"
"СПИН","Abakan"
"прицелвам","abakas"
"въздух","Abakumov"
"самолет","abalation"
"авиокомпания","abalienate"
"летище","abalienated"
"албум","abalienating"
"алкохол","abalienation"
"жив","abalone"
"всичко","abalones"
"съюз","Abama"
"позволява","abamp"
"съюзник","abampere"
"почти","abamperes"
"сам","abamps"
"заедно","Abana"
"вече","aband"
"също","abandon"
"променят","abandonable"
"алтернатива","abandoned"
