"Irish","English"
"a","aardvark"
"á","aardvarks"
"aah","aardwolf"
"abair","aardwolves"
"abairt","Aaren"
"ábalta","Aargau"
"abhainn","aargh"
"ábhar","Aarhus"
"ábhartha","Aarika"
"abhcóide","Aaron"
"Abhcóide","Aaronic"
"absalóideach","Aaronical"
"abstract","Aaronite"
"Acadamh","Aaronitic"
"acadúil","Aaron's-beard"
"accent","Aaronsburg"
"accomplish","Aaronson"
"ach","AARP"
"achainí","aarrgh"
"achar","aarrghh"
"achoimre","Aaru"
"achomharc","AAS"
"achrannach","A'asia"
"acmhainn","aasvogel"
"acra","aasvogels"
"acu","AAU"
"ad","AAUP"
"Added","AAUW"
"adh","AAVSO"
"-ádh","AAX"
"adharc","A-axes"
"adhlacadh","A-axis"
"adhmad","AB"
"adhmaid","ab-"
"admháil","ABA"
"admire","Ababa"
"ae","Ababdeh"
"aer","Ababua"
"aerach","abac"
"aeráid","abaca"
"aerárthaí","abacay"
"aerfort","abacas"
"aerlíne","abacate"
"affair","abacaxi"
"afraic-mheiriceánach","abaci"
"ag","abacinate"
"againn","abacination"
"agallamh","abacisci"
"agat","abaciscus"
"aghaidh","abacist"
"agóid","aback"
"agra","abacli"
"agus","Abaco"
"ah","abacot"
"aibreán","abacterial"
"AICMIGH","abactinal"
"aide","abactinally"
"aidhm","abaction"
"aiféala","abactor"
"aigéad","abaculi"
"ailíniú","abaculus"
"aille","abacus"
"áilleacht","abacuses"
"ailse","Abad"
"ailtire","abada"
"ailtireacht","Abadan"
"aimsigh","Abaddon"
"aimsir","abadejo"
"aimsiú","abadengo"
"aineolas","abadia"
"aingeal","Abadite"
"ainm","abaff"
"ainmhithe","abaft"
"ainmní","Abagael"
"ainmniú","Abagail"
"ainmniúchán","Abagtha"
"ainneoin","abay"
"ainsealach","abayah"
"aintín","Abailard"
"aird","abaisance"
"airde","abaised"
"aire","abaiser"
"aireacht","abaisse"
"aireagán","abaissed"
"airgead","abaka"
"airgeadaíochta","Abakan"
"airgeadais","abakas"
"airgeadas","Abakumov"
"airgeadra","abalation"
"áirithe","abalienate"
"áirithint","abalienated"
"áirithiú","abalienating"
"áiseanna","abalienation"
"aiseolas","abalone"
"aisghabháil","abalones"
"aisling","Abama"
"aiste","abamp"
"aisteach","abampere"
"aisteach","abamperes"
"aisteoir","abamps"
"aistrigh","Abana"
"aistriú","aband"
"aistriúchán","abandon"
"áit","abandonable"
"áiteamh","abandoned"
"aitheantais","abandonedly"
"aitheantas","abandonee"
"aithint","abandoner"
"Áitíonn","abandoners"
"áitiú","abandoning"
"áitiúil","abandonment"
"álainn","abandonments"
"aláram","abandons"
"album","abandum"
"alcól","abanet"
"allais","abanga"
"alley","Abanic"
"allmhairiú","abannition"
"ally","Abantes"
"alpha","abapical"
"alt","abaptiston"
"alter","abaptistum"
"altra","Abarambo"
"altramais","Abarbarea"
"am","Abaris"
"amach","abarthrosis"
"amadáin","abarticular"
"amadán","abarticulation"
"amaideach","Abas"
"amárach","abase"
"ambasadóir","abased"
"ambasáid","abasedly"
"amh","abasedness"
"amháin","abasement"
"amhairc","abasements"
"amharc","abaser"
"amharcán","abasers"
"amharclann","abases"
"amhrán","Abasgi"
"amhránaí","abash"
"amhras","abashed"
"amhrasach","abashedly"
"amscaí","abashedness"
"amú","abashes"
"an","abashing"
"an-","abashless"
"anáil","abashlessly"
"anailís","abashment"
"anailísí","abashments"
"anaithnid","abasia"
"análaithe","abasias"
"anam","abasic"
"ancaire","abasing"
"anchúinse","abasio"
"android","abask"
"andúil","abassi"
"anlann","Abassieh"
"ann","Abassin"
"annamh","abastard"
"anocht","abastardize"
"anois","abastral"
"anord","abatable"
"anraith","abatage"
"anseo","Abate"
"ansin","abated"
"aoi","abatement"
"aois","abatements"
"aonad","abater"
"aonair","abaters"
"aontacht","abates"
"aontaithe","abatic"
"aontas","abating"
"aontú","abatis"
"app","abatised"
"ar","abatises"
"ár","abatjour"
"Arabach","abatjours"
"Árachas","abaton"
"arán","abator"
"araon","abators"
"árasán","ABATS"
"arbhar","abattage"
"ard","abattis"
"ardaitheoir","abattised"
"ardán","abattises"
"ardú","abattoir"
"argóint","abattoirs"
"arís","abattu"
"arm","abattue"
"armtha","Abatua"
"ársa","abature"
"as","abaue"
"asal","abave"
"Ascaill","abaxial"
"aschur","abaxile"
"aslú","abaze"
"asraon","abb"
"asshole","Abba"
"astaíochtaí","abbacy"
"atá","abbacies"
"athair","abbacomes"
"áthas","Abbadide"
"athbhreithniú","Abbai"
"athchóiriú","abbaye"
"Athraíonn","abbandono"
"athróg","abbas"
"athrú","abbasi"
"athsholáthair","Abbasid"
"athuair","abbassi"
"atmaisféar","Abbassid"
"atógáil","Abbasside"
"atoghadh","Abbate"
"atosú","abbatial"
"aturnae","abbatical"
"auto","abbatie"
"b’fhéidir","Abbe"
"babe","Abbey"
"babhla","abbeys"
"babhta","abbey's"
"bac","abbeystead"
"bacainn","abbeystede"
"bád","abbes"
"bagairt","abbess"
"baictéir","abbesses"
"bailchríoch","abbest"
"baile","Abbevilean"
"bailí","Abbeville"
"bailíocht","Abbevillian"
"bailitheoir","Abbi"
"bailiú","Abby"
"bailiúchán","Abbie"
"baincéir","Abbye"
"baincéireacht","Abbyville"
"baineann","abboccato"
"Baineann","abbogada"
"bainise","Abbot"
"bainisteoir","abbotcy"
"bainistíocht","abbotcies"
"bainne","abbotnullius"
"baint","abbotric"
"bainteach","abbots"
"bairille","abbot's"
"báisteach","Abbotsen"
"bake","Abbotsford"
"balbh","abbotship"
"ball","abbotships"
"balla","Abbotson"
"ballóide","Abbotsun"
"ballraíocht","Abbott"
"balún","Abbottson"
"ban","Abbottstown"
"bán","Abboud"
"banana","abbozzo"
"banc","ABBR"
"bándearg","abbrev"
"Bang","abbreviatable"
"banna","abbreviate"
"banphrionsa","abbreviated"
"banríon","abbreviately"
"barántas","abbreviates"
"barely","abbreviating"
"barr","abbreviation"
"barra","abbreviations"
"barróg","abbreviator"
"bás","abbreviatory"
"baseball","abbreviators"
"básmhaireacht","abbreviature"
"bastard","abbroachment"
"bata","ABC"
"beach","abcess"
"beacht","abcissa"
"beag","abcoulomb"
"beagán","ABCs"
"beagnach","abd"
"bealach","abdal"
"bean","abdali"
"beannacht","abdaria"
"beannaigh","abdat"
"beannú","Abdel"
"Béarla","Abd-el-Kadir"
"bearna","Abd-el-Krim"
"beart","Abdella"
"beartas","Abderhalden"
"Beast","Abderian"
"beatha","Abderite"
"beg","Abderus"
"beidh","abdest"
"béile","Abdias"
"béim","abdicable"
"believer","abdicant"
"beloved","abdicate"
"Bend","abdicated"
"beo","abdicates"
"beoir","abdicating"
"betray","abdication"
"b'fhéidir","abdications"
"bhagairt","abdicative"
"bhaile","abdicator"
"bhailiú","Abdiel"
"bhaineas","abditive"
"bhainistiú","abditory"
"bhaint","abdom"
"bhanna","abdomen"
"bheadh","abdomens"
"bhéal","abdomen's"
"bhealach","abdomina"
"bhean","abdominal"
"bheith","Abdominales"
"bhfeidhm","abdominalia"
"bhfithis","abdominalian"
"bhfolach","abdominally"
"bhfreagra","abdominals"
"bhíoma","abdominoanterior"
"bhitheolaíocha","abdominocardiac"
"bhlaosc","abdominocentesis"
"bhliain","abdominocystic"
"bhonn","abdominogenital"
"bhraitear","abdominohysterectomy"
"bhraitheann","abdominohysterotomy"
"bhrath","abdominoposterior"
"bhreathnadóir","abdominoscope"
"bhreis","abdominoscopy"
"bhrí","abdominothoracic"
"bhrú","abdominous"
"bhuaidh","abdomino-uterotomy"
"bhuamáil","abdominovaginal"
