"Nepali","English"
"अँगालो","aardvark"
"अँध्यारो","aardvarks"
"अंग","aardwolf"
"अंग्रेजी","aardwolves"
"अंश","Aaren"
"अक्टोबर","Aargau"
"अक्षम","aargh"
"अक्सर","Aarhus"
"अक्सिजन","Aarika"
"अखण्डता","Aaron"
"अखबार","Aaronic"
"अगमवक्ता","Aaronical"
"अगस्ट","Aaronite"
"अगाडि","Aaronitic"
"अग्रणी","Aaron's-beard"
"अग्रिम","Aaronsburg"
"अग्लो","Aaronson"
"अघिल्लो","AARP"
"अचानक","aarrgh"
"अजीब","aarrghh"
"अज्ञात","Aaru"
"अज्ञानता","AAS"
"अज्ञानी","A'asia"
"अझै","aasvogel"
"अटो","aasvogels"
"अडान","AAU"
"अणु","AAUP"
"अण्डा","AAUW"
"अतिथि","AAVSO"
"अतिरिक्त","AAX"
"अत्यधिक","A-axes"
"अत्यन्तै","A-axis"
"अथाह","AB"
"अदालत","ab-"
"अदृश्य","ABA"
"अद्भुत","Ababa"
"अद्वितीय","Ababdeh"
"अधिकतम","Ababua"
"अधिकतर","abac"
"अधिकार","abaca"
"अधिकारी","abacay"
"अधिग्रहण","abacas"
"अधिवक्ता","abacate"
"अधिवेशन","abacaxi"
"अध्यक्ष","abaci"
"अध्यक्षता","abacinate"
"अध्ययन","abacination"
"अध्याय","abacisci"
"अनगिन्ती","abaciscus"
"अनन्त","abacist"
"अनलाइन","aback"
"अनिच्छुक","abacli"
"अनियमित","Abaco"
"अनिश्चितता","abacot"
"अनुकूल","abacterial"
"अनुकूलन","abactinal"
"अनुक्रम","abactinally"
"अनुक्रमणिका","abaction"
"अनुग्रह","abactor"
"अनुचित","abaculi"
"अनुच्छेद","abaculus"
"अनुदान","abacus"
"अनुपयुक्त","abacuses"
"अनुपस्थिति","Abad"
"अनुपात","abada"
"अनुपालन","Abadan"
"अनुभव","Abaddon"
"अनुभवी","abadejo"
"अनुभूति","abadengo"
"अनुमति","abadia"
"अनुमान","Abadite"
"अनुमानित","abaff"
"अनुमोदन","abaft"
"अनुयायी","Abagael"
"अनुरोध","Abagail"
"अनुवाद","Abagtha"
"अनुशासन","abay"
"अनुष्ठान","abayah"
"अनुसन्धान","Abailard"
"अनुसन्धानकर्ता","abaisance"
"अनुसार","abaised"
"अनुहार","abaiser"
"अनौठो","abaisse"
"अन्ततः","abaissed"
"अन्तमा","abaka"
"अन्तर","Abakan"
"अन्तरक्रिया","abakas"
"अन्तरदृष्टि","Abakumov"
"अन्तराल","abalation"
"अन्तर्गत","abalienate"
"अन्तर्निहित","abalienated"
"अन्तर्राष्ट्रिय","abalienating"
"अन्तर्वार्ता","abalienation"
"अन्तहीन","abalone"
"अन्तिम","abalones"
"अन्त्य","Abama"
"अन्त्येष्टि","abamp"
"अन्धकार","abampere"
"अन्धा","abamperes"
"अन्न","abamps"
"अन्य","Abana"
"अन्यत्र","aband"
"अन्यथा","abandon"
"अन्वेषक","abandonable"
"अन्वेषण","abandoned"
"अपनाउने","abandonedly"
"अपमान","abandonee"
"अपराध","abandoner"
"अपराधी","abandoners"
"अपरिचित","abandoning"
"अपरिहार्य","abandonment"
"अपरेटर","abandonments"
"अपवाद","abandons"
"अपार्टमेन्ट","abandum"
"अपील","abanet"
"अपेक्षा","abanga"
"अपेक्षाकृत","Abanic"
"अपेक्षित","abannition"
"अप्ट","Abantes"
"अप्ठ्यारो","abapical"
"अप्रत्याशित","abaptiston"
"अप्रिल","abaptistum"
"अफवाह","Abarambo"
"अफसोस","Abarbarea"
"अफ्रिकी","Abaris"
"अभाव","abarthrosis"
"अभिनव","abarticular"
"अभिनेता","abarticulation"
"अभिनेत्री","Abas"
"अभिभावक","abase"
"अभिभावकीय","abased"
"अभिमुखीकरण","abasedly"
"अभियान","abasedness"
"अभियोजक","abasement"
"अभियोजन","abasements"
"अभिलेख","abaser"
"अभिवादन","abasers"
"अभिव्यक्ति","abases"
"अभूतपूर्व","Abasgi"
"अभ्यास","abash"
"अभ्यासी","abashed"
"अमेरिकी","abashedly"
"अरब","abashedness"
"अराजकता","abashes"
"अरू","abashing"
"अर्को","abashless"
"अर्थ","abashlessly"
"अर्थव्यवस्था","abashment"
"अर्थशास्त्र","abashments"
"अर्थशास्त्री","abasia"
"अलग","abasias"
"अलगाव","abasic"
"अलविदा","abasing"
"अलार्म","abasio"
"अल्छी","abask"
"अल्पसंख्यक","abassi"
"अल्फा","Abassieh"
"अवतरण","Abassin"
"अवधारणा","abastard"
"अवधि","abastardize"
"अवधिभर","abastral"
"अवयव","abatable"
"अवरोध","abatage"
"अवलोकन","Abate"
"अवशोषित","abated"
"अवसर","abatement"
"अवसाद","abatements"
"अवस्था","abater"
"अवस्थित","abaters"
"अविश्वसनीय","abates"
"अवैध","abatic"
"अशिष्ट","abating"
"असक्षम","abatis"
"असक्षमता","abatised"
"असफल","abatises"
"असफलता","abatjour"
"असम्भव","abatjours"
"असर","abaton"
"असहज","abator"
"असहमत","abators"
"असाइनमेन्ट","ABATS"
"असाधारण","abattage"
"असामान्य","abattis"
"अस्तित्व","abattised"
"अस्थायी","abattises"
"अस्पताल","abattoir"
"अस्पष्ट","abattoirs"
"अस्वीकार","abattu"
"अहंकार","abattue"
"अहिले","Abatua"
"आँखा","abature"
"आँधी","abaue"
"आँसु","abave"
"आंशिक","abaxial"
"आइकन","abaxile"
"आइतबार","abaze"
"आइपुग्छ","abb"
"आइरिस","Abba"
"आइसोलेसन","abbacy"
"आउँदैछ","abbacies"
"आउटपुट","abbacomes"
"आउटलेट","Abbadide"
"आउनुहोस्","Abbai"
"आकर्षक","abbaye"
"आकर्षण","abbandono"
"आकर्षित","abbas"
"आकस्मिक","abbasi"
"आकार","Abbasid"
"आकाश","abbassi"
"आकाशगंगा","Abbassid"
"आक्रमण","Abbasside"
"आक्रामक","Abbate"
"आगन्तुक","abbatial"
"आगमन","abbatical"
"आगामी","abbatie"
"आगो","Abbe"
"आग्रह","Abbey"
"आघात","abbeys"
"आचरण","abbey's"
"आज","abbeystead"
"आटा","abbeystede"
"आठ","abbes"
"आठौं","abbess"
"आणविक","abbesses"
"आतंक","abbest"
"आतंकवाद","Abbevilean"
"आतंकवादी","Abbeville"
"आत्महत्या","Abbevillian"
"आत्मा","Abbi"
"आदर्श","Abby"
"आदि","Abbie"
"आदिवासी","Abbye"
"आदेश","Abbyville"
"आधा","abboccato"
"आधार","abbogada"
"आधारभूत","Abbot"
"आधिकारिक","abbotcy"
"आधुनिक","abbotcies"
"आध्यात्मिक","abbotnullius"
"आनन्द","abbotric"
"आनुवंशिक","abbots"
"आन्तरिक","abbot's"
"आन्दोलन","Abbotsen"
"आन्दोलनकारी","Abbotsford"
"आपतकालीन","abbotship"
"आपत्ति","abbotships"
"आपत्तिजनक","Abbotson"
"आपसी","Abbotsun"
"आपूर्ति","Abbott"
"आप्रवासन","Abbottson"
"आप्रवासी","Abbottstown"
"आफै","Abboud"
"आफैलाई","abbozzo"
"आफ्नै","ABBR"
"आमन्त्रण","abbrev"
"आमा","abbreviatable"
"आय","abbreviate"
"आयात","abbreviated"
"आयाम","abbreviately"
"आयुक्त","abbreviates"
"आयोग","abbreviating"
"आरक्षण","abbreviation"
"आराम","abbreviations"
"आरोप","abbreviator"
"आर्थिक","abbreviatory"
"आलु","abbreviators"
"आलोचक","abbreviature"
"आलोचना","abbroachment"
"आलोचनात्मक","ABC"
"आवरण","abcess"
"आवश्यक","abcissa"
"आवश्यकता","abcoulomb"
"आवाज","ABCs"
"आवास","abd"
"आवासीय","abdal"
"आविष्कार","abdali"
"आवृत्ति","abdaria"
"आवेदन","abdat"
"आशय","Abdel"
"आशा","Abd-el-Kadir"
"आशाजनक","Abd-el-Krim"
"आशावादी","Abdella"
"आशीर्वाद","Abderhalden"
"आश्चर्य","Abderian"
"आश्चर्यचकित","Abderite"
"आश्चर्यजनक","Abderus"
"आश्रय","abdest"
"आस्तीन","Abdias"
"आह","abdicable"
"आहार","abdicant"
"इकोसिस्टम","abdicate"
"इक्विटी","abdicated"
"इच्छा","abdicates"
"इच्छुक","abdicating"
"इजरायली","abdication"
"इजाजतपत्र","abdications"
"इटालियन","abdicative"
"इट्टा","abdicator"
"इतिहास","Abdiel"
"इतिहासकार","abditive"
"इनपुट","abditory"
"इनाम","abdom"
"इन्च","abdomen"
"इन्जिन","abdomens"
"इन्जिनियर","abdomen's"
"इन्जिनियरिङ्","abdomina"
"इन्टरनेट","abdominal"
"इन्टरफेस","Abdominales"
"इन्धन","abdominalia"
"इमानदार","abdominalian"
"इमानदारीपूर्वक","abdominally"
"इमेल","abdominals"
"इ-मेल","abdominoanterior"
"इराकी","abdominocardiac"
"इरादा","abdominocentesis"
"इरानी","abdominocystic"
"इलेक्ट्रोनिक","abdominogenital"
"इशारा","abdominohysterectomy"
"इस्लाम","abdominohysterotomy"
"इस्लामिक","abdominoposterior"
"ईर्ष्यालु","abdominoscope"
"ईश्वरीय","abdominoscopy"
"उचाइ","abdominothoracic"
"उचित","abdominous"
"उच्च","abdomino-uterotomy"
"उच्चारण","abdominovaginal"
"उछाल","abdominovesical"
"उज्यालो","Abdon"
"उठाउनु","Abdu"
"उठ्नु","abduce"
"उडान","abduced"
"उड्नु","abducens"
"उत्कृष्ट","abducent"
"उत्तर","abducentes"
"उत्तराधिकार","abduces"
"उत्तरी","abducing"
"उत्तेजित","abduct"
"उत्पत्ति","abducted"
"उत्पादक","abducting"
"उत्पादकता","abduction"
"उत्पादन","abductions"
"उत्पीडन","abduction's"
"उत्प्रेरित","abductor"
"उत्सर्जन","abductores"
"उत्सव","abductors"
"उत्साह","abductor's"
"उत्साहित","abducts"
"उत्सुक","Abdul"
"उथले","Abdul-Aziz"
"उदार","Abdul-baha"
"उदास","Abdulla"
"उदाहरण","Abe"
"उदीयमान","a-be"
"उद्घाटन","abeam"
"उद्देश्य","abear"
"उद्धरण","abearance"
"उद्यम","Abebi"
"उद्यमी","abecedaire"
"उद्योग","abecedary"
"उधारो","abecedaria"
"उनको","abecedarian"
"उनी","abecedarians"
"उनीहरु","abecedaries"
"उन्नत","abecedarium"
"उप","abecedarius"
"उपकरण","abed"
"उपग्रह","abede"
"उपचार","abedge"
"उपज","Abednego"
"उपत्यका","abegge"
"उपनगर","Abey"
"उपनगरीय","abeyance"
"उपनिवेश","abeyances"
"उपन्यास","abeyancy"
"उपभोक्ता","abeyancies"
"उपभोग","abeyant"
"उपयुक्त","abeigh"
"उपयोगिता","ABEL"
"उपयोगी","Abelard"
"उपलब्ध","abele"
"उपलब्धता","abeles"
"उपलब्धि","Abelia"
"उपस्थित","Abelian"
"उपस्थिति","Abelicea"
"उपहार","Abelite"
"उभिएको","Abell"
"उम","Abelmoschus"
"उमाल्नु","abelmosk"
"उमेर","abelmosks"
"उम्मेदवार","abelmusk"
"उल्टो","Abelonian"
"उल्लङ्घन","Abelson"
"उल्लेख","abeltree"
"उल्लेखनीय","Abencerrages"
"उष्णकटिबंधीय","abend"
"उसको","abends"
"उसलाई","Abenezra"
"उस्तै","abenteric"
"उह","Abeokuta"
"उहाँ","abepithymia"
"ऊर्जा","ABEPP"
"ऋण","Abercromby"
"एउटा","Abercrombie"
"एकजुट","Aberdare"
"एकता","aberdavine"
"एकदम","Aberdeen"
"एकमात्र","Aberdeenshire"
"एकर","aberdevine"
"एकल","Aberdonian"
"एकाइ","aberduvine"
"एकाग्रता","Aberfan"
"एकीकरण","Aberglaube"
"एकीकृत","Aberia"
"एकेडेमी","Aberystwyth"
"एक्लै","Abernant"
"एक्लो","Abernathy"
"एघार","abernethy"
"एजेन्ट","Abernon"
"एजेन्डा","aberr"
"एजेन्सी","aberrance"
"एड्स","aberrancy"
"एथलेटिक","aberrancies"
"एन्ड्रोइड","aberrant"
"एप","aberrantly"
"एपिसोड","aberrants"
"एयरलाइन","aberrate"
"एल्बम","aberrated"
"एशियाली","aberrating"
"एसिड","aberration"
"एह","aberrational"
"ऐतिहासिक","aberrations"
"ऐना","aberrative"
"ओक","aberrator"
"ओगट्नु","aberrometer"
"ओछ्यान","aberroscope"
"ओठ","Abert"
"ओपेरा","aberuncate"
"ओलम्पिक","aberuncator"
"ओह","abesse"
"औंला","abessive"
"औंस","abet"
"औचित्य","abetment"
"औद्योगिक","abetments"
"औपचारिक","abets"
"औपनिवेशिक","abettal"
"औषधि","abettals"
"औषधी","abetted"
"औसत","abetter"
"कंक्रीट","abetters"
"कक्ष","abetting"
"कक्षा","abettor"
"कचौरा","abettors"
"कच्चा","Abeu"
"कछुवा","abevacuation"
"कट्टरपन्थी","abfarad"
"कठिन","abfarads"
"कठिनाई","ABFM"
"कठोर","Abgatha"
"कडा","ABHC"
"कण","abhenry"
"कतै","abhenries"
"कथन","abhenrys"
"कथा","abhinaya"
"कथाकार","abhiseka"
"कदम","abhominable"
"कन्टेनर","abhor"
"कन्सर्ट","abhorred"
"कप","abhorrence"
"कपडा","abhorrences"
"कपाल","abhorrency"
"कपास","abhorrent"
"कप्तान","abhorrently"
"कफी","abhorrer"
"कब्जा","abhorrers"
"कम","abhorrible"
"कमजोर","abhorring"
"कमजोरी","abhors"
"कमबख्त","Abhorson"
"कमाई","ABI"
"कमाउने","aby"
"कमाण्डर","Abia"
"कमी","Abiathar"
"कमेडी","Abib"
"कम्तिमा","abichite"
"कम्पनी","abidal"
"कम्प्युटर","abidance"
"कम्बल","abidances"
"कम्युनिस्ट","abidden"
"कर","abide"
"करदाता","abided"
"कराउनु","abider"
"करुणा","abiders"
"कर्तव्य","abides"
"कर्नल","abidi"
"कर्पोरेट","abiding"
"कर्मचारी","abidingly"
"कर्मचारीहरु","abidingness"
"कल","Abidjan"
"कलम","Abydos"
"कलर","Abie"
"कला","abye"
"कलाकार","abied"
"कलात्मक","abyed"
"कलेक्टर","abiegh"
"कलेज","abience"
"कलेजो","abient"
"कल्पना","Abies"
"कल्याण","abyes"
"कवरेज","abietate"
"कवि","abietene"
"कविता","abietic"
"कष्ट","abietin"
"कसम","Abietineae"
"कसरत","abietineous"
"कसरी","abietinic"
"कसलाई","abietite"
"कहाँ","Abiezer"
"कहिले","Abigael"
"कहिलेकाहीँ","Abigail"
"कहिल्यै","abigails"
"काँटा","abigailship"
"काँध","Abigale"
"कांग्रेस","abigeat"
"कांग्रेसको","abigei"
"कांग्रेसी","abigeus"
"काउन्टर","Abihu"
"काउन्टी","abying"
"काउबॉय","Abijah"
"काका","Abyla"
"काकी","abilao"
"कागज","Abilene"
"कागजात","abiliment"
"कागती","Abilyne"
"काट्नु","abilitable"
"काठ","ability"
"काठको","abilities"
"कान","ability's"
"कानाफूसी","abilla"
"कानुन","abilo"
"कानूनी","abime"
"कापी","Abimelech"
"काम","Abineri"
"कामदार","Abingdon"
"कार","Abinger"
"कारक","Abington"
"कारखाना","Abinoam"
"कारण","Abinoem"
"कार्ट","abintestate"
"कार्टुन","abiogeneses"
"कार्ड","abiogenesis"
"कार्पेट","abiogenesist"
"कार्बन","abiogenetic"
"कार्बोहाइड्रेट","abiogenetical"
"कार्य","abiogenetically"
"कार्यकर्ता","abiogeny"
"कार्यकारी","abiogenist"
"कार्यक्रम","abiogenous"
"कार्यवाही","abiology"
"कार्यशाला","abiological"
"कार्यस्थल","abiologically"
"कार्यात्मक","abioses"
"कार्यान्वयन","abiosis"
"कार्यालय","abiotic"
"कालो","abiotical"
"काल्पनिक","abiotically"
"किट","abiotrophy"
"किन","abiotrophic"
"किनभने","Abipon"
"किनमेल","Abiquiu"
"किनारा","abir"
"किन्न","abirritant"
"किन्नुहोस्","abirritate"
"किफायती","abirritated"
"किबोर्ड","abirritating"
"किरण","abirritation"
"किराना","abirritative"
"किशोर","abys"
"किसान","Abisag"
"कीरा","Abisha"
"कुकी","Abishag"
"कुकुर","Abisia"
"कुखुरा","abysm"
"कुञ्जी","abysmal"
"कुतिया","abysmally"
"कुना","abysms"
"कुरा","Abyss"
"कुराकानी","abyssa"
"कुरूप","abyssal"
"कुर्सी","abysses"
"कुल","Abyssinia"
"कुलीन","Abyssinian"
"कुशल","abyssinians"
"कुहिनो","abyssobenthonic"
"कूटनीतिक","abyssolith"
"कृतज्ञ","abyssopelagic"
"कृत्रिम","abyss's"
"कृपया","abyssus"
"कृषि","abiston"
"के","abit"
"केक","Abitibi"
"केटा","Abiu"
"केटी","abiuret"
"केन्द्र","Abixah"
"केन्द्रीय","abject"
"केबल","abjectedness"
"केबिन","abjection"
"केरा","abjections"
"केहि","abjective"
"केही","abjectly"
"कैदी","abjectness"
"को","abjectnesses"
"कोइला","abjoint"
"कोट","abjudge"
"कोठरी","abjudged"
"कोठा","abjudging"
"कोड","abjudicate"
"कोण","abjudicated"
"कोमल","abjudicating"
"कोर","abjudication"
"कोरिडोर","abjudicator"
"कोरियाली","abjugate"
"कोर्प्स","abjunct"
"कोर्रा","abjunction"
"कोलाहल","abjunctive"
"कोलेस्ट्रोल","abjuration"
"कोष","abjurations"
"कोही","abjuratory"
"कौशल","abjure"
"क्याथोलिक","abjured"
"क्यानभास","abjurement"
"क्यानाडाली","abjurer"
"क्यान्सर","abjurers"
"क्याफे","abjures"
"क्याबिनेट","abjuring"
"क्यामेरा","abkar"
"क्याम्पस","abkari"
"क्यारियर","abkary"
"क्यालोरी","Abkhas"
"क्यासिनो","Abkhasia"
"क्रमबद्ध","Abkhasian"
"क्रमशः","Abkhaz"
"क्रल","Abkhazia"
"क्रस","Abkhazian"
"क्रान्ति","abl"
"क्रान्तिकारी","abl."
"क्रिश्चियन","ablach"
"क्रिसमस","ablactate"
"क्रिस्टल","ablactated"
"क्रीम","ablactating"
"क्रूज","ablactation"
"क्रूर","ablaqueate"
"क्रेडिट","ablare"
"क्रोध","A-blast"
"क्रोधित","ablastemic"
"क्रोनिकल","ablastin"
"क्लब","ablastous"
"क्लर्क","ablate"
"क्लस्टर","ablated"
"क्लासिक","ablates"
"क्लिनिक","ablating"
"क्लिनिकल","ablation"
"क्लिप","ablations"
"क्वान्टम","ablatitious"
"क्वार्टरब्याक","ablatival"
"क्षण","ablative"
"क्षति","ablatively"
"क्षतिपूर्ति","ablatives"
"क्षमता","ablator"
"क्षितिज","ablaut"
"क्षेत्र","ablauts"
"क्षेत्रीय","ablaze"
"खगोलविद्","able"
"खजाना","able-bodied"
"खडा","able-bodiedness"
"खण्ड","ableeze"
"खतरनाक","ablegate"
"खतरा","ablegates"
"खन्ने","ablegation"
"खन्याउनु","able-minded"
"खपत","able-mindedness"
"खरानी","ablend"
"खराब","ableness"
"खरायो","ablepharia"
"खरिद","ablepharon"
"खरिदकर्ता","ablepharous"
"खरोंच","Ablepharus"
"खर्च","ablepsy"
"खलिहान","ablepsia"
"खल्ती","ableptical"
"खाडल","ableptically"
"खाडी","abler"
"खाता","ables"
"खातिर","ablesse"
"खाना","ablest"
"खानु","ablet"
"खाने","ablewhackets"
"खाम","ably"
"खारेज","ablings"
"खाली","ablins"
"खुट्टा","ablock"
"खुदरा","abloom"
"खुद्रा","ablow"
"खुराक","ABLS"
"खुलासा","ablude"
"खुशी","abluent"
"खुसीले","abluents"
"खेत","ablush"
"खेल","ablute"
"खेलकुद","abluted"
"खेलाडी","ablution"
"खेलौना","ablutionary"
"खेल्नु","ablutions"
"खैरो","abluvion"
"खोज","ABM"
"खोज्दै","abmho"
"खोज्नुहोस्","abmhos"
"खोप","abmodality"
