"Esperanto","English"
"abdiki","aardvark"
"aberacii","aardvarks"
"abĵuri","aardwolf"
"ablacii","aardwolves"
"abnegacii","Aaren"
"abomeni","Aargau"
"aboni","aargh"
"abonpagi","Aarhus"
"aborti","Aarika"
"abrazii","Aaron"
"abscesi","Aaronic"
"absolvi","Aaronical"
"absorbi","Aaronite"
"abstini","Aaronitic"
"abstrakti","Aaron's-beard"
"abundegi","Aaronsburg"
"abundi","Aaronson"
"aĉetadi","AARP"
"aĉeti","aarrgh"
"acidizi","aarrghh"
"adapti","Aaru"
"adheri","AAS"
"adiaŭi","A'asia"
"adicii","aasvogel"
"administri","aasvogels"
"admoni","AAU"
"adopti","AAUP"
"adori","AAUW"
"adresi","AAVSO"
"adsorbi","AAX"
"adulteri","A-axes"
"adulti","A-axis"
"advokati","AB"
"aeri","ab-"
"aerumi","ABA"
"aerveturi","Ababa"
"aervojaĝi","Ababdeh"
"afekcii","Ababua"
"afekti","abac"
"afini","abaca"
"afiŝi","abacay"
"aflikti","abacas"
"afranki","abacate"
"agaci","abacaxi"
"agi","abaci"
"aĝi","abacinate"
"aĝioti","abacination"
"agitadi","abacisci"
"agiti","abaciscus"
"aglomeri","abacist"
"aglutini","aback"
"agnoski","abacli"
"agonii","Abaco"
"agordi","abacot"
"agrafi","abacterial"
"agregi","abactinal"
"agresi","abactinally"
"aĥi","abaction"
"aĵuri","abactor"
"akapari","abaculi"
"akceli","abaculus"
"akcenti","abacus"
"akcepti","abacuses"
"akiradi","Abad"
"akiri","abada"
"aklami","Abadan"
"aklimatizi","Abaddon"
"akomodi","abadejo"
"akompani","abadengo"
"akordi","abadia"
"akrediti","Abadite"
"akri","abaff"
"aksumi","abaft"
"aktivi","Abagael"
"aktori","Abagail"
"akumuli","Abagtha"
"akuŝi","abay"
"akvaforti","abayah"
"akvi","Abailard"
"akvumi","abaisance"
"alarmi","abaised"
"albati","abaiser"
"alceli","abaisse"
"aldoni","abaissed"
"alezi","abaka"
"alfali","Abakan"
"alfiksi","abakas"
"alflari","Abakumov"
"alflugi","abalation"
"alflui","abalienate"
"alglui","abalienated"
"algrimpi","abalienating"
"alifari","abalienation"
"alifasoni","abalone"
"alii","abalones"
"alikonstrui","Abama"
"alikudri","abamp"
"alinei","abampere"
"aliteracii","abamperes"
"aliverki","abamps"
"alĵeti","Abana"
"aljuĝi","aband"
"aljungi","abandon"
"alkalkuli","abandonable"
"alkonduki","abandoned"
"alkonstrui","abandonedly"
"alkrani","abandonee"
"alkroĉi","abandoner"
"alkudri","abandoners"
"alkuri","abandoning"
"allasi","abandonment"
"alligi","abandonments"
"allogegi","abandons"
"allogi","abandum"
"alludi","abanet"
"alluti","abanga"
"almarteli","Abanic"
"almeti","abannition"
"almiksi","Abantes"
"almozdoni","abapical"
"almozpeti","abaptiston"
"alnaĝi","abaptistum"
"alnajli","Abarambo"
"alnavigi","Abarbarea"
"aloji","Abaris"
"alpagi","abarthrosis"
"alparoli","abarticular"
"alpaŝi","abarticulation"
"alpeli","Abas"
"alpiki","abase"
"alpingli","abased"
"alportadi","abasedly"
"alporti","abasedness"
"alpremi","abasement"
"alpreni","abasements"
"alprosperi","abaser"
"alpuŝi","abasers"
"alrajdi","abases"
"alrampi","Abasgi"
"alrapidi","abash"
"alruli","abashed"
"alservi","abashedly"
"alŝipi","abashedness"
"alskribi","abashes"
"alŝovi","abashing"
"alŝraŭbi","abashless"
"alŝuti","abashlessly"
"alsupri","abashment"
"alterni","abashments"
"alti","abasia"
"altiri","abasias"
"altondi","abasic"
"altranĉi","abasing"
"aludi","abasio"
"alvali","abask"
"alveni","abassi"
"alverŝi","Abassieh"
"alveturi","Abassin"
"alvoki","abastard"
"amaĵi","abastardize"
"amasbuĉi","abastral"
"ambicii","abatable"
"amegi","abatage"
"ameli","Abate"
"amelumi","abated"
"amendi","abatement"
"amindumi","abatements"
"ami","abater"
"amkaresi","abaters"
"amludi","abates"
"amnestii","abatic"
"amortizi","abating"
"ampleksi","abatis"
"amplifi","abatised"
"amputi","abatises"
"amuzi","abatjour"
"analizi","abatjours"
"anasiri","abaton"
"anaspaŝi","abator"
"anatemi","abators"
"aneksi","ABATS"
"anestezi","abattage"
"angori","abattis"
"anheli","abattised"
"ankrumi","abattises"
"anonci","abattoir"
"anserbleki","abattoirs"
"anserpaŝi","abattu"
"anstataŭi","abattue"
"antaŭdati","Abatua"
"antaŭdestini","abature"
"antaŭdiri","abaue"
"antaŭendati","abave"
"antaŭeviti","abaxial"
"antaŭgardi","abaxile"
"antaŭi","abaze"
"antaŭĵeti","abb"
"antaŭkalkuli","Abba"
"antaŭmencii","abbacy"
"antaŭpagi","abbacies"
"antaŭscii","abbacomes"
"antaŭsenti","Abbadide"
"antaŭvidi","Abbai"
"anticipi","abbaye"
"antisepsi","abbandono"
"apanaĝi","abbas"
"aparteni","abbasi"
"apelacii","Abbasid"
"aperadi","abbassi"
"aperi","Abbassid"
"aperti","Abbasside"
"aplaŭdi","Abbate"
"apliki","abbatial"
"apogei","abbatical"
"apogi","abbatie"
"apologii","Abbe"
"apostati","Abbey"
"apostrofi","abbeys"
"apoteozi","abbey's"
"apreci","abbeystead"
"apreti","abbeystede"
"aprezi","abbes"
"aprobi","abbess"
"aproksimi","abbesses"
"apudesti","abbest"
"apudi","Abbevilean"
"aranĝi","Abbeville"
"arbarizi","Abbevillian"
"arbarumi","Abbi"
"arbitracii","Abby"
"ardeti","Abbie"
"ardi","Abbye"
"arestadi","Abbyville"
"aresti","abboccato"
"arĝenti","abbogada"
"argumenti","Abbot"
"arigi","abbotcy"
"arkpafi","abbotcies"
"arlekeni","abbotnullius"
"armaturi","abbotric"
"armi","abbots"
"arogi","abbot's"
"aroki","Abbotsen"
"aromi","Abbotsford"
"aromizi","abbotship"
"artifiki","abbotships"
"artikigi","Abbotson"
"artiki","Abbotsun"
"artikulacii","Abbott"
"ascendi","Abbottson"
"asepsi","Abbottstown"
"aserti","Abboud"
"asfalti","abbozzo"
"asfiksii","ABBR"
"asigni","abbrev"
"asimili","abbreviatable"
"asisti","abbreviate"
"asocii","abbreviated"
"aspekti","abbreviately"
"aspergi","abbreviates"
"aspiri","abbreviating"
"ataki","abbreviation"
"atenci","abbreviations"
"atendi","abbreviator"
"atenti","abbreviatory"
"atentostari","abbreviators"
"atenui","abbreviature"
"atesti","abbroachment"
"atingi","ABC"
"atribui","abcess"
"atuti","abcissa"
"aŭdaci","abcoulomb"
"aŭdi","ABCs"
"aŭguri","abd"
"aŭkcii","abdal"
"aŭreoli","abdali"
"aŭrori","abdaria"
"aŭskulti","abdat"
"aŭskultumi","Abdel"
"aŭtori","Abd-el-Kadir"
"avanci","Abd-el-Krim"
"avari","Abdella"
"averii","Abderhalden"
"averti","Abderian"
"avidi","Abderite"
"avizi","Abderus"
"babilaĉi","abdest"
"babileti","Abdias"
"babili","abdicable"
"bagatelumi","abdicant"
"bagri","abdicate"
"baki","abdicated"
"balai","abdicates"
"balanceti","abdicating"
"balanci","abdication"
"balasti","abdications"
"balbuteti","abdicative"
"balbuti","abdicator"
"baloti","Abdiel"
"balzami","abditive"
"bandaĝi","abditory"
"bani","abdom"
"bankedi","abdomen"
"bankroti","abdomens"
"bapti","abdomen's"
"barakti","abdomina"
"bareleksoni","abdominal"
"barelsoni","Abdominales"
"barfermi","abdominalia"
"barikadi","abdominalian"
"bari","abdominally"
"baskuli","abdominals"
"bastoni","abdominoanterior"
"batali","abdominocardiac"
"batdifekti","abdominocentesis"
"batetendi","abdominocystic"
"bateti","abdominogenital"
"batfermi","abdominohysterectomy"
"batfiksi","abdominohysterotomy"
"batformi","abdominoposterior"
"bati","abdominoscope"
"batkirli","abdominoscopy"
"batkuri","abdominothoracic"
"batpremi","abdominous"
"batprepari","abdomino-uterotomy"
"batregali","abdominovaginal"
"batui","abdominovesical"
"baŭmi","Abdon"
"bavi","Abdu"
"bazi","abduce"
"bebi","abduced"
"bedaŭri","abducens"
"bei","abducent"
"bekfrapi","abducentes"
"beki","abduces"
"bekopiki","abducing"
"bekpiki","abduct"
"beli","abducted"
"bendi","abducting"
"beni","abduction"
"betoni","abductions"
"beveli","abduction's"
"bezoni","abductor"
"bicikli","abductores"
"bierfari","abductors"
"bilanci","abductor's"
"bindi","abducts"
"biri","Abdul"
"bisekci","Abdul-Aziz"
"bisi","Abdul-baha"
"bivaki","Abdulla"
"blagi","Abe"
"blasfemi","a-be"
"blekegi","abeam"
"bleketi","abear"
"blekimiti","abearance"
"bleki","Abebi"
"blendi","abecedaire"
"bloki","abecedary"
"blovegi","abecedaria"
"bloveti","abecedarian"
"blovi","abecedarians"
"blufi","abecedaries"
"bluti","abecedarium"
"boardi","abecedarius"
"bobeli","abed"
"bobeni","abede"
"bojeti","abedge"
"boji","Abednego"
"bojkoti","abegge"
"boksi","Abey"
"boleti","abeyance"
"boli","abeyances"
"bolti","abeyancy"
"bondeziri","abeyancies"
"bonfarti","abeyant"
"bonĝui","abeigh"
"bonifiki","ABEL"
"bonkonduti","Abelard"
"bonodori","abele"
"bontrovi","abeles"
"bonvoli","Abelia"
"borderi","Abelian"
"bordi","Abelicea"
"bori","Abelite"
"bovrigardi","Abell"
"brajli","Abelmoschus"
"brakluli","abelmosk"
"brakteni","abelmosks"
"brakumi","abelmusk"
"branĉoplanti","Abelonian"
"breĉi","Abelson"
"bredi","abeltree"
"bremsi","Abencerrages"
"brezi","abend"
"bridi","abends"
"brileti","Abenezra"
"brili","abenteric"
"brilvibri","Abeokuta"
"brodi","abepithymia"
"brogi","ABEPP"
"brogvundi","Abercromby"
"brokanti","Abercrombie"
"broki","Aberdare"
"bronzi","aberdavine"
"brosi","Aberdeen"
"broŝuri","Aberdeenshire"
"bruegi","aberdevine"
"brueti","Aberdonian"
"brufermi","aberduvine"
"brui","Aberfan"
"bruldifekti","Aberglaube"
"brulekzekuti","Aberia"
"bruleti","Aberystwyth"
"bruli","Abernant"
"brulkonsumi","Abernathy"
"brulmarki","abernethy"
"brulradii","Abernon"
"brulstampi","aberr"
"brultuŝi","aberrance"
"brulvundi","aberrancy"
"brunrosti","aberrancies"
"bruski","aberrant"
"brustoŝveli","aberrantly"
"buĉi","aberrants"
"bui","aberrate"
"buki","aberrated"
"bukli","aberrating"
"burĝongrefti","aberration"
"burĝoni","aberrational"
"buteri","aberrations"
"butikumi","aberrative"
"buti","aberrator"
"butoni","aberrometer"
"butonumi","aberroscope"
"ĉagreni","Abert"
"ĉarlatani","aberuncate"
"ĉarmi","aberuncator"
"ĉarpenti","abesse"
"ĉarti","abessive"
"ĉasakiri","abet"
"ĉasalpeli","abetment"
"ĉasi","abetments"
"cedi","abets"
"ĉeesti","abettal"
"ĉefi","abettals"
"celfiksi","abetted"
"celi","abetter"
"celumi","abetters"
"ĉeni","abetting"
"ĉenlabori","abettor"
"centralizi","abettors"
"centrifugi","Abeu"
"centri","abevacuation"
"cenzuri","abfarad"
"cerboŝtopi","abfarads"
"cerbumi","ABFM"
"ĉerpi","Abgatha"
"cervobleki","ABHC"
"ĉesi","abhenry"
"ĉevalbleki","abhenries"
"cezari","abhenrys"
"cicumi","abhinaya"
"ciferi","abhiseka"
"ĉifi","abhominable"
"ĉifri","abhor"
"ĉikani","abhorred"
"ciri","abhorrence"
"ĉirkaŭbari","abhorrences"
"ĉirkaŭbraki","abhorrency"
"ĉirkaŭfermi","abhorrent"
"ĉirkaŭflati","abhorrently"
"ĉirkaŭflirti","abhorrer"
"ĉirkaŭflugadi","abhorrers"
"ĉirkaŭflugi","abhorrible"
"ĉirkaŭhaki","abhorring"
"ĉirkaŭiri","abhors"
"ĉirkaŭi","Abhorson"
"ĉirkaŭkreski","ABI"
"ĉirkaŭkudri","aby"
"ĉirkaŭkuri","Abia"
"ĉirkaŭlaĉi","Abiathar"
"ĉirkaŭligi","Abib"
"ĉirkaŭlimi","abichite"
"ĉirkaŭmanĝi","abidal"
"ĉirkaŭmeti","abidance"
"ĉirkaŭmordi","abidances"
"ĉirkaŭpaki","abidden"
"ĉirkaŭpalpi","abide"
"ĉirkaŭplekti","abided"
"ĉirkaŭpremi","abider"
"ĉirkaŭpreni","abiders"
"ĉirkaŭtranĉi","abides"
"ĉirkaŭturni","abidi"
"ĉirkaŭvolvi","abiding"
"ĉirkaŭvuali","abidingly"
"cirkuli","abidingness"
"cirkumcidi","Abidjan"
"ĉirpi","Abydos"
"citi","Abie"
"civilizi","abye"
"cizeli","abied"
"ĉizi","abyed"
"ĉizoji","abiegh"
"dabi","abience"
"damaĝi","abient"
"damni","Abies"
"dampi","abyes"
"danci","abietate"
"dandi","abietene"
"danĝeri","abietic"
"danki","abietin"
"dati","Abietineae"
"datumi","abietineous"
"daŭri","abietinic"
"debari","abietite"
"debati","Abiezer"
"debeti","Abigael"
"debuti","Abigail"
"decidi","abigails"
"deĉifri","abigailship"
"deci","Abigale"
"dediĉi","abigeat"
"dedukti","abigei"
"defali","abigeus"
"defendi","Abihu"
"defii","abying"
"defili","Abijah"
"deflori","Abyla"
"defluadi","abilao"
"deflugi","Abilene"
"deflui","abiliment"
"deformi","Abilyne"
"defraŭdi","abilitable"
"defrotadi","ability"
"defrotegi","abilities"
"defroti","ability's"
"degeli","abilla"
