"Turkmen","English"
"aah","aardvark"
"abadançylygy","aardvarks"
"abadançylyk","aardwolf"
"abatlamak","aardwolves"
"abraý","Aaren"
"abstrakt","Aargau"
"aç","aargh"
"aç-açan","Aarhus"
"açary","Aarika"
"açlyk","Aaron"
"açmak","Aaronic"
"açyk","Aaronical"
"açyl","Aaronite"
"açyş","Aaronitic"
"ada","Aaron's-beard"
"adalat","Aaronsburg"
"adalatly","Aaronson"
"adalatsyz","AARP"
"adam","aarrgh"
"adamlar","aarrghh"
"adamsy","Aaru"
"adamzat","AAS"
"adat","A'asia"
"adatça","aasvogel"
"adaty","aasvogels"
"ädim","AAU"
"administratiw","AAUP"
"administrator","AAUW"
"adwokat","AAVSO"
"ady","AAX"
"adyndan","A-axes"
"afişa","A-axis"
"Afrika","AB"
"afro-amerikan","ab-"
"agaç","ABA"
"agent","Ababa"
"ägirt","Ababdeh"
"agla","Ababua"
"aglaba","abac"
"aglamak","abaca"
"agramy","abacay"
"agressiw","abacas"
"agşam","abacate"
"agşamlyk","abacaxi"
"agyr","abaci"
"agyrlyk","abacinate"
"agyry","abacination"
"agyryly","abacisci"
"agyz","abaciscus"
"agza","abacist"
"agzalyk","aback"
"agzybir","abacli"
"agzybirlik","Abaco"
"ah","abacot"
"äheňi","abacterial"
"ahlak","abactinal"
"ahlaklylyk","abactinally"
"ähliumumy","abaction"
"ähmiýeti","abactor"
"ähmiýetli","abaculi"
"ähtimal","abaculus"
"ähtimallyk","abacus"
"ahyrky","abacuses"
"ahyrynda","Abad"
"ajaýyp","abada"
"ajy","Abadan"
"ak","Abaddon"
"akademiki","abadejo"
"akademiýa","abadengo"
"aklawçy","abadia"
"akr","Abadite"
"aksent","abaff"
"aksiýa","abaft"
"aktiwist","Abagael"
"aktiwleriň","Abagail"
"aktrisa","Abagtha"
"aktýor","abay"
"akula","abayah"
"akyl","Abailard"
"akylly","abaisance"
"akym","abaised"
"akymy","abaiser"
"al","abaisse"
"alada","abaissed"
"aladalanýar","abaka"
"aladaly","Abakan"
"aladasy","abakas"
"alamat","Abakumov"
"albom","abalation"
"aldamak","abalienate"
"älemi","abalienated"
"älem-jahan","abalienating"
"alfa","abalienation"
"alıntı","abalone"
"aljyraňňy","abalones"
"alkogol","Abama"
"alma","abamp"
"almak","abampere"
"alternatiwasy","abamperes"
"alty","abamps"
"altyn","Abana"
"altynjy","aband"
"alyjy","abandon"
"alym","abandonable"
"alyş-çalyş","abandoned"
"amaly","abandonedly"
"amatly","abandonee"
"ambisiýa","abandoner"
"Amerikan","abandoners"
"ammar","abandoning"
"aň","abandonment"
"analitik","abandonments"
"android","abandons"
"aň-düşünje","abandum"
"anket","abanet"
"anketa","abanga"
"aňlatma","Abanic"
"anonim","abannition"
"aňsat","Abantes"
"anyk","abapical"
"aňyrsynda","abaptiston"
"äpet","abaptistum"
"Aprel","Abarambo"
"araba","Abarbarea"
"araçäk","Abaris"
"arada","abarthrosis"
"aragatnaşyk","abarticular"
"arakesme","abarticulation"
"aralyk","Abas"
"arap","abase"
"arassa","abased"
"arasynda","abasedly"
"är-aýal","abasedness"
"arena","abasement"
"argument","abasements"
"arhitektor","abaser"
"arhitektura","abasers"
"arhiw","abases"
"arkasynda","Abasgi"
"arkaýyn","abash"
"arslan","abashed"
"artdy","abashedly"
"artdyrmak","abashedness"
"artist","abashes"
"artýar","abashing"
"artykmaç","abashless"
"artykmaçlygydyr","abashlessly"
"artykmaçlyk","abashment"
"arwah","abashments"
"ary","abasia"
"arzan","abasias"
"arzanladyş","abasic"
"arzuw","abasing"
"aşagy","abasio"
"aşagynda","abask"
"aşak","abassi"
"aşakda","Abassieh"
"aşakdaky","Abassin"
"aşaky","abastard"
"aşgazan","abastardize"
"äsgermezlik","abastral"
"aşhana","abatable"
"asly","abatage"
"aslynda","Abate"
"Aslynda","abated"
"asmak","abatement"
"asman","abatements"
"aşpez","abater"
"astronom","abaters"
"asudalyk","abates"
"asyl","abatic"
"asyr","abating"
"at","abatis"
"ata-babasy","abatised"
"atasy","abatises"
"ätiýaçlandyryş","abatjour"
"ätiýaçlyk","abatjours"
"atlet","abaton"
"atribut","abator"
"Attend","abators"
"atyş","ABATS"
"aw","abattage"
"awariýa","abattis"
"awçy","abattised"
"Awgust","abattises"
"awiakompaniýasy","abattoir"
"awtobus","abattoirs"
"awtomatiki","abattu"
"awtomobil","abattue"
"Awtory","Abatua"
"awtoulag","abature"
"aý","abaue"
"Aý","abave"
"aýak","abaxial"
"aýal","abaxile"
"aýaly","abaze"
"aýat","abb"
"aýda","Abba"
"aýdylmaýan","abbacy"
"aýdym","abbacies"
"aýdymçy","abbacomes"
"Aýdym-saz","Abbadide"
"aýlag","Abbai"
"aýlanmak","abbaye"
"aýlaw","abbandono"
"aýlyk","abbas"
"aýna","abbasi"
"aýralyk","Abbasid"
"aýratyn","abbassi"
"aýratynlygy","Abbassid"
"aýry","Abbasside"
"aýrylyşmak","Abbate"
"aýt","abbatial"
"aýy","abbatical"
"aýylganç","abbatie"
"aýyplama","Abbe"
"aýyrmak","Abbey"
"az","abbeys"
"azajyk","abbey's"
"azaltmak","abbeystead"
"azalýar","abbeystede"
"azatlyk","abbes"
"aždarha","abbess"
"Aziýa","abbesses"
"azlyk","abbest"
"bäbek","Abbevilean"
"bag","Abbeville"
"baglanyşyk","Abbevillian"
"bagly","Abbi"
"baglydyr","Abby"
"bagryň","Abbie"
"bagt","Abbye"
"bagtly","Abbyville"
"bagtsyz","abboccato"
"bagtymyza","abbogada"
"bagyr","Abbot"
"bagyşla","abbotcy"
"bagyşlamak","abbotcies"
"Bagyşlaň","abbotnullius"
"baha","abbotric"
"bahalandyrmak","abbots"
"bahana","abbot's"
"bahar","Abbotsen"
"bahasy","Abbotsford"
"bakteriýa","abbotship"
"baky","abbotships"
"bal","Abbotson"
"balak","Abbotsun"
"baldak","Abbott"
"balyk","Abbottson"
"banan","Abbottstown"
"bank","Abboud"
"banka","abbozzo"
"bankir","ABBR"
"bankrot","abbrev"
"bap","abbreviatable"
"bar","abbreviate"
"barada","abbreviated"
"barlag","abbreviately"
"barlaghana","abbreviates"
"barlamak","abbreviating"
"barlaň","abbreviation"
"barlygy","abbreviations"
"barmak","abbreviator"
"barrel","abbreviatory"
"bäş","abbreviators"
"başar","abbreviature"
"başarýar","abbroachment"
"başda","ABC"
"bäsdeş","abcess"
"bäsdeşlik","abcissa"
"baseball","abcoulomb"
"başga","ABCs"
"başgaça","abd"
"basgançak","abdal"
"bäşinji","abdali"
"basketbol","abdaria"
"başla","abdat"
"başlamak","Abdel"
"başlangyç","Abd-el-Kadir"
"başlangyjy","Abd-el-Krim"
"bäsleşigi","Abdella"
"bäsleşik","Abderhalden"
"başlygy","Abderian"
"başlyk","Abderite"
"basym","Abderus"
"basyň","abdest"
"başyna","Abdias"
"başyndaky","abdicable"
"basyp","abdicant"
"basyş","abdicate"
"bat","abdicated"
"batareýa","abdicates"
"batyr","abdicating"
"batyrgaý","abdication"
"baý","abdications"
"baýdak","abdicative"
"baýlyk","abdicator"
"baýrak","Abdiel"
"baýramçylyk","abditive"
"bazary","abditory"
"bed","abdom"
"beden","abdomen"
"begenýärin","abdomens"
"beıan","abdomen's"
"bejeriş","abdomina"
"bejermek","abdominal"
"belirsizlik","Abdominales"
"belki","abdominalia"
"bellemek","abdominalian"
"belli","abdominally"
"belligi","abdominals"
"bellik","abdominoanterior"
"benzin","abdominocardiac"
"bergi","abdominocentesis"
"bergili","abdominocystic"
"berilýär","abdominogenital"
"berk","abdominohysterectomy"
"bermek","abdominohysterotomy"
"bermeli","abdominoposterior"
"betbagtçylyk","abdominoscope"
"beton","abdominoscopy"
"beýannama","abdominothoracic"
"beýany","abdominous"
"beýik","abdomino-uterotomy"
"beýiklik","abdominovaginal"
"beýlekiler","abdominovesical"
"beýlekisi","Abdon"
"beýni","Abdu"
"biderek","abduce"
"bidüzgünçilik","abduced"
"biftek","abducens"
"bigünä","abducent"
"bije","abducentes"
"bikanun","abduces"
"bil","abducing"
"bildiriş","abduct"
"bilek","abducted"
"bileleşik","abducting"
"bilelikde","abduction"
"bilen","abductions"
"bilermen","abduction's"
"bilesigeliji","abductor"
"bilesigelijilik","abductores"
"bilet","abductors"
"bilgeşleýin","abductor's"
"bilim","abducts"
"bill","Abdul"
"bina","Abdul-Aziz"
"binýady","Abdul-baha"
"biologiki","Abdulla"
"biologiýa","Abe"
"birden","a-be"
"biri","abeam"
"birikdirmek","abear"
"birleşdirilen","abearance"
"birleşdirmek","Abebi"
"birleşigi","abecedaire"
"birleşmek","abecedary"
"birlik","abecedaria"
"birmeňzeş","abecedarian"
"birnäçe","abecedarians"
"birneme","abecedaries"
"bişiriň","abecedarium"
"bişirmek","abecedarius"
"bit","abed"
"bitarap","abede"
"bitewilik","abedge"
"biz","Abednego"
"biziňki","abegge"
"Biznes","Abey"
"blog","abeyance"
"blokirlemek","abeyances"
"board","abeyancy"
"boga","abeyancies"
"bogun","abeyant"
"bökmek","abeigh"
"bokurdak","ABEL"
"bol","Abelard"
"bolan","abele"
"bölegi","abeles"
"bölejik","Abelia"
"bölek","Abelian"
"bölekleri","Abelicea"
"bölekleýin","Abelite"
"bolmak","Abell"
"bolmasa","Abelmoschus"
"bölmek","abelmosk"
"bolsa-da","abelmosks"
"bolsun","abelmusk"
"bölüm","Abelonian"
"bölünişik","Abelson"
"bölüp","abeltree"
"bolýar","Abencerrages"
"bomba","abend"
"bombalama","abends"
"bonus","Abenezra"
"boot","abenteric"
"borçnamasy","Abeokuta"
"borjy","abepithymia"
"boş","ABEPP"
"boşadyň","Abercromby"
"bosaga","Abercrombie"
"bosagasy","Aberdare"
"bosgun","aberdavine"
"bosh","Aberdeen"
"boşluk","Aberdeenshire"
"böwet","aberdevine"
"bowler","Aberdonian"
"boýag","aberduvine"
"boýamak","Aberfan"
"boýun","Aberglaube"
"bozmak","Aberia"
"bozukluk","Aberystwyth"
"bozulmagy","Abernant"
"brauzer","Abernathy"
"Brauzer","abernethy"
"britan","Abernon"
"Bu","aberr"
"buck","aberrance"
"bud","aberrancy"
"büdremek","aberrancies"
"bug","aberrant"
"bugdaý","aberrantly"
"buhgalteriýa","aberrants"
"bukjasy","aberrate"
"bulam-bujarlyk","aberrated"
"bular","aberrating"
"bulaşdyrmak","aberration"
"bulaşyklyk","aberrational"
"bulut","aberrations"
"buraw","aberrative"
"burç","aberrator"
"burger","aberrometer"
"bürgüt","aberroscope"
"burun","Abert"
"buthana","aberuncate"
"buýruk","aberuncator"
"buýsanç","abesse"
"buýsanýar","abessive"
"buz","abet"
"býudjet","abetment"
"býurosy","abetments"
"çadyr","abets"
"çaga","abettal"
"çagalyk","abettals"
"çaklama","abetted"
"çaklamak","abetter"
"çaklamalar","abetters"
"çaklaň","abetting"
"çäklendirme","abettor"
"çäklendirmek","abettors"
"çäkli","Abeu"
"çakylyk","abevacuation"
"çakyr","abfarad"
"çal","abfarads"
"çalt","ABFM"
"çalyş","Abgatha"
"çalyşmak","ABHC"
"çapmak","abhenry"
"çapyksuwar","abhenries"
"çarçuwa","abhenrys"
"çarçuwasy","abhinaya"
"Çarşenbe","abhiseka"
"çärýek","abhominable"
"çatmak","abhor"
"çaý","abhorred"
"cd","abhorrence"
"çekiç","abhorrences"
"çekişme","abhorrency"
"çekme","abhorrent"
"çekmek","abhorrently"
"çelek","abhorrer"
"çemeleşmesi","abhorrers"
"çempion","abhorrible"
"çempionat","abhorring"
"çenli","abhors"
"çeňňek","Abhorson"
"çep","ABI"
"Çeşme","aby"
"çeýe","Abia"
"çeýeligi","Abiathar"
"çeýnemek","Abib"
"chinese","abichite"
"çig","abidal"
"çilim","abidance"
"çip","abidances"
"Club","abidden"
"çökgünlik","abide"
"çöl","abided"
"çorba","abider"
"çörek","abiders"
"çotga","abides"
"çözgüt","abidi"
"çozmak","abiding"
"çözmek","abidingly"
"çozuş","abidingness"
"cue","Abidjan"
"çukur","Abydos"
"çuň","Abie"
"çuňlugy","abye"
"çuňňur","abied"
"çygly","abyed"
"çykarmak","abiegh"
"çykdajylary","abience"
"çykmak","abient"
"çykyş","Abies"
"çylşyrymly","abyes"
"çynlakaý","abietate"
"çyzgy","abietene"
"çyzmak","abietic"
