"Shona","English"
"a","aardvark"
"aah","aardvarks"
"abandon","aardwolf"
"absorb","aardwolves"
"abstract","Aaren"
"academy","Aargau"
"access","aargh"
"accommodate","Aarhus"
"account","Aarika"
"accounting","Aaron"
"achieve","Aaronic"
"acid","Aaronical"
"acre","Aaronite"
"act","Aaronitic"
"active","Aaron's-beard"
"activist","Aaronsburg"
"ad","Aaronson"
"adapt","AARP"
"adaptation","aarrgh"
"admin","aarrghh"
"administration","Aaru"
"administrative","AAS"
"administrator","A'asia"
"adopt","aasvogel"
"advance","aasvogels"
"advanced","AAU"
"advantage","AAUP"
"adventure","AAUW"
"advertising","AAVSO"
"advise","AAX"
"Advocate","A-axes"
"affect","A-axis"
"afford","AB"
"african","ab-"
"african-american","ABA"
"against","Ababa"
"age","Ababdeh"
"agency","Ababua"
"agenda","abac"
"ago","abaca"
"ah","abacay"
"aide","abacas"
"aids","abacate"
"aigona","abacaxi"
"Aihwa","abaci"
"airport","abacinate"
"akachenjera","abacination"
"akadhakwa","abacisci"
"akafa","abaciscus"
"akamuka","abacist"
"akanaka","aback"
"akapa","abacli"
"akapindura","Abaco"
"akarara","abacot"
"akaroora","abacterial"
"akatendeka","abactinal"
"akatevedzana","abactinally"
"akatsamwa","abaction"
"akavimbika","abactor"
"akawana","abaculi"
"akawanda","abaculus"
"akawedzera","abacus"
"alarm","abacuses"
"album","Abad"
"align","abada"
"alley","Abadan"
"ally","Abaddon"
"alpha","abadejo"
"alter","abadengo"
"am","abadia"
"amai","Abadite"
"Amai","abaff"
"ambassador","abaft"
"ambitious","Abagael"
"ambuya","Abagail"
"american","Abagtha"
"analyze","abay"
"anchor","abayah"
"Android","Abailard"
"anenge","abaisance"
"angle","abaised"
"ani","abaiser"
"ankle","abaisse"
"anofanira","abaissed"
"anogona","abaka"
"anokwanisa","Abakan"
"anonymous","abakas"
"anoshanda","Abakumov"
"anovava","abalation"
"anowirirana","abalienate"
"anoyevedza","abalienated"
"anoziva","abalienating"
"anozivikanwa","abalienation"
"anxious","abalone"
"apart","abalones"
"apo","Abama"
"app","abamp"
"application","abampere"
"appointment","abamperes"
"apuro","abamps"
"arab","Abana"
"architect","aband"
"archive","abandon"
"area","abandonable"
"arena","abandoned"
"aripo","abandonedly"
"array","abandonee"
"art","abandoner"
"article","abandoners"
"artificial","abandoning"
"artist","abandonment"
"artistic","abandonments"
"as","abandons"
"ash","abandum"
"asi","abanet"
"asian","abanga"
"asingaonekwi","Abanic"
"asingazivikanwi","abannition"
"ass","Abantes"
"assemble","abapical"
"assert","abaptiston"
"asset","abaptistum"
"assign","Abarambo"
"assignment","Abarbarea"
"athletic","Abaris"
"atmosphere","abarthrosis"
"auto","abarticular"
"automatic","abarticulation"
"avenue","Abas"
"avo","abase"
"avoid","abased"
"awa","abasedly"
"baba","abasedness"
"babe","abasement"
"background","abasements"
"backup","abaser"
"bag","abasers"
"bakatwa","abases"
"bake","Abasgi"
"bako","abash"
"balance","abashed"
"ban","abashedly"
"banana","abashedness"
"band","abashes"
"bang","abashing"
"banga","abashless"
"bank","abashlessly"
"banker","abashment"
"banking","abashments"
"bapiro","abasia"
"bar","abasias"
"bare","abasic"
"barn","abasing"
"barrel","abasio"
"basa","abask"
"base","abassi"
"baseball","Abassieh"
"basic","Abassin"
"basketball","abastard"
"bastard","abastardize"
"bat","abastral"
"bata","abatable"
"batanidza","abatage"
"batsira","Abate"
"bay","abated"
"bazi","abatement"
"beach","abatements"
"bed","abater"
"belong","abaters"
"bend","abates"
"bendekete","abatic"
"benzi","abating"
"bepa","abatis"
"bere","abatised"
"bhachi","abatises"
"bhaibheri","abatjour"
"bhaisikopo","abatjours"
"bhajeti","abaton"
