"Bosnian","English"
"a","aardvark"
"aah","aardvarks"
"abortus","aardwolf"
"acre","aardwolves"
"ad","Aaren"
"adaptacija","Aargau"
"adekvatan","aargh"
"administracija","Aarhus"
"administrativni","Aarika"
"administrator","Aaron"
"administrirati","Aaronic"
"adolescent","Aaronical"
"adresa","Aaronite"
"advokat","Aaronitic"
"aerodrom","Aaron's-beard"
"afera","Aaronsburg"
"afrički","Aaronson"
"afroamerikanac","AARP"
"agencija","aarrgh"
"agenda","aarrghh"
"agent","Aaru"
"agresivan","AAS"
"ah","A'asia"
"aisle","aasvogel"
"ajkula","aasvogels"
"akademija","AAU"
"akademski","AAUP"
"akcenat","AAUW"
"akcija","AAVSO"
"ako","AAX"
"aktivan","A-axes"
"aktivista","A-axis"
"aktivno","AB"
"aktivnost","ab-"
"akvizicija","ABA"
"alarm","Ababa"
"alat","Ababdeh"
"album","Ababua"
"alfa","abac"
"ali","abaca"
"alijanse","abacay"
"alkohol","abacas"
"alter","abacate"
"alternativa","abacaxi"
"am","abaci"
"amandman","abacinate"
"ambasada","abacination"
"ambasador","abacisci"
"ambicija","abaciscus"
"ambiciozan","abacist"
"američko","aback"
"analitičar","abacli"
"analiza","Abaco"
"anđeo","abacot"
"android","abacterial"
"angažman","abactinal"
"angažovati","abactinally"
"anketa","abaction"
"anksioznost","abactor"
"anoniman","abaculi"
"apartman","abaculus"
"aplikacija","abacus"
"april","abacuses"
"apsolutno","Abad"
"apsorbirati","abada"
"apstraktno","Abadan"
"aranžman","Abaddon"
"arapski","abadejo"
"architect","abadengo"
"arena","abadia"
"argument","Abadite"
"arhitektura","abaff"
"arhiva","abaft"
"armije","Abagael"
"art","Abagail"
"as","Abagtha"
"asistent","abay"
"asistirati","abayah"
"aspekt","Abailard"
"ass","abaisance"
"astronom","abaised"
"at","abaiser"
"atletski","abaisse"
"atmosfera","abaissed"
"atrakcija","abaka"
"atraktivno","Abakan"
"atribut","abakas"
"auto","Abakumov"
"autohtoni","abalation"
"automatski","abalienate"
"autoput","abalienated"
"autor","abalienating"
"autoritet","abalienation"
"autorizovati","abalone"
"avantura","abalones"
"avenija","Abama"
"avgust","abamp"
"aviokompanija","abampere"
"avion","abamperes"
"aviona","abamps"
"azijski","Abana"
"ažurirati","aband"
"babe","abandon"
"baby","abandonable"
"bacač","abandoned"
"bacanje","abandonedly"
"backup","abandonee"
"baka","abandoner"
"bakterije","abandoners"
"balans","abandoning"
"balon","abandonment"
"banana","abandonments"
"banda","abandons"
"bang","abandum"
"banka","abanet"
"bankar","abanga"
"bankarstvo","Abanic"
"bankrot","abannition"
"bar","Abantes"
"barijera","abapical"
"baština","abaptiston"
"bat","abaptistum"
"baterija","Abarambo"
"baza","Abarbarea"
"bazen","Abaris"
"beat","abarthrosis"
"beg","abarticular"
"bejzbol","abarticulation"
"bend","Abas"
"benzin","abase"
"beskorisno","abased"
"beskrajno","abasedly"
"beskućnici","abasedness"
"besplatno","abasement"
"beton","abasements"
"bez","abaser"
"bezbroj","abasers"
"bi","abases"
"biber","Abasgi"
"Biblija","abash"
"biblioteka","abashed"
"bič","abashedly"
"biće","abashedness"
"bicikl","abashes"
"bid","abashing"
"biftek","abashless"
"bijeg","abashlessly"
"bijela","abashment"
"bijes","abashments"
"bik","abasia"
"biljeska","abasias"
"Bilješka","abasic"
"biljka","abasing"
"bilo","abasio"
"biologija","abask"
"biološki","abassi"
"birača","Abassieh"
"biro","Abassin"
"biskup","abastard"
"bit","abastardize"
"bitan","abastral"
"biti","abatable"
"bitka","abatage"
"bitno","Abate"
"bivši","abated"
"bizarno","abatement"
"biznismen","abatements"
"bježi","abater"
"blade","abaters"
"blago","abates"
"blagoslov","abatic"
