"Greek","English"
"αμ","aardvark"
"αν","aardvarks"
"απ","aardwolf"
"αρ","aardwolves"
"ας","Aaren"
"αχ","Aargau"
"γα","aargh"
"γη","Aarhus"
"δα","Aarika"
"δε","Aaron"
"δη","Aaronic"
"ει","Aaronical"
"εκ","Aaronite"
"εν","Aaronitic"
"εξ","Aaron's-beard"
"επ","Aaronsburg"
"ευ","Aaronson"
"ζω","AARP"
"θα","aarrgh"
"κε","aarrghh"
"λα","Aaru"
"μα","AAS"
"με","A'asia"
"μι","aasvogel"
"να","aasvogels"
"νι","AAU"
"ξι","AAUP"
"ον","AAUW"
"ου","AAVSO"
"οχ","AAX"
"πα","A-axes"
"πι","A-axis"
"ρε","AB"
"ρο","ab-"
"σε","ABA"
"σι","Ababa"
"στ","Ababdeh"
"τα","Ababua"
"τη","abac"
"τι","abaca"
"το","abacay"
"φα","abacas"
"φι","abacate"
"χα","abacaxi"
"χι","abaci"
"χμ","abacinate"
"ψι","abacination"
"ώα","abacisci"
"ων","abaciscus"
"ως","abacist"
"άγω","aback"
"αεί","abacli"
"αλά","Abaco"
"αλί","abacot"
"αλτ","abacterial"
"άμα","abactinal"
"αμέ","abactinally"
"άμε","abaction"
"ανά","abactor"
"άνω","abaculi"
"άου","abaculus"
"από","abacus"
"άπω","abacuses"
"αρά","Abad"
"άρα","abada"
"άτι","Abadan"
"αφή","Abaddon"
"βατ","abadejo"
"βαχ","abadengo"
"βηξ","abadia"
"βια","Abadite"
"βία","abaff"
"βοή","abaft"
"βοώ","Abagael"
"βρε","Abagail"
"γαρ","Abagtha"
"γεν","abay"
"για","abayah"
"δεν","Abailard"
"διά","abaisance"
"δις","abaised"
"δον","abaiser"
"δου","abaisse"
"δρω","abaissed"
"δύο","abaka"
"δύω","Abakan"
"έαρ","abakas"
"εγώ","Abakumov"
"εδώ","abalation"
"εις","abalienate"
"έλα","abalienated"
"ενώ","abalienating"
"έξη","abalienation"
"έξι","abalone"
"έξω","abalones"
"επί","Abama"
"εύα","abamp"
"εφέ","abampere"
"έχω","abamperes"
"έως","abamps"
"ζην","Abana"
"ζωή","aband"
"ζων","abandon"
"ζώο","abandonable"
"ήβη","abandoned"
"ήδη","abandonedly"
"ήρα","abandonee"
"ήτα","abandoner"
"ηχώ","abandoners"
"θεά","abandoning"
"θέα","abandonment"
"ίλη","abandonments"
"ίνα","abandons"
"ιόν","abandum"
"ιός","abanet"
"ίσα","abanga"
"και","Abanic"
"καν","abannition"
"κεκ","Abantes"
"κιχ","abapical"
"κοκ","abaptiston"
"κυρ","abaptistum"
"λαξ","Abarambo"
"λέι","Abarbarea"
"λύω","Abaris"
"ματ","abarthrosis"
"μεν","abarticular"
"μην","abarticulation"
"μις","Abas"
"μνα","abase"
"μοβ","abased"
"μου","abasedly"
"μπα","abasedness"
"μυς","abasement"
"μυώ","abasements"
"ναι","abaser"
"νοώ","abasers"
"ντα","abases"
"ντε","Abasgi"
"ντο","abash"
"νυν","abashed"
"όζω","abashedly"
"οκά","abashedness"
"όλο","abashes"
"οξύ","abashing"
"όπα","abashless"
"οπή","abashlessly"
"όσο","abashment"
"ότι","abashments"
"ουκ","abasia"
"ους","abasias"
"ουφ","abasic"
"όχι","abasing"
"όψη","abasio"
"πας","abask"
"πάω","abassi"
"πια","Abassieh"
"πιο","Abassin"
"πόα","abastard"
"ποπ","abastardize"
"που","abastral"
"πού","abatable"
"προ","abatage"
"πυξ","Abate"
"πύο","abated"
"πυρ","abatement"
"πως","abatements"
"πώς","abater"
"ρέω","abaters"
"ροζ","abates"
"ροή","abatic"
"ροΐ","abating"
"ροκ","abatis"
"σαν","abatised"
"σεξ","abatises"
"σερ","abatjour"
"σετ","abatjours"
"σεφ","abaton"
"σία","abator"
"σικ","abators"
"σκι","ABATS"
"σόι","abattage"
"σοκ","abattis"
"σολ","abattised"
"σος","abattises"
"συν","abattoir"
"ταυ","abattoirs"
"τικ","abattu"
"τιμ","abattue"
"ύλη","Abatua"
"υνί","abature"
"υπό","abaue"
"υφή","abave"
"φαΐ","abaxial"
"φαξ","abaxile"
"φευ","abaze"
"φις","abb"
"φως","Abba"
"χαν","abbacy"
"χαφ","abbacies"
"χολ","abbacomes"
"χοπ","Abbadide"
"ψες","Abbai"
"ψιτ","abbaye"
"ωδή","abbandono"
"ωθώ","abbas"
"ώρα","abbasi"
"ώση","Abbasid"
"αβάς","abbassi"
"αγάς","Abbassid"
"άγια","Abbasside"
"αγνή","Abbate"
"άγος","abbatial"
"άγρα","abbatical"
"αγώι","abbatie"
"αδάμ","Abbe"
