"Malagasy","English"
"adala","aardvark"
"adaladala","aardvarks"
"ADIDY","aardwolf"
"adihevitra","aardwolves"
"Adinoy","Aaren"
"adin-tsaina","Aargau"
"adiresy","aargh"
"ADN","Aarhus"
"ady","Aarika"
"ADY","Aaron"
"aelezo","Aaronic"
"afaho","Aaronical"
"afaka","Aaronite"
"afa-mandositra","Aaronitic"
"afangaro","Aaron's-beard"
"afa-po","Aaronsburg"
"afa-tsy","Aaronson"
"AFO","AARP"
"aforeto","aarrgh"
"afovoan-tanàna","aarrghh"
"afovoany","Aaru"
"Afrikana","AAS"
"Afrikana-Amerikana","A'asia"
"ah","aasvogel"
"ahevaheva","aasvogels"
"ahiahiana","AAU"
"ahiahy","AAUP"
"ahitana","AAUW"
"ahitra","AAVSO"
"aho","AAX"
"Ahoana","A-axes"
"AHOANA","A-axis"
"ahy","AB"
"Ahy","ab-"
"aina","ABA"
"aingam-panahy","Ababa"
"Airport","Ababdeh"
"Akademia","Ababua"
"akademika","abac"
"akaiky","abaca"
"AKAIKY","abacay"
"akama","abacas"
"akaniny","abacate"
"akanjo","abacaxi"
"AKANJONAO","abaci"
"ako","abacinate"
"akoho","abacination"
"akondro","abacisci"
"akorandriaka","abaciscus"
"ALA","abacist"
"ALAHADY","aback"
"Alahatra","abacli"
"Alakamisy","Abaco"
"alalana","abacot"
"Alarobia","abacterial"
"alatsinainy","abactinal"
"Alfa","abactinally"
"alikaola","abaction"
"alina","abactor"
"alohan'ny","abaculi"
"alokaloka","abaculus"
"aloky","abacus"
"ambadiky","abacuses"
"ambanivohitra","Abad"
"ambany","abada"
"ambaranay","Abadan"
"ambaratonga","Abaddon"
"am-bava","abadejo"
"amboa","abadengo"
"amboadia","abadia"
"am-boalohany","Abadite"
"ambony","abaff"
"amim-pahombiazana","abaft"
"amim-pitandremana","Abagael"
"AMIN'I","Abagail"
"amin'ny","Abagtha"
"amoron-dranomasina","abay"
"amorontsiraka","abayah"
"ampahany","Abailard"
"ampahibemaso","abaisance"
"AMPAKARINA","abaised"
"am-pamoloanao","abaiser"
"Am-patoriana","abaisse"
"am-pianarana","abaissed"
"Ampianaro","abaka"
"ampiasaina","Abakan"
"Ampiasao","abakas"
"Ampifanaraho","Abakumov"
"AMPIHARO","abalation"
"am-pilaminana","abalienate"
"Ampionòny","abalienated"
"am-po","abalienating"
"am-pofoana","abalienation"
"ampolony","abalone"
"amponga","abalones"
"am-ponja","Abama"
"ampy","abamp"
"an-","abampere"
"anana","abamperes"
"anao","abamps"
"anaovan'ireo","Abana"
"Anarana","aband"
"anaro","abandon"
"anatn'ny","abandonable"
"anaty","abandoned"
"andalan-teny","abandonedly"
"andiana","abandonee"
"andian-dahatsoratra","abandoner"
"andian-teny","abandoners"
"andian-tsambo","abandoning"
"andian-tsoratra","abandonment"
"ANDININ-","abandonments"
"andraikitra","abandons"
"andrana","abandum"
"an-dranomasina","abanet"
"andrasana","abanga"
"andrefana","Abanic"
"ANDREFANA","abannition"
"an-drenivohitra","Abantes"
"ANDRIAMANITRA","abapical"
"andro","abaptiston"
"android","abaptistum"
"androm-piainana","Abarambo"
"angamba","Abarbarea"
"angano","Abaris"
"angidimby","abarthrosis"
"anglisy","abarticular"
"ANGOVO","abarticulation"
"an'i","Abas"
"anjara","abase"
"anjara-raharaha","abased"
"ANJELY","abasedly"
"anjerimanontolo","abasedness"
"ANKA","abasement"
"ANKAFIZO","abasements"
"ankamaroan'ireo","abaser"
"ankapobeny","abasers"
"Ankasitraho","abases"
"ankehitriny","Abasgi"
"ANKEHITRINY","abash"
"ankihibe","abashed"
"ankizilahy","abashedly"
"ankizivavy","abashedness"
"ANKIZY","abashes"
"ankoatra","abashing"
"an'ohatra","abashless"
"anoloana","abashlessly"
"Anontanio","abashment"
"Antenaina","abashments"
"antenatenan'ny","abasia"
"Antenimieran-doholona","abasias"
"antitra","abasic"
"an-toerana","abasing"
"antoka","abasio"
"antonony","abask"
"antontan'isa","abassi"
"Antontan'isa","Abassieh"
"antontany","Abassin"
"antony","abastard"
"an-trano","abastardize"
"an-tsaina","abastral"
"antsantsa","abatable"
"antsapaka","abatage"
"antsasany","Abate"
"antsika","abated"
