"Vietnamese","English"
"a-lô","aardvark"
"a-men","aardvarks"
"a-míp","aardwolf"
"a-pác-thai","aardwolves"
"a-xit","Aaren"
"à","Aargau"
"ả","aargh"
"á","Aarhus"
"ạ","Aarika"
"ác","Aaron"
"ác-mô-ni-ca","Aaronic"
"ách","Aaronical"
"ai","Aaronite"
"ải","Aaronitic"
"ái","Aaron's-beard"
"am","Aaronsburg"
"ám","Aaronson"
"an","AARP"
"an-bom","aarrgh"
"án","aarrghh"
"ang","Aaru"
"ảng","AAS"
"áng","A'asia"
"anh","aasvogel"
"ảnh","aasvogels"
"ánh","AAU"
"ao","AAUP"
"ao-xơ","AAUW"
"ào","AAVSO"
"ảo","AAX"
"áo","A-axes"
"áp","A-axis"
"áp-phích","AB"
"áp-xe","ab-"
"át","ABA"
"át-lát","Ababa"
"au","Ababdeh"
"áy","Ababua"
"ắc","abac"
"ắc-coóc","abaca"
"ắc-quy","abacay"
"ặc","abacas"
"ẵm","abacate"
"ăn","abacaxi"
"ẳng","abaci"
"ắng","abacinate"
"ắp","abacination"
"ặp","abacisci"
"ắt","abaciscus"
"ậc","abacist"
"âm","aback"
"ầm","abacli"
"ẩm","Abaco"
"ấm","abacot"
"ân","abacterial"
"ẩn","abactinal"
"ấn","abactinally"
"ấp","abaction"
"ập","abactor"
"ất","abaculi"
"âu","abaculus"
"ẩu","abacus"
"ấu","abacuses"
"ầy","Abad"
"ẩy","abada"
"ấy","Abadan"
"ba","Abaddon"
"ba-dô-ca","abadejo"
"ba-dơ","abadengo"
"ba-lê","abadia"
"ba-lô","Abadite"
"ba-lông","abaff"
"ba-toong","abaft"
"ba-tui","Abagael"
"bà","Abagail"
"bà-la-môn","Abagtha"
"bả","abay"
"bã","abayah"
"bá","Abailard"
"bạ","abaisance"
"bác","abaised"
"bạc","abaiser"
"bách","abaisse"
"bạch","abaissed"
"bài","abaka"
"bải","Abakan"
"bãi","abakas"
"bái","Abakumov"
"bại","abalation"
"bám","abalienate"
"ban","abalienated"
"ban-công","abalienating"
"bàn","abalienation"
"bản","abalone"
"bán","abalones"
"bạn","Abama"
"bang","abamp"
"bàng","abampere"
"bảng","abamperes"
"báng","abamps"
"banh","Abana"
"bành","aband"
"bảnh","abandon"
"bánh","abandonable"
"bạnh","abandoned"
"bao","abandonedly"
"bào","abandonee"
"bảo","abandoner"
"bão","abandoners"
"báo","abandoning"
"bạo","abandonment"
"basoi","abandonments"
"bát","abandons"
"bát-két","abandum"
"bạt","abanet"
"bàu","abanga"
"báu","Abanic"
"bay","abannition"
"bày","Abantes"
"bảy","abapical"
"bắc","abaptiston"
"băm","abaptistum"
"bằm","Abarambo"
"bặm","Abarbarea"
"bắn","Abaris"
"băng","abarthrosis"
"bằng","abarticular"
"bẵng","abarticulation"
"bắp","Abas"
"bắt","abase"
"bặt","abased"
"bấc","abasedly"
"bậc","abasedness"
"bầm","abasement"
"bẩm","abasements"
"bẫm","abaser"
"bấm","abasers"
"bậm","abases"
"bần","Abasgi"
"bẩn","abash"
"bấn","abashed"
"bận","abashedly"
"bầng","abashedness"
"bập","abashes"
"bất","abashing"
"bật","abashless"
"bâu","abashlessly"
"bầu","abashment"
"bấu","abashments"
"bậu","abasia"
"bây","abasias"
"bầy","abasic"
"bẩy","abasing"
"bẫy","abasio"
"bấy","abask"
"bậy","abassi"
"be","Abassieh"
"bè","Abassin"
"bẻ","abastard"
"bẽ","abastardize"
"bé","abastral"
"bẹ","abatable"
"béc-giê","abatage"
"bem","Abate"
"bẻm","abated"
"bèn","abatement"
"bén","abatements"
"bẹn","abater"
"beng","abaters"
"béng","abates"
"beo","abatic"
"bèo","abating"
"béo","abatis"
"bẹo","abatised"
"bẹp","abatises"
"bét","abatjour"
"bẹt","abatjours"
"bê","abaton"
"bê-rê","abator"
"bê-tông","abators"
"bề","ABATS"
"bể","abattage"
"bễ","abattis"
"bế","abattised"
"bệ","abattises"
"bệch","abattoir"
"bên","abattoirs"
"bền","abattu"
"bến","abattue"
"bện","Abatua"
"bênh","abature"
"bềnh","abaue"
"bệnh","abave"
"bếp","abaxial"
"bết","abaxile"
"bệt","abaze"
"bêu","abb"
"bệu","Abba"
"bi","abbacy"
"bi-a","abbacies"
"bi-đông","abbacomes"
"bì","Abbadide"
"bỉ","Abbai"
"bĩ","abbaye"
"bí","abbandono"
"bị","abbas"
"bia","abbasi"
"bìa","Abbasid"
"bịa","abbassi"
"bích","Abbassid"
"bích-cốt","Abbasside"
"bích-quy","Abbate"
"bịch","abbatial"
"biếc","abbatical"
"biếm","abbatie"
"biên","Abbe"
"biền","Abbey"
"biển","abbeys"
"biến","abbey's"
"biện","abbeystead"
"biếng","abbeystede"
"biết","abbes"
"biệt","abbess"
"biểu","abbesses"
"biếu","abbest"
"bìm","Abbevilean"
"bỉm","Abbeville"
"bím","Abbevillian"
"binh","Abbi"
"bình","Abby"
"bình-toong","Abbie"
"bĩnh","Abbye"
"bính","Abbyville"
"bịnh","abboccato"
"bịp","abbogada"
"bít","Abbot"
"bít-tết","abbotcy"
"bịt","abbotcies"
"bìu","abbotnullius"
"bĩu","abbotric"
"bíu","abbots"
"bịu","abbot's"
"bò","Abbotsen"
"bỏ","Abbotsford"
"bõ","abbotship"
"bó","abbotships"
"bọ","Abbotson"
"bóc","Abbotsun"
"bọc","Abbott"
"bòi","Abbottson"
"bỏi","Abbottstown"
"bói","Abboud"
"bom","abbozzo"
"bòm","ABBR"
"bõm","abbrev"
"bon","abbreviatable"
"bòn","abbreviate"
"bón","abbreviated"
"bọn","abbreviately"
"bong","abbreviates"
"bòng","abbreviating"
"bỏng","abbreviation"
"bóng","abbreviations"
"bọng","abbreviator"
"boong","abbreviatory"
"boong-ke","abbreviators"
"boóng","abbreviature"
"bóp","abbroachment"
"bọp","ABC"
"bót","abcess"
"bọt","abcissa"
"bô","abcoulomb"
"bồ","ABCs"
"bồ-tạt","abd"
"bổ","abdal"
"bố","abdali"
"bộ","abdaria"
"bốc","abdat"
"bốc-can","Abdel"
"bôi","Abd-el-Kadir"
"bồi","Abd-el-Krim"
"bổi","Abdella"
"bội","Abderhalden"
"bồm","Abderian"
"bôn","Abderite"
"bôn-sê-vích","Abderus"
"bồn","abdest"
"bổn","Abdias"
"bốn","abdicable"
"bộn","abdicant"
"bông","abdicate"
"bồng","abdicated"
"bổng","abdicates"
"bỗng","abdicating"
"bống","abdication"
"bộng","abdications"
"bốp","abdicative"
"bộp","abdicator"
"bốt","Abdiel"
"bốt-can","abditive"
"bột","abditory"
"bơ","abdom"
"bờ","abdomen"
"bờ-lu","abdomens"
"bở","abdomen's"
"bớ","abdomina"
"bợ","abdominal"
"bơi","Abdominales"
"bời","abdominalia"
"bởi","abdominalian"
"bới","abdominally"
"bơm","abdominals"
"bờm","abdominoanterior"
"bợm","abdominocardiac"
"bơn","abdominocentesis"
"bỡn","abdominocystic"
"bợn","abdominogenital"
"bớp","abdominohysterectomy"
"bợp","abdominohysterotomy"
"bớt","abdominoposterior"
"bợt","abdominoscope"
"bu","abdominoscopy"
"bu-gi","abdominothoracic"
"bu-lông","abdominous"
"bù","abdomino-uterotomy"
"bù-loong","abdominovaginal"
"bủ","abdominovesical"
"bú","Abdon"
"bụ","Abdu"
"bua","abduce"
"bùa","abduced"
"bủa","abducens"
"búa","abducent"
"bục","abducentes"
"bùi","abduces"
"bụi","abducing"
"bùm","abduct"
"bủm","abducted"
"bụm","abducting"
"bùn","abduction"
"bún","abductions"
"bung","abduction's"
"bùng","abductor"
"bủng","abductores"
"búng","abductors"
"bụng","abductor's"
"buộc","abducts"
"buồi","Abdul"
"buổi","Abdul-Aziz"
"buồm","Abdul-baha"
"buôn","Abdulla"
"buồn","Abe"
"buông","a-be"
"buồng","abeam"
"buốt","abear"
"buột","abearance"
"búp","Abebi"
"búp-bê","abecedaire"
"bụp","abecedary"
"bút","abecedaria"
"bụt","abecedarian"
"buýt","abecedarians"
"bứ","abecedaries"
"bự","abecedarium"
"bưa","abecedarius"
"bừa","abed"
"bửa","abede"
"bữa","abedge"
"bựa","Abednego"
"bức","abegge"
"bực","Abey"
"bưng","abeyance"
"bừng","abeyances"
"bửng","abeyancy"
"bứng","abeyancies"
"bước","abeyant"
"bươi","abeigh"
"bưởi","ABEL"
"bươm","Abelard"
"bướm","abele"
"bươn","abeles"
"bương","Abelia"
"bướng","Abelian"
"bướp","Abelicea"
"bươu","Abelite"
"bướu","Abell"
"bứt","Abelmoschus"
"bựt","abelmosk"
"ca","abelmosks"
"ca-bin","abelmusk"
"ca-cao","Abelonian"
"ca-lo","Abelson"
"ca-lô","abeltree"
"ca-men","Abencerrages"
"ca-nô","abend"
"ca-nông","abends"
"ca-vát","Abenezra"
"cà","abenteric"
"cà-mèn","Abeokuta"
"cà-phê","abepithymia"
"cà-phê","ABEPP"
"cà-rốt","Abercromby"
"cà-rốt","Abercrombie"
"cả","Aberdare"
"cá","aberdavine"
"cạ","Aberdeen"
"các","Aberdeenshire"
"các-bon","aberdevine"
"các-bon-nát","Aberdonian"
"các-bua","aberduvine"
"các-ten","Aberfan"
"các-tông","Aberglaube"
"các-tơ","Aberia"
"cách","Aberystwyth"
"cạch","Abernant"
"cai","Abernathy"
"cài","abernethy"
"cải","Abernon"
"cãi","aberr"
"cái","aberrance"
"cam","aberrancy"
"cam-nhông","aberrancies"
"cảm","aberrant"
"cám","aberrantly"
"cạm","aberrants"
"can","aberrate"
"can-kê","aberrated"
"can-xi","aberrating"
"càn","aberration"
"cản","aberrational"
"cán","aberrations"
"cạn","aberrative"
"càng","aberrator"
"cảng","aberrometer"
"cáng","aberroscope"
"canh","Abert"
"cành","aberuncate"
"cảnh","aberuncator"
"cánh","abesse"
"cạnh","abessive"
"cao","abet"
"cao-bồi","abetment"
"cao-lanh","abetments"
"cao-su","abets"
"cào","abettal"
"cảo","abettals"
"cáo","abetted"
"cạo","abetter"
"cáp","abetters"
"cạp","abetting"
"cát","abettor"
"cát-két","abettors"
"cau","Abeu"
"cáu","abevacuation"
"cay","abfarad"
"cày","abfarads"
"cáy","ABFM"
"cạy","Abgatha"
"cắc","ABHC"
"cắc-tê","abhenry"
"căm","abhenries"
"cằm","abhenrys"
"cắm","abhinaya"
"căn","abhiseka"
"cằn","abhominable"
"cắn","abhor"
"cặn","abhorred"
"căng","abhorrence"
"căng-tin","abhorrences"
"cẳng","abhorrency"
"cẵng","abhorrent"
"cắp","abhorrently"
"cặp","abhorrer"
"cắt","abhorrers"
"câm","abhorrible"
"cầm","abhorring"
"cẩm","abhors"
"cấm","Abhorson"
"cân","ABI"
"cần","aby"
"cẩn","Abia"
"cấn","Abiathar"
"cận","Abib"
"cẫng","abichite"
"cấp","abidal"
"cất","abidance"
"cật","abidances"
"câu","abidden"
"cầu","abide"
"cẩu","abided"
"cấu","abider"
"cậu","abiders"
"cây","abides"
"cầy","abidi"
"cấy","abiding"
"cậy","abidingly"
"cha","abidingness"
"chà","Abidjan"
"chả","Abydos"
"chạ","Abie"
"chác","abye"
"chạc","abied"
"chạch","abyed"
"chai","abiegh"
"chài","abience"
"chải","abient"
"chái","Abies"
"chàm","abyes"
"chạm","abietate"
"chan","abietene"
"chán","abietic"
"chạn","abietin"
"chàng","Abietineae"
"chạng","abietineous"
"chanh","abietinic"
"chành","abietite"
"chánh","Abiezer"
"chạnh","Abigael"
"chao","Abigail"
"chào","abigails"
"chảo","abigailship"
"chão","Abigale"
"cháo","abigeat"
"chạo","abigei"
"chạp","abigeus"
"chát","Abihu"
"chạt","abying"
"chau","Abijah"
"cháu","Abyla"
"chay","abilao"
"chày","Abilene"
"chảy","abiliment"
"cháy","Abilyne"
"chạy","abilitable"
"chắc","ability"
"chặc","abilities"
"chăm","ability's"
"chằm","abilla"
"chặm","abilo"
"chăn","abime"
"chằn","Abimelech"
"chẵn","Abineri"
"chắn","Abingdon"
"chặn","Abinger"
"chăng","Abington"
"chằng","Abinoam"
"chẳng","Abinoem"
"chặng","abintestate"
"chắp","abiogeneses"
"chặp","abiogenesis"
"chắt","abiogenesist"
"chặt","abiogenetic"
"chậc","abiogenetical"
"châm","abiogenetically"
"chầm","abiogeny"
"chẩm","abiogenist"
"chấm","abiogenous"
"chậm","abiology"
"chân","abiological"
"chần","abiologically"
"chẩn","abioses"
"chấn","abiosis"
"chận","abiotic"
"chấp","abiotical"
"chập","abiotically"
"chất","abiotrophy"
"chật","abiotrophic"
"châu","Abipon"
"chầu","Abiquiu"
"chấu","abir"
"chậu","abirritant"
"chây","abirritate"
"chầy","abirritated"
"chấy","abirritating"
"che","abirritation"
"chè","abirritative"
"chẻ","abys"
"chẽ","Abisag"
"ché","Abisha"
"chém","Abishag"
"chen","Abisia"
"chèn","abysm"
"chẽn","abysmal"
"chén","abysmally"
"chẹn","abysms"
"cheo","Abyss"
"chèo","abyssa"
"chéo","abyssal"
"chép","abysses"
"chét","Abyssinia"
"chẹt","Abyssinian"
"chê","abyssinians"
"chế","abyssobenthonic"
"chếch","abyssolith"
"chệch","abyssopelagic"
"chêm","abyss's"
"chênh","abyssus"
"chết","abiston"
"chi","abit"
"chì","Abitibi"
"chỉ","Abiu"
"chí","abiuret"
"chị","Abixah"
"chia","abject"
"chìa","abjectedness"
"chĩa","abjection"
"chích","abjections"
"chiếc","abjective"
"chiêm","abjectly"
"chiếm","abjectness"
"chiên","abjectnesses"
"chiền","abjoint"
"chiến","abjudge"
"chiêng","abjudged"
"chiềng","abjudging"
"chiếp","abjudicate"
"chiết","abjudicated"
"chiêu","abjudicating"
"chiếu","abjudication"
"chim","abjudicator"
"chìm","abjugate"
"chỉn","abjunct"
"chín","abjunction"
"chình","abjunctive"
"chỉnh","abjuration"
"chĩnh","abjurations"
"chính","abjuratory"
"chíp","abjure"
"chít","abjured"
"chịt","abjurement"
"chịu","abjurer"
"cho","abjurers"
"chò","abjures"
"chõ","abjuring"
"chó","abkar"
"chọ","abkari"
"choá","abkary"
"choạc","Abkhas"
"choài","Abkhasia"
"choãi","Abkhasian"
"choái","Abkhaz"
"choán","Abkhazia"
"choàng","Abkhazian"
"choảng","abl"
"choáng","abl."
"choạng","ablach"
"choắt","ablactate"
"chóc","ablactated"
"chọc","ablactating"
"choé","ablactation"
"choẹt","ablaqueate"
"chòi","ablare"
"chói","A-blast"
"chọi","ablastemic"
"chòm","ablastin"
"chỏm","ablastous"
"chõm","ablate"
"chọn","ablated"
"chong","ablates"
"chòng","ablating"
"chõng","ablation"
"chóng","ablations"
