"Hawaiian","English"
"a","aardvark"
"a/a","aardvarks"
"ʻaʻa","aardwolf"
"aah","aardwolves"
"ʻaʻahu","Aaren"
"aʻalolo","Aargau"
"ad","aargh"
"ae","Aarhus"
"aʻe","Aarika"
"ʻae","Aaron"
"ʻaelike","Aaronic"
"ʻaeto","Aaronical"
"ah","Aaronite"
"ʻahaʻaina","Aaronitic"
"ʻahamele","Aaron's-beard"
"ahaolelo","Aaronsburg"
"Ahaolelo","Aaronson"
"ʻāhewa","AARP"
"ahi","aarrgh"
"ahiahi","aarrghh"
"ahu","Aaru"
"ʻai","AAS"
"ʻāʻī","A'asia"
"aie","aasvogel"
"ʻaihue","aasvogels"
"aila","AAU"
"Āina","AAUP"
"ʻāina","AAUW"
"aka","AAVSO"
"ʻakaʻaka","AAX"
"akahai","A-axes"
"akahele","A-axis"
"ākala","AB"
"akamai","ab-"
"akau","ABA"
"ʻākau","Ababa"
"ākea","Ababdeh"
"ʻākeʻakeʻa","Ababua"
"akemāmā","abac"
"ʻākeo","abaca"
"ʻakika","abacay"
"'akomi","abacas"
"ʻakomi","abacate"
"akua","abacaxi"
"ala","abaci"
"alahaka","abacinate"
"alahao","abacination"
"alahele","abacisci"
"alaila","abaciscus"
"ālaina","abacist"
"alakai","aback"
"alakaʻi","abacli"
"alaloa","Abaco"
"alani","abacot"
"alanui","abacterial"
"'âlapa","abactinal"
"ʻAlapia","abactinally"
"alapiʻi","abaction"
"album","abactor"
"ale","abaculi"
"alelo","abaculus"
"Alemania","abacus"
"aliʻi","abacuses"
"Aliʻi","Abad"
"alo","abada"
"aloha","Abadan"
"Aloha","Abaddon"
"alohilohi","abadejo"
"ʻālohilohi","abadengo"
"alpha","abadia"
"alualu","Abadite"
"am","abaff"
"ʻAmelika","abaft"
"ʻAmelika-ʻAmelika","Abagael"
"ami","Abagail"
"ana","Abagtha"
"anaina","abay"
"ʻanakala","abayah"
"ʻanakē","Abailard"
"android","abaisance"
"ʻānela","abaised"
"aniani","abaiser"
"ano","abaisse"
"ʻano","abaissed"
"anu","abaka"
