"Armenian","English"
"ինչպես","how"
"ես","I"
"նրա","his"
"որ","which"
"նա","he"
"էր","was"
"համար","for"
"են","are"
"հետ","with"
"նրանք","they"
"լինել","be"
"ի","in"
"մեկ","one"
"ունենալ","have"
"այս","this"
"տաք","hot"
"բառ","word"
"բայց","but"
"ինչ","what"
"մի քանի","some"
"է","is"
"այն","that"
"դուք","you"
"կամ","or"
"էր","was"
"եւ","and"
"մինչեւ","until"
"իսկ","and"
"ա","a"
"մենք","we"
"կարող","can"
"դուրս","out"
"այլ","other"
"որը","that"
"անել","do"
"իրենց","their"
"ժամանակ","time"
"եթե","if"
"կամք","will"
"ասել","say"
"յուրաքանչյուր","each"
"ասել","tell"
"շարք","series"
"երեք","three"
"ուզում","want"
"օդի","air"
"լավ","good"
"նույնպես","also"
"խաղալ","play"
"փոքր","small"
"վերջ","end"
"տուն","house"
"կարդալ","read"
"ձեռք","hand"
"նավահանգիստ","port"
"մեծ","large"
"տառ առ տառ ասել","spell"
"ավելացնել","add"
"նույնիսկ","even"
"երկիր","land"
"այստեղ","here"
"պետք է","must"
"բարձր","high"
"այդպիսի","such"
"հետեւել","follow"
"գործ","act"
"ինչու","why"
"խնդրել","ask"
"տղամարդիկ","men"
"փոփոխություն","change"
"գնաց","went"
"լույս","light"
"բարի","kind"
"անհրաժեշտ","need"
"նկար","picture"
"փորձել","try"
"մեզ","us"
"կրկին","again"
"կենդանի","animal"
"կետ","point"
"մայր","mother"
"աշխարհ","world"
"մոտ","near"
"կառուցել","build"
"ինքնուրույն","self"
"հայր","father"
"ցանկացած","any"
"նոր","new"
"աշխատանք","work"
"մաս","part"
"վերցնել","take"
"ստանալ","get"
"տեղ","place"
"ապրել","live"
"որտեղ","where"
"երբ","when"
"Վերադառնալ","back"
"քիչ բան","little"
"միայն","only"
"կլոր","round"
"մարդ","man"
"տարի","year"
"եկել","came"
"շոու","show"
"ամեն","every"
"ինձ","me"
"տալ","give"
"մեր","our"
"տակ","under"
"անունը","name"
"շատ","very"
"միջոցով","through"
"պարզապես","just"
"ձեւը","form"
"նախադասություն","sentence"
"մտածել","think"
"օգնություն","help"
"ցածր","low"
"գիծ","line"
"տարբերվել","differ"
"հերթը","turn"
"պատճառը","cause"
"նշանակում","mean"
"քայլ","move"
"իրավունք","right"
"տղա","boy"
"հին","old"
"էլ","too"
"նույն","same"
"ամբողջ","all"
"կան","there"
"մինչեւ","until"
"օգտագործումը","use"
"ձեր","your"
"ճանապարհ","way"
"մոտ","about"
"ապա","then"
"գրել","write"
"որ","that"
"նման","like"
"այնքան","so"
"այդ","those"
"դեռ","still"
"բան","thing"
"տեսնել","see"
"երկու","two"
"ունի","has"
"նայել","look"
"ավելի շատ","more"
"օր","day"
"կարող","could"
"գնալ","go"
"գալ","come"
"արել","did"
"թիվը","number"
"հնչել","sound"
"ոչ","no"
"մեծ մասը","most"
"իմ","my"
"իմանալ","know"
"ջուր","water"
"քան","than"
"կոչ","call"
"առաջին","first"
"ով","who"
"կարող","may"
"ներքեւ","down"
"կողմը","side"
"եղել","been"
"այժմ","now"
"գտնել","find"
"ղեկավար","head"
"կանգնել","stand"
"սեփական","own"
"էջ","page"
"պետք","should"
"երկիր","country"
"հայտնաբերել","found"
"պատասխան","answer"
"դպրոց","school"
"աճել","grow"
"սովորել","study"
"դեռ","still"
"սովորել","learn"
"գործարան","plant"
"կազմ","cover"
"սնունդ","food"
"արեւ","sun"
"չորս","four"
"միջեւ","between"
"պետական","state"
"պահել","keep"
"աչքի","eye"
"երբեք","never"
"անցյալ","last"
"թող","let"
"միտք","thought"
"քաղաք","city"
"ծառ","tree"
"անցնել","cross"
"ֆերմա","farm"
"դժվար","hard"
"սկիզբ","start"
"զորություն","might"
"պատմություն","story"
"սղոց","saw"
"հեռու","far"
"ծով","sea"
"նկարել","draw"
"Ձախ","left"
"ուշ","late"
"վազում","run"
"չեն","don’t"
"իսկ","while"
"մամուլ","press"
"մոտիկ","close"
"գիշեր","night"
"իրական","real"
"կյանք","life"
"քիչ","few"
"հյուսիս","north"
"Հյուրատետր","book"
"կրել","carry"
"գիտություն","science"
"ուտել","eat"
"սենյակ","room"
"ընկեր","friend"
"սկսվեց","began"
"գաղափար","idea"
"ձուկ","fish"
"լեռնային","mountain"
"կանգ առնել","stop"
"անգամ","once"
"բազա","base"
"լսել","hear"
"ձի","horse"
"կտրել","cut"
"վստահ","sure"
"դիտել","watch"
"գույն","color"
"դեմքը","face"
"փայտ","wood"
"հիմնական","main"
"բաց","open"
"կարծես","seem"
"միասին","together"
"հաջորդ","next"
"ճերմակ","white"
"երեխաներ","children"
"սկսել","begin"
"ստացել","got"
"քայլել","walk"
"օրինակ","example"
"հանգիստ","ease"
"թուղթ","paper"
"խումբ","group"
"միշտ","always"
"երաժշտություն","music"
"այն","those"
"երկուսն էլ","both"
"նշան","mark"
"հաճախ","often"
"նամակ","letter"
"մինչեւ","until"
"մղոն","mile"
"գետ","river"
"ավտոմեքենա","car"
"ոտքերը","feet"
"խնամք","care"
