"Afrikaans","English"
"a","a"
"aah","ah"
"aaklig","horrible"
"aan","on"
"aanbeveel","recommend"
"aanbeveling","recommendation"
"aand","evening"
"aandag","attention"
"aandete","dinner"
"aandring","insist"
"aandui","indicate"
"aanduiding","indication"
"aangaande","regarding"
"aangenaam","pleasant"
"aanhaal","quote"
"aanhou","continue"
"aanklaer","prosecutor"
"aankom","arrive"
"aankoms","arrival"
"aankondig","announce"
"aankondiging","announcement"
"aankoop","purchase"
"aanlyn","online"
"aanmoedig","encourage"
"aanname","assumption"
"aanneem","adopt"
"aanneming","adoption"
"aanpak","approach"
"aanpas","adapt"
"aanpassing","adjustment"
"aanranding","assault"
"aansienlik","significant"
"aansluit","connect"
"aansoek","application"
"aansporing","incentive"
"aanspreeklikheid","accountability"
"aanstel","appoint"
"aanstoot","offense"
"aanstootlik","offensive"
"aantrek","dress"
"aantrekkingskrag","attraction"
"aantreklik","attractive"
"aanvaar","accept"
"aanvaarbaar","acceptable"
"aanvaarding","acceptance"
"aanval","attack"
"aanvanklik","initially"
"aanvanklike","initial"
"aanwyser","indicator"
"aap","monkey"
"aard","nature"
"aardbewing","earthquake"
"aarde","earth"
"aartappel","potato"
"aborsie","abortion"
"absoluut","absolute"
"absorbeer","absorb"
"abstrak","abstract"
"addisioneel","additional"
"adjunk","deputy"
"administrasie","administration"
"administrateur","administrator"
"administratiewe","administrative"
"administreer","administer"
"adolessent","adolescent"
"adres","address"
"advertensie","advertisement"
"advertensies","advertisements"
"adviseer","advise"
"adviseur","advisor"
"advokaat","lawyer"
"af","off"
"afdeling","department"
"afdwing","enforce"
"affekteer","affect"
"affiliasie","affiliation"
"afgeleë","remote"
"afgetree","retired"
"afhang","depend"
"afhangende","dependent"
"afhanklik","dependent"
"Aflaai","download"
"aflei","derive"
"aflewering","delivery"
"afneem","decrease"
"afrigter","coach"
"afrikaans","Afrikaans"
"Afro-Amerikaans","African-American"
"afslag","discount"
"afsluit","conclude"
"afsluiting","closure"
"afspraak","appointment"
"afstand","distance"
"aftrede","retirement"
"aftree","retire"
"afval","waste"
"afvee","wipe"
"afwesigheid","absence"
"ag","eight"
"agenda","agenda"
"agent","agent"
"agentskap","agency"
"aggressief","aggressive"
"agt","eight"
"agter","behind"
"agtergrond","background"
"agterplaas","backyard"
"agtste","eighth"
"Akademie","academy"
"akademies","academic"
"akker","field"
"akkommodeer","accommodate"
"akkuraat","accurate"
"akkuraatheid","accuracy"
"aksent","accent"
"aksie","action"
"akteur","actor"
"aktief","active"
"aktiveer","activate"
"aktivis","activist"
"aktiwiteit","activity"
"aktrise","actress"
"alarm","alarm"
"albei","both"
"album","album"
"alfa","alpha"
"algehele","overall"
"algemeen","general"
"algemene","common"
"alhoewel","although"
"alkohol","alcohol"
"alleen","alone"
"alles","everything"
"alliansie","alliance"
"almal","everyone"
"alternatief","alternative"
"altyd","always"
"ambassade","embassy"
"ambassadeur","ambassador"
"ambisie","ambition"
"ambisieus","ambitious"
"amerikaans","American"
"amper","almost"
"amptelik","official"
"ander","other"
"anders","different"
"andersins","otherwise"
"Android","Android"
"angs","anxiety"
"anker","anchor"
"anoniem","anonymous"
"antieke","antique"
"antwoord","answer"
"app","app"
"appel","apple"
"appélleer","appeal"
"April","April"
"Arabies","Arabic"
"arbeid","labor"
"arena","arena"
"arend","eagle"
"argief","archive"
"argitek","architect"
"argitektuur","architecture"
"argument","argument"
"arm","arm"
"armoede","poverty"
"arrestasie","arrest"
"artikel","article"
"artistiek","artistic"
"as","as"
"asblik","trash"
"asem","breath"
"asemhaal","breathe"
"Asiatiese","Asian"
"aspek","aspect"
"asseblief","please"
"assesseer","assess"
"assessering","assessment"
"assistent","assistant"
"assosieer","associate"
"ateljee","studio"
"atleet","athlete"
"atleties","athletic"
"atmosfeer","atmosphere"
"Augustus","August"
