"Hungarian","English"
"a","aardvark"
"a-csop","aardvarks"
"a-csoport","aardwolf"
"a-csoportban","aardwolves"
"a-morf","Aaren"
"aachenen","Aargau"
"aatlagos","aargh"
"abajgat","Aarhus"
"abay","Aarika"
"abba","Aaron"
"abban","Aaronic"
"abbol","Aaronical"
"abc-re","Aaronite"
"abece","Aaronitic"
"aberyh","Aaron's-beard"
"ablakba","Aaronsburg"
"ablakokkal","Aaronson"
"about","AARP"
"absread","aarrgh"
"abszolut","aarrghh"
"abszolute","Aaru"
"absztinens","AAS"
"abszurd","A'asia"
"aburko","aasvogel"
"ac","aasvogels"
"access","AAU"
"accounthoz","AAUP"
"accountom","AAUW"
"accountot","AAVSO"
"acea","AAX"
"acomp","A-axes"
"aconus","A-axis"
"aconusnal","AB"
"acs","ab-"
"ad","ABA"
"adalek","Ababa"
"adam","Ababdeh"
"adando","Ababua"
"adas","abac"
"adasanak","abaca"
"adasat","abacay"
"adat","abacas"
"adata","abacate"
"adatai","abacaxi"
"adataibol","abaci"
"adatait","abacinate"
"adatbaazis","abacination"
"adatbazis","abacisci"
"adatbazisnak","abaciscus"
"adatbazisra","abacist"
"adatbazissal","aback"
"adatbazisukba","abacli"
"adatfeldolgozas","Abaco"
"adathalmaz","abacot"
"adathordozon","abacterial"
"adathoz","abactinal"
"adatok","abactinally"
"adatokat","abaction"
"adatokra","abactor"
"adatolhato","abaculi"
"adatot","abaculus"
"adatott","abacus"
"adatrol","abacuses"
"adattal","Abad"
"adaz","abada"
"add","Abadan"
"addig","Abaddon"
"address","abadejo"
"ader","abadengo"
"adhat","abadia"
"adhato","Abadite"
"adhatok","abaff"
"adj","abaft"
"adja","Abagael"
"adjak","Abagail"
"adjam","Abagtha"
"adjon","abay"
"adminisztracioban","abayah"
"adminisztrativ","Abailard"
"adnak","abaisance"
"adni","abaised"
"adnom","abaiser"
"ado","abaisse"
"adoalap","abaissed"
"adobe","abaka"
"adobellasi","Abakan"
"adobevallasat","abakas"
"adobevallasi","Abakumov"
"adobevallasnal","abalation"
"adobevallasomat","abalienate"
"adobevallokkal","abalienated"
"adobeveteluk","abalienating"
"adocsalo","abalienation"
"adodott","abalone"
"adoegyezmeny","abalones"
"adoegyezmenynek","Abama"
"adoeloleget","abamp"
"adoemelest","abampere"
"adofizetes","abamperes"
"adofizetesre","abamps"
"adofizetest","Abana"
"adofizetok","aband"
"adofo","abandon"
"adohivatal","abandonable"
