"Finnish","English"
"aakkonen","aardvark"
"aakkosellinen","aardvarks"
"aakkosellisesti","aardwolf"
"aakkosellisuus","aardwolves"
"aakkosittain","Aaren"
"aakkosjärjestys","Aargau"
"aakkosnumeerinen","aargh"
"aakkostaa","Aarhus"
"aakkosto","Aarika"
"aakkostus","Aaron"
"aalloittain","Aaronic"
"aalloittainen","Aaronical"
"aalloittaisuus","Aaronite"
"aallokas","Aaronitic"
"aallokko","Aaron's-beard"
"aallonharja","Aaronsburg"
"aallonmurtaja","Aaronson"
"aallonpituus","AARP"
"aallonpohja","aarrgh"
"aallota","aarrghh"
"aallotar","Aaru"
"aallottaa","AAS"
"aallotus","A'asia"
"aaloe","aasvogel"
"aalto","aasvogels"
"aaltoallas","AAU"
"aaltoalue","AAUP"
"aaltoenergia","AAUW"
"aaltoilla","AAVSO"
"aaltoilu","AAX"
"aaltolevy","A-axes"
"aaltoliike","A-axis"
"aaltopahvi","AB"
"aaltopelti","ab-"
"aaltopituus","ABA"
"aaltosulje","Ababa"
"aaltosulku","Ababdeh"
"aaltosulkumerkki","Ababua"
"aaltoviiva","abac"
"aaltovoimala","abaca"
"aamen","abacay"
"aamiainen","abacas"
"aamiaismajoitus","abacate"
"aamiaistapaaminen","abacaxi"
"aamiaistunti","abaci"
"aamu","abacinate"
"aamuaskare","abacination"
"aamuateria","abacisci"
"aamuhartaus","abaciscus"
"aamuhämärä","abacist"
"aamuinen","aback"
"aamuisin","abacli"
"aamujumalanpalvelus","Abaco"
"aamujuna","abacot"
"aamukahdeksan","abacterial"
"aamukahvi","abactinal"
"aamukampa","abactinally"
"aamukaste","abaction"
"aamukylmä","abactor"
"aamulehti","abaculi"
"aamulenkki","abaculus"
"aamullinen","abacus"
"aamulypsy","abacuses"
"aamulähetys","Abad"
"aamulämpö","abada"
"aamunavaus","Abadan"
"aamunkoite","Abaddon"
"aamunkoitto","abadejo"
"aamunraikas","abadengo"
"aamunsarastus","abadia"
"aamuntorkku","Abadite"
"aamunvirkku","abaff"
"aamupahoinvointi","abaft"
"aamupala","Abagael"
"aamupesu","Abagail"
"aamupuoli","Abagtha"
"aamupäivisin","abay"
"aamupäivä","abayah"
"aamurusko","Abailard"
"aamuruuhka","abaisance"
"aamusella","abaised"
"aamutakki","abaiser"
"aamutohveli","abaisse"
"aamutorkku","abaissed"
"aamutossu","abaka"
"aamutuimaan","Abakan"
"aamutähti","abakas"
"aamuvarhain","Abakumov"
"aamuvarhainen","abalation"
"aamuvartio","abalienate"
"aamuvirkku","abalienated"
"aamuvoimistelu","abalienating"
"aamuvuoro","abalienation"
"aamuyö","abalone"
"aapa","abalones"
"aapasuo","Abama"
"aapinen","abamp"
"aapiskirja","abampere"
"aapiskukko","abamperes"
"aaprotti","abamps"
"aari","Abana"
"aaria","aband"
"aarnialue","abandon"
"aarnihauta","abandonable"
"aarnihonka","abandoned"
"aarnikotka","abandonedly"
"aarnio","abandonee"
"aarniohauta","abandoner"
"aarniometsä","abandoners"
"aarnipuu","abandoning"
"aarnituli","abandonment"
"aarnivalkea","abandonments"
"aaroninparta","abandons"
"aarpora","abandum"
"aarre","abanet"
"aarreaitta","abanga"
"aarrehauta","Abanic"
"aarrekammio","abannition"
"aarrekätkö","Abantes"
"aarrelöytö","abapical"
"aarretuli","abaptiston"
"aarrevalkea","abaptistum"
"aarteenetsijä","Abarambo"
"aarteisto","Abarbarea"
"aasi","Abaris"
"aasialainen","abarthrosis"
"aasialaisuus","abarticular"
"aasimainen","abarticulation"
"aasimaisesti","Abas"
"aasimaisuus","abase"
"aasinpotku","abased"
"aasinsilta","abasedly"
"aatami","abasedness"
"aataminaikainen","abasement"
"aataminomena","abasements"
"aataminpuku","abaser"
"aate","abasers"
"aatehistoria","abases"
"aatekilpailu","Abasgi"
"aateli","abash"
"aatelinen","abashed"
"aatelisarvo","abashedly"
"aatelisherra","abashedness"
"aateliskalenteri","abashes"
"aatelisnenä","abashing"
"aatelissuku","abashless"
"aatelissääty","abashlessly"
"aatelisto","abashment"
"aatelisuus","abashments"
"aatelisvaakuna","abasia"
"aateliton","abasias"
"aateloida","abasic"
"aatelointi","abasing"
"aateluus","abasio"
"aatemaailma","abask"
"aaterakennelma","abassi"
"aatesisar","Abassieh"
"aatesuunta","Abassin"
"aatetoveri","abastard"
"aateveli","abastardize"
"aatevirtaus","abastral"
"aatonaatto","abatable"
"aatos","abatage"
"aatra","Abate"
"aatteellinen","abated"
"aatteellisesti","abatement"
"aatteellisuus","abatements"
"aatto","abater"
"aattoilta","abaters"
"aava","abates"
"aavameri","abatic"
"aave","abating"
"aavejuna","abatis"
"aavekipu","abatised"
"aavelaiva","abatises"
"aavemainen","abatjour"
"aavemaisesti","abatjours"
"aavemaisuus","abaton"
"aavikko","abator"
"aavikoitua","abators"
"aavistaa","ABATS"
"aavistamaton","abattage"
"aavistella","abattis"
"aavistuksenomainen","abattised"
"aavistus","abattises"
"aavistuslähtö","abattoir"
"abatsi","abattoirs"
"abbedissa","abattu"
"abessiivi","abattue"
"abi","Abatua"
"abiturientti","abature"
"ablatiivi","abaue"
"abnormi","abave"
"abnormius","abaxial"
"abo","abaxile"
"aboriginaali","abaze"
"abortoida","abb"
"abortointi","Abba"
"abortti","abbacy"
"aborttipilleri","abbacies"
"aborttitabletti","abbacomes"
"abrakadabra","Abbadide"
"absessi","Abbai"
"absintti","abbaye"
"abskissa","abbandono"
"absolutismi","abbas"
"absolutisti","abbasi"
"absoluutti","Abbasid"
"absoluuttinen","abbassi"
"absoluuttisesti","Abbassid"
"absoluuttisuus","Abbasside"
"absorboida","Abbate"
"absorbointi","abbatial"
"absorboitua","abbatical"
"absorptio","abbatie"
"abstinenssi","Abbe"
"abstinenssioire","Abbey"
"abstrahoida","abbeys"
"abstrahointi","abbey's"
"abstrahoitua","abbeystead"
"abstrakti","abbeystede"
"abstraktinen","abbes"
"abstraktio","abbess"
"abstraktisesti","abbesses"
"abstraktistaa","abbest"
"abstraktisti","Abbevilean"
"abstraktistua","Abbeville"
"abstraktisuus","Abbevillian"
"abstraktius","Abbi"
"absurdi","Abby"
"absurdisti","Abbie"
"absurdius","Abbye"
"acajoupähkinä","Abbyville"
"adagio","abboccato"
"adaptaatio","abbogada"
"adapteri","Abbot"
"adaptoida","abbotcy"
"adaptointi","abbotcies"
"adaptoitua","abbotnullius"
"addikti","abbotric"
"addiktio","abbots"
"adekvaatisti","abbot's"
"adekvaatti","Abbotsen"
"adekvaattius","Abbotsford"
"adenokarsinooma","abbotship"
"adenooma","abbotships"
"adenovirus","Abbotson"
"adessiivi","Abbotsun"
"adheesio","Abbott"
"adjektiivi","Abbottson"
"adjektiivinen","Abbottstown"
"adjektiivisesti","Abboud"
"adjektiivisuus","abbozzo"
"adjutantti","ABBR"
"adjuvanttihoito","abbrev"
"adonis","abbreviatable"
"adoptio","abbreviate"
"adoptiolapsi","abbreviated"
"adoptoida","abbreviately"
"adoptointi","abbreviates"
"adrenaliini","abbreviating"
"adressi","abbreviation"
"adsorboida","abbreviations"
"adsorbointi","abbreviator"
"adsorboitua","abbreviatory"
"adsorptio","abbreviators"
"adsukipapu","abbreviature"
"adventismi","abbroachment"
"adventisti","ABC"
"adventti","abcess"
"adventtiaika","abcissa"
"adventtikalenteri","abcoulomb"
"adventtikirkko","ABCs"
"adventtiseurakunta","abd"
"adventtisunnuntai","abdal"
"adverbi","abdali"
"adverbiaali","abdaria"
"adverbiaalinen","abdat"
"adverbiaalisesti","Abdel"
"adverbiaalisuus","Abd-el-Kadir"
"adverbinen","Abd-el-Krim"
"adverbisesti","Abdella"
"adverbisuus","Abderhalden"
"adversatiivinen","Abderian"
"adversatiivisesti","Abderite"
"adversatiivisuus","Abderus"
"aerobic","abdest"
"aerobikata","Abdias"
"aerobikkaaja","abdicable"
"aerobikkaus","abdicant"
"aerobikki","abdicate"
"aerobinen","abdicated"
"aerobiologia","abdicates"
"aerobiologinen","abdicating"
"aerodynaaminen","abdication"
"aerodynaamisesti","abdications"
"aerodynamiikka","abdicative"
"aerosoli","abdicator"
"afaatikko","Abdiel"
"afaattinen","abditive"
"afasia","abditory"
"affekti","abdom"
"affektihäiriö","abdomen"
"affektiivinen","abdomens"
"affektiivisesti","abdomen's"
"affektiivisuus","abdomina"
"affektinen","abdominal"
"affektisesti","Abdominales"
"affektisuus","abdominalia"
"affisio","abdominalian"
"affisioida","abdominally"
"afgaani","abdominals"
"afgaaninvinttikoira","abdominoanterior"
"aforismi","abdominocardiac"
"aforismikokoelma","abdominocentesis"
"aforistinen","abdominocystic"
"afrikaans","abdominogenital"
"afrikandi","abdominohysterectomy"
"afrikkalainen","abdominohysterotomy"
"afrikkalaisuus","abdominoposterior"
"afro","abdominoscope"
"afroaasialainen","abdominoscopy"
"afroamerikkalainen","abdominothoracic"
"afrokampaus","abdominous"
"afrokommunismi","abdomino-uterotomy"
"afta","abdominovaginal"
"afääri","abdominovesical"
"agaatti","Abdon"
"agaave","Abdu"
"agar","abduce"
"agenda","abduced"
"agentti","abducens"
"agenttifilmi","abducent"
"agenttiromaani","abducentes"
"agentuuri","abduces"
"agentuuriliike","abducing"
"aggregaatti","abduct"
"aggressiivinen","abducted"
"aggressiivisesti","abducting"
"aggressiivisuus","abduction"
"aggressio","abductions"
"agitaatio","abduction's"
"agitaattori","abductor"
"agitatorinen","abductores"
"agitoida","abductors"
"agitointi","abductor's"
"agnostikko","abducts"
"agnostinen","Abdul"
"agnostisesti","Abdul-Aziz"
"agnostisismi","Abdul-baha"
"agnostisuus","Abdulla"
"agorafobia","Abe"
"agraarinen","a-be"
"agraaripolitiikka","abeam"
"agraaripuolue","abear"
"agraarisuus","abearance"
"agraarivaltio","Abebi"
"agrologi","abecedaire"
"agronomi","abecedary"
"agronomia","abecedaria"
"ah","abecedarian"
"ahaa","abecedarians"
"ahava","abecedaries"
"ahavoittaa","abecedarium"
"ahavoitua","abecedarius"
"ahdas","abed"
"ahdashenkinen","abede"
"ahdashenkisesti","abedge"
"ahdashenkisyys","Abednego"
"ahdaskatseinen","abegge"
"ahdasmielinen","Abey"
"ahdasmielisesti","abeyance"
"ahdasmielisyys","abeyances"
"ahdasnäköinen","abeyancy"
"ahdasnäköisesti","abeyancies"
"ahdasnäköisyys","abeyant"
"ahdasrajainen","abeigh"
"ahdasrajaisesti","ABEL"
"ahdasrajaisuus","Abelard"
"ahdata","abele"
"ahde","abeles"
"ahdekaunokki","Abelia"
"ahdelauha","Abelian"
"ahdin","Abelicea"
"ahdinko","Abelite"
"ahdinkotila","Abell"
"ahdistaa","Abelmoschus"
"ahdistaja","abelmosk"
"ahdistelija","abelmosks"
"ahdistella","abelmusk"
"ahdistelu","Abelonian"
"ahdistua","Abelson"
"ahdistuneesti","abeltree"
"ahdistuneisuus","Abencerrages"
"ahdistuneisuushäiriö","abend"
"ahdistunut","abends"
"ahdistus","Abenezra"
"ahdistusneuroosi","abenteric"
"ahdistustila","Abeokuta"
"aherrus","abepithymia"
"ahertaa","ABEPP"
"ahertaja","Abercromby"
"ahjo","Abercrombie"
"ahkera","Aberdare"
"ahkeraan","aberdavine"
"ahkeraliisa","Aberdeen"
"ahkerasti","Aberdeenshire"
"ahkeroida","aberdevine"
"ahkerointi","Aberdonian"
"ahkeruus","aberduvine"
"ahkio","Aberfan"
"ahma","Aberglaube"
"ahmaista","Aberia"
"ahmaisu","Aberystwyth"
"ahmatti","Abernant"
"ahmia","Abernathy"
"ahmimishäiriö","abernethy"
"ahminta","Abernon"
"ahnaasti","aberr"
"ahnas","aberrance"
"ahnaus","aberrancy"
"ahne","aberrancies"
"ahneesti","aberrant"
"ahnehdinta","aberrantly"
"ahnehtia","aberrants"
"ahnehtija","aberrate"
"ahneus","aberrated"
"aho","aberrating"
"ahomansikka","aberration"
"ahoniitty","aberrational"
"ahrain","aberrations"
"ahtaa","aberrative"
"ahtaaja","aberrator"
"ahtaalla","aberrometer"
