"Xhosa","English"
"aah","aardvark"
"ababandakanyekayo","aardvarks"
"abadala","aardwolf"
"abadumileyo","aardwolves"
"abagwebi","Aaren"
"abambalwa","Aargau"
"abangenalwazi","aargh"
"abangenamakhaya","Aarhus"
"abaninzi","Aarika"
"abantu","Aaron"
"abanye","Aaronic"
"abaphezulu","Aaronical"
"abaphulaphuli","Aaronite"
"abasebenzi","Aaronitic"
"abatsha","Aaron's-beard"
"abavukeli","Aaronsburg"
"abele","Aaronson"
"abemi","AARP"
"abo","aarrgh"
"abstract","aarrghh"
"adventure","Aaru"
"ah","AAS"
"ajenda","A'asia"
"akhalaze","aasvogel"
"akunakwenzeka","aasvogels"
"alpha","AAU"
"am","AAUP"
"amabhongo","AAUW"
"amafutha","AAVSO"
"amagqabantshintshi","AAX"
"amalahle","A-axes"
"amandla","A-axis"
"amanzi","AB"
"amaqashiso","ab-"
"amarhe","ABA"
"amathamsanqa","Ababa"
"amathe","Ababdeh"
"amathuba","Ababua"
"amathumbu","abac"
"amava","abaca"
"amazambane","abacay"
"anda","abacas"
"andisa","abacate"
"Android","abacaxi"
"anelise","abaci"
"anikezele","abacinate"
"Apha","abacination"
"aphezulu","abacisci"
"apho","abaciscus"
"aphule","abacist"
"apile","aback"
"arhente","abacli"
"asian","Abaco"
"ayaziwa","abacot"
"ayicacanga","abacterial"
"ayikwazi","abactinal"
"ayinakuphepheka","abactinally"
"babe","abaction"
"bakhubazekile","abactor"
"bala","abaculi"
"baleka","abaculus"
"balisa","abacus"
"bamba","abacuses"
"ban","Abad"
"bandakanya","abada"
"banzi","Abadan"
"beka","Abaddon"
"bhabha","abadejo"
"bhadula","abadengo"
"bhaka","abadia"
"bhala","Abadite"
"bhalisa","abaff"
"bhanga","abaft"
"bhaqa","Abagael"
"bhekisa","Abagail"
"bhengeza","Abagtha"
"bhetyebhetye","abay"
"bhid","abayah"
"bhida","Abailard"
"bhityile","abaisance"
"bhiyozela","abaised"
"bhora","abaiser"
"bilisa","abaisse"
"blank","abaissed"
"blog","abaka"
"boleka","Abakan"
"bolekisa","abakas"
"bomthonyama","Abakumov"
"bomvu","abalation"
"bona","abalienate"
"bonakalisa","abalienated"
"bonelela","abalienating"
"bonisa","abalienation"
"bonisana","abalone"
"bopha","abalones"
"bubudenge","Abama"
"Bubuxoki","abamp"
"bucala","abampere"
"buhlungu","abamperes"
"bukhali","abamps"
"bulela","Abana"
"bulisa","aband"
"bullshit","abandon"
"bumba","abandonable"
"buqu","abandoned"
"busuku","abandonedly"
"buthathaka","abandonee"
"buyisa","abandoner"
"buyisela","abandoners"
"buza","abandoning"
"bye","abandonment"
"cacileyo","abandonments"
"cacisa","abandons"
"caphula","abandum"
"cd","abanet"
"cebisa","abanga"
"cenga","Abanic"
"CEO","abannition"
"chaza","Abantes"
"chitha","abapical"
"cholesterol","abaptiston"
"chonga","abaptistum"
"Chonga","Abarambo"
"chukumisa","Abarbarea"
"chwechwa","Abaris"
"cima","abarthrosis"
"cinga","abarticular"
"cingelwa","abarticulation"
"cofa","Abas"
"corporate","abase"
"counter","abased"
"cream","abasedly"
"cula","abasedness"
"cwaka","abasement"
"cwangcisa","abasements"
"dada","abaser"
"dala","abasers"
"de","abases"
"Demethi","Abasgi"
"deploy","abash"
"dibana","abashed"
"dibanisa","abashedly"
"dla","abashedness"
"dlala","abashes"
"dlula","abashing"
"dna","abashless"
"dubula","abashlessly"
"Dudula","abashment"
"dumisani","abashments"
"dynamics","abasia"
"e","abasias"
"ebalaseleyo","abasic"
"ebalulekileyo","abasing"
"ebanzi","abasio"
"ebhankini","abask"
"ebizwa","abassi"
"ebonakalayo","Abassieh"
"eBritani","Abassin"
"ebulalayo","abastard"
"Ebumelwaneni","abastardize"
"ebuntwaneni","abastral"
"ebunzi","abatable"
"ebusika","abatage"
"ecacileyo","Abate"
"ecaleni","abated"
