"Lao","English"
"້ໍາຕານ","aardvark"
"ກ","aardvarks"
"ກ່ອງ","aardwolf"
"ກ່ອນ","aardwolves"
"ກ່ອນຫນ້ານີ້","Aaren"
"ກ່າວຫາ","Aargau"
"ກ່າວເຖິງ","aargh"
"ກ່າວໂທດ","Aarhus"
"ກ່ຽວ​ກັບ","Aarika"
"ກ່ຽວກັບ","Aaron"
"ກ່ຽວຂ້ອງ","Aaronic"
"ກ້ວຍ","Aaronical"
"ກ້ອງ​ຖ່າຍ​ຮູບ","Aaronite"
"ກ້ອງສ່ອງທາງໄກ","Aaronitic"
"ກ້ອນ","Aaron's-beard"
"ກ້າ","Aaronsburg"
"ກ້າມ","Aaronson"
"ກ້າວ​ໜ້າ","AARP"
"ກ້າຫານ","aarrgh"
"ກ້ຽງ","aarrghh"
"ກ້ຽວ","Aaru"
"ກ໊ອຟ","AAS"
"ກຣາມ","A'asia"
"ກຣີກ","aasvogel"
"ກວ່າ","aasvogels"
"ກວ້າງ","AAU"
"ກວ້າງຂວາງ","AAUP"
"ກວດ","AAUW"
"ກວດ​ສອບ","AAVSO"
"ກວດກາ","AAX"
"ກວດພົບ","A-axes"
"ກວມເອົາ","A-axis"
"ກວາງ","AB"
"ກວາດ","ab-"
"ກອງ","ABA"
"ກອງ​ປະ​ຊຸມ","Ababa"
"ກອງທຶນ","Ababdeh"
"ກອງທັບ","Ababua"
"ກອງທັບເຮືອ","abac"
"ກອງປະຊຸມ","abaca"
"ກອງປະຊຸມສຸດຍອດ","abacay"
"ກອງປະຊຸມໃຫຍ່","abacas"
"ກອງຫຼັງ","abacate"
"ກອດ","abacaxi"
"ກອບ","abaci"
"ກະກຽມ","abacinate"
"ກະຈົກ","abacination"
"ກະສອບ","abacisci"
"ກະສິກຳ","abaciscus"
"ກະສັດ","abacist"
"ກະຊວງ","aback"
"ກະຊິບ","abacli"
"ກະດານ","Abaco"
"ກະດິ່ງ","abacot"
"ກະດູກ","abacterial"
"ກະຕ່າ","abactinal"
"ກະຕ່າຂີ້ເຫຍື້ອ","abactinally"
"ກະຕ່າຍ","abaction"
"ກະຕືລືລົ້ນ","abactor"
"ກະຕຸ້ນ","abaculi"
"ກະທູ້","abaculus"
"ກະທົບ","abacus"
"ກະທໍາຜິດ","abacuses"
"ກະບົດ","Abad"
"ກະປ໋ອງ","abada"
"ກະພິບ","Abadan"
"ກະລຸນາ","Abaddon"
"ກະວົນກະວາຍ","abadejo"
"ກະເປົ໋າ","abadengo"
"ກະເປົາເງິນ","abadia"
"ກະແຈ","Abadite"
"ກະແຈກກະຈາຍ","abaff"
"ກະແສ","abaft"
"ກະແສຫຼັກ","Abagael"
"ກະໂຫຼກ","Abagail"
"ກາ​ເຟ","Abagtha"
"ກາກບອນ","abay"
"ກາງ","abayah"
"ກາງຄືນ","Abailard"
"ກາຍ​ເປັນ","abaisance"
"ກາຕູນ","abaised"
"ການ​ກວດ​ສອບ​","abaiser"
"ການ​ຂຽນ","abaisse"
"ການ​ຄ້າ","abaissed"
"ການ​ຄາດ​ຄະ​ເນ​","abaka"
"ການ​ຄິດ​ໄລ່​","Abakan"
"ການ​ຈັດ​ການ​","abakas"
"ການ​ຈັບ​ກຸມ","Abakumov"
"ການ​ສ້າງ​ຕັ້ງ​","abalation"
"ການ​ສອບ​ເສັງ","abalienate"
"ການ​ສົ່ງ​ຜ່ານ","abalienated"
"ການ​ສໍາ​ຜັດ​ເຊື້ອ","abalienating"
"ການ​ຊອກ​ຫາ","abalienation"
"ການ​ຕິດ​ເຊື້ອ","abalone"
"ການ​ທູດ","abalones"
"ການ​ນໍາ​ໃຊ້","Abama"
"ການ​ປະ​ຕິ​ບັດ​","abamp"
"ການ​ປະ​ຕິ​ວັດ​","abampere"
"ການ​ປະ​ເມີນ​ຜົນ​","abamperes"
"ການ​ວັດ​ແທກ​","abamps"
"ການ​ອົບ​ພະ​ຍົບ","Abana"
"ການ​ເຈັບ​ປ່ວຍ","aband"
"ການ​ເຕົ້າ​ໂຮມ","abandon"
"ການ​ແຍກ​ດ່ຽວ","abandonable"
"ການ​ແຜ່​ກະ​ຈາຍ​","abandoned"
"ການ​ໂຄ​ສະ​ນາ​","abandonedly"
"ການ​ໂຈມ​ຕີ","abandonee"
"ການກ່າວຫາ","abandoner"
"ການກວດ","abandoners"
"ການກວດກາ","abandoning"
"ການກະກຽມ","abandonment"
"ການກະທຳ","abandonments"
"ການກະທໍາຜິດ","abandons"
"ການກຸສົນ","abandum"
"ການກັ່ນຕອງ","abanet"
"ການກໍ່ການຮ້າຍ","abanga"
"ການກໍ່ສ້າງ","Abanic"
"ການຂະຫຍາຍ","abannition"
"ການຂະຫຍາຍຕົວ","Abantes"
"ການຂາຍ","abapical"
"ການຂາດດຸນ","abaptiston"
"ການຂົ່ມຂືນ","abaptistum"
"ການຂົ່ມເຫັງ","Abarambo"
"ການຂົນສົ່ງ","Abarbarea"
"ການຂຽນໂປລແກລມ","Abaris"
"ການຂັດແຍ້ງ","abarthrosis"
"ການຄ້າ","abarticular"
"ການຄອບຄອງ","abarticulation"
"ການຄາດຄະເນ","Abas"
"ການຄາດຕະກໍາ","abase"
"ການຄາດເດົາ","abased"
"ການຄຸ້ມຄອງ","abasedly"
"ການຄົ້ນຄວ້າ","abasedness"
"ການຄົ້ນພົບ","abasement"
"ການຄັດເລືອກ","abasements"
"ການຈ່າຍເງິນ","abaser"
"ການຈ້າງງານ","abasers"
"ການຈອງ","abases"
"ການຈະລາຈອນ","Abasgi"
"ການຈະລາຈົນ","abash"
"ການຈັດສົ່ງ","abashed"
"ການຈັດຕັ້ງປະຕິບັດ","abashedly"
"ການຈັດວາງ","abashedness"
"ການຈໍາແນກ","abashes"
"ການສ້ອມແປງ","abashing"
"ການສ້າງ","abashless"
"ການສ້າງຕັ້ງ","abashlessly"
"ການສອນ","abashment"
"ການສະທ້ອນ","abashments"
"ການສະຫນອງ","abasia"
"ການສະເຫນີ","abasias"
"ການສະແດງອອກ","abasic"
"ການສະແຫວງຫາ","abasing"
"ການສາທິດ","abasio"
"ການສຶກສາ","abask"
"ການສື່ສານ","abassi"
"ການສືບສວນ","Abassieh"
"ການສູນເສຍ","Abassin"
