"Marathi","English"
"अँकर","aardvark"
"अँड्रॉइड","aardvarks"
"अंग","aardwolf"
"अंगठा","aardwolves"
"अंगठी","Aaren"
"अंडी","Aargau"
"अंतःप्रेरणा","aargh"
"अंतर","Aarhus"
"अंतरंग","Aarika"
"अंतर्गत","Aaron"
"अंतर्दृष्टी","Aaronic"
"अंतर्निहित","Aaronical"
"अंतहीन","Aaronite"
"अंतिम","Aaronitic"
"अंत्यसंस्कार","Aaron's-beard"
"अंदाज","Aaronsburg"
"अंदाजे","Aaronson"
"अंधार","AARP"
"अंमलबजावणी","aarrgh"
"अंशतः","aarrghh"
"अकरा","Aaru"
"अकादमी","AAS"
"अक्षम","A'asia"
"अक्षरशः","aasvogel"
"अखंडता","aasvogels"
"अखेरीस","AAU"
"अगणित","AAUP"
"अगदी","AAUW"
"अग्रगण्य","AAVSO"
"अचानक","AAX"
"अचूक","A-axes"
"अचूकता","A-axis"
"अचूकपणे","AB"
"अजूनही","ab-"
"अजेंडा","ABA"
"अज्ञात","Ababa"
"अज्ञान","Ababdeh"
"अज्ञानी","Ababua"
"अटक","abac"
"अटकळ","abaca"
"अटी","abacay"
"अडखळणे","abacas"
"अडचण","abacate"
"अडथळा","abacaxi"
"अतिथी","abaci"
"अतिरिक्त","abacinate"
"अत्यंत","abacination"
"अत्याधुनिक","abacisci"
"अदृश्य","abaciscus"
"अद्भुत","abacist"
"अद्यतन","aback"
"अद्याप","abacli"
"अद्वितीय","Abaco"
"अधिक","abacot"
"अधिकार","abacterial"
"अधिकारी","abactinal"
"अधिकृत","abactinally"
"अधिकृतपणे","abaction"
"अधिवेशन","abactor"
"अधूनमधून","abaculi"
"अध्यक्ष","abaculus"
"अध्यक्षपद","abacus"
"अध्यक्षीय","abacuses"
"अनंत","Abad"
"अनन्य","abada"
"अनपेक्षित","Abadan"
"अनिच्छुक","Abaddon"
"अनिश्चितता","abadejo"
"अनुकूलता","abadengo"
"अनुक्रमे","abadia"
"अनुदान","Abadite"
"अनुपस्थिती","abaff"
"अनुपालन","abaft"
"अनुभव","Abagael"
"अनुभवी","Abagail"
"अनुयायी","Abagtha"
"अनुवांशिक","abay"
"अनेक","abayah"
"अनेकदा","Abailard"
"अनोळखी","abaisance"
"अन्न","abaised"
"अन्यथा","abaiser"
"अन्वेषक","abaisse"
"अन्वेषण","abaissed"
"अपघात","abaka"
"अपयश","Abakan"
"अपयशी","abakas"
"अपराध","Abakumov"
"अपराधी","abalation"
"अपरिहार्य","abalienate"
"अपरिहार्यपणे","abalienated"
"अपवाद","abalienating"
"अपार्टमेंट","abalienation"
"अपूर्णांक","abalone"
"अपेक्षा","abalones"
"अपेक्षित","Abama"
"अफवा","abamp"
"अब्ज","abampere"
"अभाव","abamperes"
"अभिजन","abamps"
"अभिनेता","Abana"
"अभिनेत्री","aband"
"अभिप्राय","abandon"
"अभिमान","abandonable"
"अभिमुखता","abandoned"
"अभियंता","abandonedly"
"अभियांत्रिकी","abandonee"
"अभिवादन","abandoner"
"अभिव्यक्ती","abandoners"
"अभूतपूर्व","abandoning"
"अभ्यास","abandonment"
"अभ्यासक्रम","abandonments"
"अमेरिकन","abandons"
"अयोग्य","abandum"
"अरब","abanet"
"अरुंद","abanga"
"अरे","Abanic"
"अरेरे","abannition"
"अर्क","Abantes"
"अर्ज","abapical"
"अर्थ","abaptiston"
"अर्थपूर्ण","abaptistum"
"अर्थव्यवस्था","Abarambo"
"अर्थशास्त्र","Abarbarea"
"अर्थशास्त्रज्ञ","Abaris"
"अर्धवट","abarthrosis"
"अर्धा","abarticular"
"अर्पण","abarticulation"
"अर्भक","Abas"
"अलगीकरण","abase"
"अलीकडील","abased"
"अलीकडे","abasedly"
"अल्पकालीन","abasedness"
"अल्पसंख्याक","abasement"
"अल्फा","abasements"
"अल्बम","abaser"
"अवघड","abasers"
"अवयव","abases"
"अवलंबून","Abasgi"
"अविभाज्य","abash"
"अविवाहित","abashed"
"अविश्वसनीय","abashedly"
"अशक्तपणा","abashedness"
"अशक्य","abashes"
"अशा","abashing"
"असंख्य","abashless"
"असणे","abashlessly"
"असताना","abashment"
"असमाधानकारकपणे","abashments"
"असहमत","abasia"
"असाइनमेंट","abasias"
"असामान्य","abasic"
"असुरक्षित","abasing"
"असूनही","abasio"
"असो","abask"
"अस्ताव्यस्त","abassi"
"अस्तित्व","Abassieh"
"अस्पष्ट","Abassin"
"अस्वल","abastard"
"अस्वस्थ","abastardize"
"अहंकार","abastral"
"अहवाल","abatable"
"अहवालात","abatage"
"अहो","Abate"
"अॅप","abated"
"आंघोळ","abatement"
"आंतरराष्ट्रीय","abatements"
"आंधळा","abater"
"आंशिक","abaters"
"आई","abates"
"आउटपुट","abatic"
"आउटलेट","abating"
"आकडेवारी","abatis"
"आकर्षक","abatised"
"आकर्षण","abatises"
"आकार","abatjour"
"आकाश","abatjours"
"आकाशगंगा","abaton"
"आकृती","abator"
"आक्रमक","abators"
"आक्रमण","ABATS"
"आक्षेप","abattage"
"आक्षेपार्ह","abattis"
"आखात","abattised"
"आख्यायिका","abattises"
"आग","abattoir"
"आगमन","abattoirs"
"आगामी","abattu"
"आग्नेय","abattue"
"आग्रह","Abatua"
"आघाडी","abature"
"आघात","abaue"
"आचरण","abave"
"आचारी","abaxial"
"आज","abaxile"
"आजार","abaze"
"आजारी","abb"
"आजी","Abba"
"आजोबा","abbacy"
"आज्ञा","abbacies"
"आठ","abbacomes"
"आठवडा","Abbadide"
"आठवणे","Abbai"
"आठवा","abbaye"
"आढळले","abbandono"
"आणणे","abbas"
"आणि","abbasi"
"आणि/किंवा","Abbasid"
"आणीबाणी","abbassi"
"आण्विक","Abbassid"
"आत","Abbasside"
"आतडे","Abbate"
"आता","abbatial"
"आतील","abbatical"
"आत्मविश्वास","abbatie"
"आत्महत्या","Abbe"
"आत्मा","Abbey"
"आदर","abbeys"
"आदर्श","abbey's"
"आदिवासी","abbeystead"
"आदेश","abbeystede"
"आधार","abbes"
"आधी","abbess"
"आधीच","abbesses"
"आधुनिक","abbest"
"आध्यात्मिक","Abbevilean"
"आनंद","Abbeville"
"आनंददायी","Abbevillian"
"आनंदाने","Abbi"
"आनंदी","Abby"
"आपटी","Abbie"
"आपण","Abbye"
"आपत्ती","Abbyville"
"आपले","abboccato"
"आपोआप","abbogada"
"आफ्रिकन","Abbot"
"आफ्रिकन-अमेरिकन","abbotcy"
"आभासी","abbotcies"
"आमंत्रण","abbotnullius"
"आमचे","abbotric"
"आम्ल","abbots"
"आम्हाला","abbot's"
"आम्ही","Abbotsen"
"आयटम","Abbotsford"
"आयफोन","abbotship"
"आयरिश","abbotships"
"आयात","Abbotson"
"आयुक्त","Abbotsun"
"आयुष्यभर","Abbott"
"आरक्षण","Abbottson"
"आरसा","Abbottstown"
"आराम","Abboud"
"आरामदायक","abbozzo"
"आरोग्य","ABBR"
"आरोप","abbrev"
"आर्किटेक्चर","abbreviatable"
"आर्थिक","abbreviate"
"आलिंगन","abbreviated"
"आलेख","abbreviately"
"आळशी","abbreviates"
"आवड","abbreviating"
"आवडते","abbreviation"
"आवश्यक","abbreviations"
"आवश्यकता","abbreviator"
"आवाज","abbreviatory"
"आवाहन","abbreviators"
"आवृत्ती","abbreviature"
"आव्हान","abbroachment"
"आव्हानात्मक","ABC"
"आशा","abcess"
"आशादायक","abcissa"
"आशावादी","abcoulomb"
"आशियाई","ABCs"
"आशीर्वाद","abd"
"आशेने","abdal"
"आश्चर्य","abdali"
"आश्चर्यकारक","abdaria"
"आश्चर्यचकित","abdat"
"आश्वासक","Abdel"
"आसन","Abd-el-Kadir"
"आसपास","Abd-el-Krim"
"आस्तिक","Abdella"
"आह","Abderhalden"
"आहार","Abderian"
"आहे","Abderite"
"इ","Abderus"
"इंग्रजी","abdest"
"इंच","Abdias"
"इंजिन","abdicable"
"इंटरनेट","abdicant"
"इंटरफेस","abdicate"
"इंधन","abdicated"
"इकोसिस्टम","abdicates"
"इक्विटी","abdicating"
"इच्छा","abdication"
"इच्छित","abdications"
"इच्छुक","abdicative"
"इजा","abdicator"
"इटालियन","Abdiel"
"इतर","abditive"
"इतरत्र","abditory"
"इतिहास","abdom"
"इतिहासकार","abdomen"
"इनपुट","abdomens"
"इमारत","abdomen's"
"इमिग्रेशन","abdomina"
"इराकी","abdominal"
"इराणी","Abdominales"
"इलेक्ट्रॉनिक","abdominalia"
"इशारा","abdominalian"
"इस्टेट","abdominally"
"इस्रायली","abdominals"
"इस्लाम","abdominoanterior"
